園代碼,園名,學年度,人事費,支出合計,本期稅後餘絀,資產總計,員工人數,學生人數,實際招收人數,教保人員數,核定招收人數,每生人事費,每生支出,師生比
N01,安溪,109,6718238.0,10276283.0,,,,,,,,,,
N01,安溪,110,6763467.0,11066312.0,218557.0,14735315.0,12.0,90.0,90.0,9.0,90.0,75149.63333333333,122959.02222222222,10.0
N01,安溪,111,11539967.0,16743535.0,649872.0,20469369.0,18.0,134.0,134.0,12.0,136.0,86119.15671641791,124951.75373134328,11.166666666666666
N01,安溪,112,11797585.0,18744221.0,250799.0,24140447.0,18.0,134.0,134.0,12.0,136.0,88041.67910447762,139882.24626865672,11.166666666666666
N01,安溪,113,11978248.0,22144749.0,,26187977.0,18.0,118.0,118.0,12.0,120.0,101510.57627118644,187667.36440677967,9.833333333333334
N02,山北,109,7131318.0,11123655.0,,,,,,,,,,
N02,山北,110,6971731.0,11291786.0,1065234.0,10482506.0,13.0,90.0,90.0,10.0,,77463.67777777778,125464.28888888888,9.0
N02,山北,111,7286602.0,12287391.0,413861.0,12172850.0,13.0,90.0,90.0,10.0,,80962.24444444444,136526.56666666668,9.0
N02,山北,112,9157815.0,14199695.0,,14224642.0,13.0,90.0,90.0,10.0,,101753.5,157774.38888888888,9.0
N02,山北,113,9040242.0,15191842.0,674883.0,16869798.0,13.0,86.0,86.0,10.0,,105119.09302325582,176649.32558139536,8.6
N03,龍埔成長,109,7162121.0,10229117.0,269190.0,,,,,,,,,
N03,龍埔成長,110,7235004.0,11188278.0,767673.0,9229892.0,12.0,90.0,90.0,9.0,90.0,80388.93333333333,124314.2,10.0
N03,龍埔成長,111,6737493.0,11864854.0,351100.0,11149432.0,12.0,89.0,89.0,9.0,90.0,75702.16853932584,133312.96629213484,9.88888888888889
N03,龍埔成長,112,5280926.0,13893372.0,250734.0,13476093.0,12.0,90.0,90.0,9.0,90.0,58676.955555555556,154370.8,10.0
N03,龍埔成長,113,8710840.0,13604475.0,,14987068.0,12.0,71.0,71.0,9.0,72.0,122687.88732394367,191612.32394366196,7.888888888888889
N04,海工,109,3719957.0,5983467.0,151559.0,,,,,,,,,
N04,海工,110,3798440.0,6790138.0,373081.0,5285338.0,7.0,,,5.0,60.0,,,
N04,海工,111,4018956.0,7679993.0,85302.0,5928185.0,6.0,60.0,60.0,4.0,60.0,66982.6,127999.88333333333,15.0
N04,海工,112,2899218.0,8709004.0,322225.0,7790743.0,7.0,60.0,60.0,5.0,60.0,48320.3,145150.06666666668,12.0
N04,海工,113,5682706.0,7398682.0,,9032432.0,7.0,48.0,48.0,5.0,,118389.70833333333,154139.20833333334,9.6
N05,漢翔,109,5793497.0,10331296.0,,,,,,,,,,
N05,漢翔,110,,9263359.0,80081.0,12286520.0,11.0,76.0,76.0,8.0,,,121886.30263157895,9.5
N05,漢翔,111,6412661.0,11869873.0,106651.0,12882843.0,11.0,76.0,76.0,8.0,,84377.11842105263,156182.5394736842,9.5
N05,漢翔,112,5032018.0,12653515.0,268076.0,14672741.0,11.0,76.0,76.0,8.0,76.0,66210.76315789473,166493.61842105264,9.5
N05,漢翔,113,6363884.0,11597650.0,1606845.0,19443325.0,8.0,72.0,72.0,7.0,,88387.27777777778,161078.47222222222,10.285714285714286
N06,昌平,109,6795977.0,10921309.0,,,,,,,,,,
N06,昌平,110,7099629.0,12416699.0,1611855.0,11454209.0,13.0,,,10.0,120.0,,,
N06,昌平,111,7770536.0,14033020.0,,13342087.0,13.0,,,10.0,120.0,,,
N06,昌平,112,6839375.0,14950976.0,187142.0,15705283.0,13.0,118.0,118.0,10.0,120.0,57960.80508474576,126703.18644067796,11.8
N06,昌平,113,7955962.0,15234973.0,,16254782.0,13.0,105.0,105.0,10.0,112.0,75771.06666666667,145094.98095238095,10.5
N07,北大,109,8654975.0,13604626.0,,,,,,,,,,
N07,北大,110,9226416.0,14636905.0,1523006.0,11779938.0,16.0,149.0,149.0,12.0,150.0,61922.25503355705,98234.26174496644,12.416666666666666
N07,北大,111,14516199.0,21332856.0,522638.0,16195719.0,23.0,180.0,180.0,17.0,182.0,80645.55,118515.86666666667,10.588235294117647
N07,北大,112,14991246.0,23849400.0,,18129973.0,23.0,180.0,180.0,17.0,182.0,83284.7,132496.66666666666,10.588235294117647
N07,北大,113,17915419.0,25409886.0,2625967.0,12687968.0,23.0,137.0,137.0,17.0,162.0,130769.48175182482,185473.6204379562,8.058823529411764
N08,鷺江,109,7007700.0,11458447.0,,,,,,,,,,
N08,鷺江,110,6903487.0,12190875.0,1556346.0,12511079.0,13.0,102.0,102.0,10.0,106.0,67681.24509803922,119518.38235294117,10.2
N08,鷺江,111,7382340.0,13753629.0,456219.0,14295302.0,13.0,105.0,105.0,10.0,106.0,70308.0,130986.94285714286,10.5
N08,鷺江,112,6549857.0,16642820.0,,16625634.0,13.0,106.0,106.0,10.0,,61791.1037735849,157007.7358490566,10.6
N08,鷺江,113,7810400.0,16288934.0,,17541054.0,13.0,96.0,96.0,10.0,100.0,81358.33333333333,169676.39583333334,9.6
N09,安興,109,4400396.0,7834724.0,159056.0,,,,,,,,,
N09,安興,110,4234041.0,8259804.0,608783.0,7824765.0,8.0,,,5.0,60.0,,,
N09,安興,111,4104465.0,8883790.0,241652.0,9231968.0,7.0,,,4.0,,,,
N09,安興,112,3361395.0,9801505.0,76573.0,11035497.0,8.0,57.0,57.0,5.0,60.0,58971.84210526316,171956.22807017545,11.4
N09,安興,113,4817555.0,10105038.0,3913614.0,9560217.0,8.0,45.0,45.0,5.0,52.0,107056.77777777778,224556.4,9.0
N10,大觀,109,7297681.0,11772047.0,,,,,,,,,,
N10,大觀,110,8041532.0,13109480.0,167343.0,10628680.0,13.0,103.0,103.0,10.0,106.0,78073.12621359223,127276.50485436893,10.3
N10,大觀,111,8970981.0,14918437.0,193966.0,11812646.0,13.0,105.0,105.0,10.0,106.0,85437.91428571429,142080.3523809524,10.5
N10,大觀,112,8924216.0,16015406.0,760656.0,13229540.0,13.0,106.0,106.0,10.0,,84190.71698113208,151088.7358490566,10.6
N10,大觀,113,9314356.0,18076343.0,,14199205.0,13.0,99.0,99.0,10.0,100.0,94084.40404040404,182589.32323232322,9.9
