園代碼,園名,學年度,資料表,指標,資料類別,數值,前一年數值,YoY變化額,YoY變化率,歷史均值,歷史標準差,移動平均_近3年,Zscore
N01,安溪,109,收支餘絀表,人事費,收支,6718238.0,,,,6718238.0,,6718238.0,
N01,安溪,110,收支餘絀表,人事費,收支,6763467.0,6718238.0,45229.0,0.00673227116991092,6740852.5,31981.732606286358,6740852.5,0.7071067811865476
N01,安溪,111,收支餘絀表,人事費,收支,11539967.0,6763467.0,4776500.0,0.7062206409819106,8340557.333333333,2770862.334541421,8340557.333333333,1.1546620800257732
N01,安溪,112,收支餘絀表,人事費,收支,11797585.0,11539967.0,257618.0,0.022323980649164767,9204814.25,2847141.043809547,10033673.0,0.9106576422117841
N01,安溪,113,收支餘絀表,人事費,收支,11978248.0,11797585.0,180663.0,0.015313557817129522,9759501.0,2760080.804186084,11771933.333333334,0.8038703057660238
N01,安溪,109,收支餘絀表,修繕購置費,收支,42647.0,,,,42647.0,,42647.0,
N01,安溪,110,收支餘絀表,修繕購置費,收支,125696.0,42647.0,83049.0,1.947358548080756,84171.5,58724.51107076158,84171.5,0.7071067811865476
N01,安溪,111,收支餘絀表,修繕購置費,收支,58005.0,125696.0,-67691.0,-0.5385294679226069,75449.33333333333,44187.24560699992,75449.33333333333,-0.3947820936494373
N01,安溪,112,收支餘絀表,修繕購置費,收支,28074.0,58005.0,-29931.0,-0.5160072407551073,63605.5,43159.94286758653,70591.66666666667,-0.8232517848554533
N01,安溪,113,收支餘絀表,修繕購置費,收支,128643.0,28074.0,100569.0,3.5822825390040607,76613.0,47360.96264329938,71574.0,1.098584089007346
N01,安溪,109,收支餘絀表,其他支出,收支,523036.0,,,,523036.0,,523036.0,
N01,安溪,110,收支餘絀表,其他支出,收支,1086035.0,523036.0,562999.0,1.0764058305738038,804535.5,398100.41070124507,804535.5,0.7071067811865476
N01,安溪,111,收支餘絀表,其他支出,收支,801623.0,1086035.0,-284412.0,-0.26188106276501216,803564.6666666666,281504.52225911635,803564.6666666666,-0.006897461721340955
N01,安溪,112,收支餘絀表,其他支出,收支,1344392.0,801623.0,542769.0,0.6770876085142268,938771.5,354899.1619530821,1077350.0,1.1429176044479454
N01,安溪,113,收支餘絀表,其他支出,收支,1765262.0,1344392.0,420870.0,0.3130560134246559,1104069.6,480710.27728175314,1303759.0,1.3754488540141256
N01,安溪,109,收支餘絀表,其他收入,收支,523036.0,,,,523036.0,,523036.0,
N01,安溪,110,收支餘絀表,其他收入,收支,1086345.0,523036.0,563309.0,1.076998524002172,804690.5,398319.6138034129,804690.5,0.7071067811865476
N01,安溪,111,收支餘絀表,其他收入,收支,801623.0,1086345.0,-284722.0,-0.26209169278636163,803668.0,281660.0679702396,803668.0,-0.0072605251242646015
