園代碼,園名,學年度,資料表,指標,數值,資料類別
N01,安溪,109,收支餘絀表,人事費,6718238.0,收支
N01,安溪,110,收支餘絀表,人事費,6763467.0,收支
N01,安溪,111,收支餘絀表,人事費,11539967.0,收支
N01,安溪,112,收支餘絀表,人事費,11797585.0,收支
N01,安溪,113,收支餘絀表,人事費,11978248.0,收支
N01,安溪,109,收支餘絀表,修繕購置費,42647.0,收支
N01,安溪,110,收支餘絀表,修繕購置費,125696.0,收支
N01,安溪,111,收支餘絀表,修繕購置費,58005.0,收支
N01,安溪,112,收支餘絀表,修繕購置費,28074.0,收支
N01,安溪,113,收支餘絀表,修繕購置費,128643.0,收支
N01,安溪,109,收支餘絀表,其他支出,523036.0,收支
N01,安溪,110,收支餘絀表,其他支出,1086035.0,收支
N01,安溪,111,收支餘絀表,其他支出,801623.0,收支
N01,安溪,112,收支餘絀表,其他支出,1344392.0,收支
N01,安溪,113,收支餘絀表,其他支出,1765262.0,收支
N01,安溪,109,收支餘絀表,其他收入,523036.0,收支
N01,安溪,110,收支餘絀表,其他收入,1086345.0,收支
N01,安溪,111,收支餘絀表,其他收入,801623.0,收支
N01,安溪,112,收支餘絀表,其他收入,1344392.0,收支
N01,安溪,113,收支餘絀表,其他收入,1765262.0,收支
N01,安溪,109,收支餘絀表,利息收入,26512.0,收支
N01,安溪,110,收支餘絀表,利息收入,43296.0,收支
N01,安溪,111,收支餘絀表,利息收入,69934.0,收支
N01,安溪,112,收支餘絀表,利息收入,82077.0,收支
N01,安溪,113,收支餘絀表,利息收入,211286.0,收支
N01,安溪,110,收支餘絀表,呆帳損失,46686.0,收支
N01,安溪,112,收支餘絀表,呆帳損失,1828.0,收支
N01,安溪,109,收支餘絀表,延後托育支出,47632.0,收支
N01,安溪,110,收支餘絀表,延後托育支出,147216.0,收支
N01,安溪,111,收支餘絀表,延後托育支出,202057.0,收支
N01,安溪,109,收支餘絀表,延後托育收入淨額,94320.0,收支
N01,安溪,110,收支餘絀表,延後托育收入淨額,162900.0,收支
N01,安溪,111,收支餘絀表,延後托育收入淨額,294043.0,收支
N01,安溪,112,收支餘絀表,延長照顧服務支出,176808.0,收支
N01,安溪,113,收支餘絀表,延長照顧服務支出,162217.0,收支
N01,安溪,112,收支餘絀表,延長照顧服務收入淨額,337868.0,收支
N01,安溪,113,收支餘絀表,延長照顧服務收入淨額,257480.0,收支
N01,安溪,109,收支餘絀表,所得稅費用,,收支
N01,安溪,110,收支餘絀表,所得稅費用,,收支
N01,安溪,111,收支餘絀表,所得稅費用,,收支
N01,安溪,112,收支餘絀表,所得稅費用,,收支
N01,安溪,113,收支餘絀表,所得稅費用,,收支
N01,安溪,109,收支餘絀表,支出合計,10276283.0,收支
N01,安溪,110,收支餘絀表,支出合計,11066312.0,收支
N01,安溪,111,收支餘絀表,支出合計,16743535.0,收支
N01,安溪,112,收支餘絀表,支出合計,18744221.0,收支
N01,安溪,113,收支餘絀表,支出合計,22144749.0,收支
N01,安溪,109,收支餘絀表,收入合計,10061074.0,收支
N01,安溪,110,收支餘絀表,收入合計,11284869.0,收支
N01,安溪,111,收支餘絀表,收入合計,17393407.0,收支
N01,安溪,112,收支餘絀表,收入合計,18995020.0,收支
N01,安溪,113,收支餘絀表,收入合計,20155978.0,收支
N01,安溪,109,收支餘絀表,教保費收入,10346071.0,收支
N01,安溪,110,收支餘絀表,教保費收入,10069260.0,收支
N01,安溪,111,收支餘絀表,教保費收入,16337854.0,收支
N01,安溪,112,收支餘絀表,教保費收入,17324859.0,收支
N01,安溪,113,收支餘絀表,教保費收入,17990000.0,收支
N01,安溪,109,收支餘絀表,教保費收入減項,-928865.0,收支
N01,安溪,110,收支餘絀表,教保費收入減項,-76932.0,收支
N01,安溪,111,收支餘絀表,教保費收入減項,-110047.0,收支
N01,安溪,112,收支餘絀表,教保費收入減項,-94176.0,收支
N01,安溪,113,收支餘絀表,教保費收入減項,-68050.0,收支
N01,安溪,109,收支餘絀表,本期稅前餘絀,-215209.0,收支
