園代碼,園名,學年度,指標,數值,資料類別
N01,安溪,110,員工人數,12.0,營運
N01,安溪,110,學生人數,90.0,營運
N01,安溪,110,實際招收人數,90.0,營運
N01,安溪,110,教保人員數,9.0,營運
N01,安溪,110,核定招收人數,90.0,營運
N01,安溪,111,員工人數,18.0,營運
N01,安溪,111,學生人數,134.0,營運
N01,安溪,111,實際招收人數,134.0,營運
N01,安溪,111,教保人員數,12.0,營運
N01,安溪,111,核定招收人數,136.0,營運
N01,安溪,112,員工人數,18.0,營運
N01,安溪,112,學生人數,134.0,營運
N01,安溪,112,實際招收人數,134.0,營運
N01,安溪,112,教保人員數,12.0,營運
N01,安溪,112,核定招收人數,136.0,營運
N01,安溪,113,員工人數,18.0,營運
N01,安溪,113,學生人數,118.0,營運
N01,安溪,113,實際招收人數,118.0,營運
N01,安溪,113,教保人員數,12.0,營運
N01,安溪,113,核定招收人數,120.0,營運
N02,山北,110,員工人數,13.0,營運
N02,山北,110,學生人數,90.0,營運
N02,山北,110,實際招收人數,90.0,營運
N02,山北,110,教保人員數,10.0,營運
N02,山北,110,核定招收人數,,營運
N02,山北,111,員工人數,13.0,營運
N02,山北,111,學生人數,90.0,營運
N02,山北,111,實際招收人數,90.0,營運
N02,山北,111,教保人員數,10.0,營運
N02,山北,111,核定招收人數,,營運
N02,山北,112,員工人數,13.0,營運
N02,山北,112,學生人數,90.0,營運
N02,山北,112,實際招收人數,90.0,營運
N02,山北,112,教保人員數,10.0,營運
N02,山北,112,核定招收人數,,營運
N02,山北,113,員工人數,13.0,營運
N02,山北,113,學生人數,86.0,營運
N02,山北,113,實際招收人數,86.0,營運
N02,山北,113,教保人員數,10.0,營運
N02,山北,113,核定招收人數,,營運
N03,龍埔成長,110,員工人數,12.0,營運
N03,龍埔成長,110,學生人數,90.0,營運
N03,龍埔成長,110,實際招收人數,90.0,營運
N03,龍埔成長,110,教保人員數,9.0,營運
N03,龍埔成長,110,核定招收人數,90.0,營運
N03,龍埔成長,111,員工人數,12.0,營運
N03,龍埔成長,111,學生人數,89.0,營運
N03,龍埔成長,111,實際招收人數,89.0,營運
N03,龍埔成長,111,教保人員數,9.0,營運
N03,龍埔成長,111,核定招收人數,90.0,營運
N03,龍埔成長,112,員工人數,12.0,營運
N03,龍埔成長,112,學生人數,90.0,營運
N03,龍埔成長,112,實際招收人數,90.0,營運
N03,龍埔成長,112,教保人員數,9.0,營運
N03,龍埔成長,112,核定招收人數,90.0,營運
N03,龍埔成長,113,員工人數,12.0,營運
N03,龍埔成長,113,學生人數,71.0,營運
N03,龍埔成長,113,實際招收人數,71.0,營運
N03,龍埔成長,113,教保人員數,9.0,營運
N03,龍埔成長,113,核定招收人數,72.0,營運
N04,海工,110,員工人數,7.0,營運
N04,海工,110,學生人數,,營運
N04,海工,110,實際招收人數,,營運
N04,海工,110,教保人員數,5.0,營運
N04,海工,110,核定招收人數,60.0,營運
N04,海工,111,員工人數,6.0,營運
N04,海工,111,學生人數,60.0,營運
N04,海工,111,實際招收人數,60.0,營運
N04,海工,111,教保人員數,4.0,營運
N04,海工,111,核定招收人數,60.0,營運
N04,海工,112,員工人數,7.0,營運
N04,海工,112,學生人數,60.0,營運
N04,海工,112,實際招收人數,60.0,營運
N04,海工,112,教保人員數,5.0,營運
N04,海工,112,核定招收人數,60.0,營運
N04,海工,113,員工人數,7.0,營運
N04,海工,113,學生人數,48.0,營運
N04,海工,113,實際招收人數,48.0,營運
N04,海工,113,教保人員數,5.0,營運
N04,海工,113,核定招收人數,,營運
N05,漢翔,110,員工人數,11.0,營運
N05,漢翔,110,學生人數,76.0,營運
N05,漢翔,110,實際招收人數,76.0,營運
N05,漢翔,110,教保人員數,8.0,營運
N05,漢翔,110,核定招收人數,,營運
N05,漢翔,111,員工人數,11.0,營運
N05,漢翔,111,學生人數,76.0,營運
N05,漢翔,111,實際招收人數,76.0,營運
N05,漢翔,111,教保人員數,8.0,營運
N05,漢翔,111,核定招收人數,,營運
N05,漢翔,112,員工人數,11.0,營運
N05,漢翔,112,學生人數,76.0,營運
N05,漢翔,112,實際招收人數,76.0,營運
N05,漢翔,112,教保人員數,8.0,營運
N05,漢翔,112,核定招收人數,76.0,營運
N05,漢翔,113,員工人數,8.0,營運
N05,漢翔,113,學生人數,72.0,營運
N05,漢翔,113,實際招收人數,72.0,營運
N05,漢翔,113,教保人員數,7.0,營運
N05,漢翔,113,核定招收人數,,營運
N06,昌平,110,員工人數,13.0,營運
N06,昌平,110,學生人數,,營運
N06,昌平,110,實際招收人數,,營運
N06,昌平,110,教保人員數,10.0,營運
N06,昌平,110,核定招收人數,120.0,營運
