幼兒園ID,園名,年份,縣市,人事費_決算,業務費_決算,材料費_決算,維護費_決算,修繕購置費_決算,業務發展費_決算,其他支出_決算,支出合計_決算,收入合計_決算,本期稅後餘絀,流動資產,流動負債,資產總計,負債總額,期末現金淨增加,經費流用比例,預算偏離率,人事費_預算,學生人數,教保人員數,員工人數,人事費_YoY,人事費_連續成長年數,人事費_波動度,業務費_YoY,業務費_連續成長年數,業務費_波動度,材料費_YoY,材料費_連續成長年數,材料費_波動度,維護費_YoY,維護費_連續成長年數,維護費_波動度,修繕購置費_YoY,修繕購置費_連續成長年數,修繕購置費_波動度,業務發展費_YoY,業務發展費_連續成長年數,業務發展費_波動度,其他支出_YoY,其他支出_連續成長年數,其他支出_波動度,人事費_執行率,人事費_偏離率,預算超支科目比例,人事費_占比,人事費_占比變化,業務費_占比,業務費_占比變化,材料費_占比,材料費_占比變化,維護費_占比,維護費_占比變化,修繕購置費_占比,修繕購置費_占比變化,業務發展費_占比,業務發展費_占比變化,其他支出_占比,其他支出_占比變化,每生人事費,每生總支出,每生業務費,每生修繕費,收入成長率,支出成長率,收支成長率差,收支餘絀率,流動比率,負債比率,現金流異常,師生比,師生比惡化幅度,每生人事費_歷年z,每生人事費_同業z,每生人事費_等級,每生人事費_等級分數,每生人事費_風險方向,人事費年增率_歷年z,人事費年增率_同業z,人事費年增率_等級,人事費年增率_等級分數,人事費年增率_風險方向,預決算偏離率_歷年z,預決算偏離率_同業z,預決算偏離率_等級,預決算偏離率_等級分數,預決算偏離率_風險方向,經費流用比例_歷年z,經費流用比例_同業z,經費流用比例_等級,經費流用比例_等級分數,經費流用比例_風險方向,師生比_歷年z,師生比_同業z,師生比_等級,師生比_等級分數,師生比_風險方向,教職員流動率_歷年z,教職員流動率_同業z,教職員流動率_等級,教職員流動率_等級分數,教職員流動率_風險方向,加班費負荷_歷年z,加班費負荷_同業z,加班費負荷_等級,加班費負荷_等級分數,加班費負荷_風險方向,不當管教事件_歷年z,不當管教事件_同業z,不當管教事件_等級,不當管教事件_等級分數,不當管教事件_風險方向,法遵風險指數,整體風險等級,事件前預警,事件年份
N01,安溪,109,新北市,6718238.0,250735.0,943915.0,17192.0,42647.0,1592844.0,523036.0,10276283.0,10061074.0,,,,,,,,,,,,,,0,0.28280962358486195,,0,0.19348580491432776,,0,0.33034577134196896,,0,0.622077590368313,,0,0.618184415742751,,0,0.7540399262253911,,0,0.4353985267611327,,,,0.6537614816563537,,0.024399386431845055,,0.09185373738734132,,0.0016729784495035803,,0.004150041410887575,,0.15500195936604705,,0.050897391595774465,,,,,,,,,-0.02139026111924035,,,False,,,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,0.0,低風險,每生人事費(YELLOW)、人事費年增率(YELLOW),113
N01,安溪,110,新北市,6763467.0,300404.0,1245534.0,105476.0,125696.0,1099000.0,1086035.0,11066312.0,11284869.0,218557.0,6087164.0,4519817.0,14735315.0,13164368.0,455750.0,0.043478260869565216,,,90.0,9.0,12.0,0.00673227116991092,1,0.28280962358486195,0.19809360480188246,1,0.19348580491432776,0.31954042472044625,1,0.33034577134196896,5.135179153094462,1,0.622077590368313,1.947358548080756,1,0.618184415742751,-0.31003915009881694,0,0.7540399262253911,1.0764058305738038,1,0.4353985267611327,,,,0.6111762437205819,-0.04258523793577185,0.0271458097331794,0.002746423301334344,0.11255186009575728,0.020698122708415964,0.009531269315378059,0.007858290865874478,0.011358436306512955,0.00720839489562538,0.0993104116348789,-0.05569154773116815,0.09813883794348108,0.04724144634770661,75149.63333333333,122959.02222222222,3337.822222222222,1396.6222222222223,0.12163661652821557,0.07687886758276315,-0.044757748945452425,0.01936726070989393,1.3467722255126702,0.8933889774327864,False,10.0,,,-0.9589410656216154,GREEN,1,正常,,0.47838486646709166,GREEN,1,正常,,,N/A,0,無資料,,-0.48120843536842345,GREEN,1,正常,,0.5773502691896268,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,0.0,低風險,每生人事費(YELLOW)、人事費年增率(YELLOW),113
N01,安溪,111,新北市,11539967.0,401715.0,2084531.0,40666.0,58005.0,1300000.0,801623.0,16743535.0,17393407.0,649872.0,8984463.0,6767244.0,20469369.0,18248550.0,3020399.0,0.12,,,134.0,12.0,18.0,0.7062206409819106,2,0.28280962358486195,0.33724917111623015,2,0.19348580491432776,0.6736042532761048,2,0.33034577134196896,-0.6144525768895294,0,0.622077590368313,-0.5385294679226069,0,0.618184415742751,0.18289353958143767,1,0.7540399262253911,-0.26188106276501216,0,0.4353985267611327,,,,0.6892192717965472,0.0780430280759653,0.023992245365151384,-0.0031535643680280154,0.12449766432237876,0.011945804226621476,0.0024287583237351013,-0.007102510991642958,0.003464322199583302,-0.007894114106929653,0.07764190775723287,-0.02166850387764603,0.04787656847852022,-0.05026226946496086,86119.15671641791,124951.75373134328,2997.873134328358,432.8731343283582,0.5413034036992366,0.5130185196296653,-0.028284884069571303,0.03736312270505715,1.3276398782133465,0.8915052535327298,False,11.166666666666666,1.166666666666666,,1.0208470538812782,YELLOW,2,HIGH,,1.9540714560283354,YELLOW,2,HIGH,,,N/A,0,無資料,,-0.4200462521617943,GREEN,1,正常,,0.216443517738857,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,10.4,低風險,每生人事費(YELLOW)、人事費年增率(YELLOW),113
N01,安溪,112,新北市,11797585.0,394450.0,2216621.0,51581.0,28074.0,2388000.0,1344392.0,18744221.0,18995020.0,250799.0,9740300.0,7272282.0,24140447.0,21668829.0,830164.0,0.06818181818181818,-0.12,13406346.590909092,134.0,12.0,18.0,0.022323980649164767,3,0.28280962358486195,-0.01808496073086641,0,0.19348580491432776,0.0633667717102792,3,0.33034577134196896,0.2684060394432696,1,0.622077590368313,-0.5160072407551073,0,0.618184415742751,0.8369230769230769,2,0.7540399262253911,0.6770876085142268,1,0.4353985267611327,0.8799999999999999,-0.12000000000000005,0.0,0.6293985223499019,-0.05982074944664528,0.021043819319031716,-0.0029484260461196676,0.11825623481498644,-0.006241429507392315,0.002751834818848967,0.00032307649511386554,0.0014977416239383861,-0.0019665805756449157,0.1273992661524851,0.04975735839525222,0.07172301265547391,0.023846444176953696,88041.67910447762,139882.24626865672,2943.6567164179105,209.50746268656715,0.09208161460259051,0.11949005989475937,0.027408445292168862,0.013203408051162885,1.3393732531274227,0.8976150690167419,False,11.166666666666666,0.0,0.9549623297104266,0.9978442960166867,GREEN,1,正常,-0.6755837309719054,0.6488822162465406,GREEN,1,正常,,0.9139028991076836,GREEN,1,正常,-0.25055539870556387,-1.3115964120811796,GREEN,1,正常,0.7071067811865481,0.5172800459362212,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,0.0,低風險,每生人事費(YELLOW)、人事費年增率(YELLOW),113
N01,安溪,113,新北市,11978248.0,382209.0,1890864.0,106064.0,128643.0,5420000.0,1765262.0,22144749.0,20155978.0,,8950842.0,6271595.0,26187977.0,25705130.0,-785570.0,0.13953488372093023,-0.13,13768101.149425287,118.0,12.0,18.0,0.015313557817129522,4,0.28280962358486195,-0.031033084041069844,0,0.19348580491432776,-0.14696107273187434,0,0.33034577134196896,1.0562610263469108,2,0.622077590368313,3.5822825390040607,1,0.618184415742751,1.269681742043551,3,0.7540399262253911,0.3130560134246559,2,0.4353985267611327,0.87,-0.12999999999999998,0.0,0.540906921094477,-0.08849160125542488,0.01725957697691674,-0.0037842423421149754,0.08538656274677126,-0.032869672068215186,0.004789577881420106,0.002037743062571139,0.005809187541479924,0.004311445917541538,0.24475328214377143,0.11735401599128634,0.0797146989563982,0.007991686300924283,101510.57627118644,187667.36440677967,3239.0593220338983,1090.1949152542372,0.06111907226209817,0.1814174085975619,0.12029833633546372,-0.0986690400237587,1.427203446651131,0.9815622642405711,False,9.833333333333334,-1.3333333333333321,2.6466011471656343,-0.05568529588768292,RED,3,HIGH+SHIFT,-0.5752738839287064,-0.8891036733722073,GREEN,1,正常,,-0.23731467028000877,GREEN,1,正常,1.5956357322453032,-0.9189135241068744,YELLOW,2,HIGH+SHIFT,-1.4021363680319452,0.5610045901091386,YELLOW,2,SHIFT,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,21.9,低風險,每生人事費(YELLOW)、人事費年增率(YELLOW),113
N02,山北,109,新北市,7131318.0,363294.0,905342.0,54041.0,112946.0,1199000.0,895990.0,11123655.0,10905158.0,,,,,,,,,,,,,,0,0.13704657051566285,,0,0.12095405827085978,,0,0.1050446321695969,,0,0.3211545276614987,,0,0.882047022019387,,0,0.6505814927486516,,0,0.39628696439589034,,,,0.6410948559623613,,0.032659588957046945,,0.0813888960058542,,0.004858205329093719,,0.010153677006343688,,0.10778831238473326,,0.08054816514895509,,,,,,,,,-0.02003611502006665,,,False,,,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,0.0,低風險,每生人事費(RED)、人事費年增率(RED)、預決算偏離率(YELLOW)、經費流用比例(RED),113
N02,山北,110,新北市,6971731.0,445333.0,1085568.0,93029.0,50201.0,294400.0,1874209.0,11291786.0,12382097.0,1065234.0,4945771.0,3172583.0,10482506.0,8709318.0,493421.0,0.03571428571428571,,,90.0,10.0,13.0,-0.022378331747371243,0,0.13704657051566285,0.22581985939762286,1,0.12095405827085978,0.19906952289852894,1,0.1050446321695969,0.7214522307137173,1,0.3211545276614987,-0.5555309616985108,0,0.882047022019387,-0.7544620517097581,0,0.6505814927486516,1.0917744617685465,1,0.39628696439589034,,,,0.6174161465688421,-0.023678709393519126,0.03943866807252635,0.006779079115479404,0.09613784745832059,0.014748951452466394,0.008238643559132276,0.0033804382300385563,0.004445798034075389,-0.005707878972268298,0.026072049186904533,-0.08171626319782872,0.16597985473688573,0.08543168958793064,77463.67777777778,125464.28888888888,4948.144444444444,557.7888888888889,0.13543490153925325,0.015114726229822842,-0.12032017530943041,0.08805544004379871,1.5589098850999328,0.8308431209102098,False,9.0,,,-0.07759681006467868,GREEN,1,正常,,-1.1493357953757126,YELLOW,2,LOW,,,N/A,0,無資料,,-0.6684220917797696,GREEN,1,正常,,-1.1547005383792506,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,5.2,低風險,每生人事費(RED)、人事費年增率(RED)、預決算偏離率(YELLOW)、經費流用比例(RED),113
N02,山北,111,新北市,7286602.0,505083.0,1115609.0,52748.0,24821.0,620000.0,2293328.0,12287391.0,12701252.0,413861.0,6110592.0,3923543.0,12172850.0,9985801.0,1093850.0,0.06896551724137931,,,90.0,10.0,13.0,0.04516396286661089,1,0.13704657051566285,0.1341692621027411,2,0.12095405827085978,0.027673070687418935,2,0.1050446321695969,-0.43299401261972076,0,0.3211545276614987,-0.5055676181749368,0,0.882047022019387,1.1059782608695652,1,0.6505814927486516,0.22362447304436164,2,0.39628696439589034,,,,0.5930145789289198,-0.024401567639922295,0.041105796991403626,0.0016671289188772767,0.09079299258890679,-0.005344854869413801,0.004292855985456962,-0.003945787573675314,0.0020200382652428004,-0.0024257597688325887,0.05045822990413506,0.024386180717230525,0.18664076043482297,0.020660905697937243,80962.24444444444,136526.56666666668,5612.033333333334,275.7888888888889,0.02577552089924671,0.08817072870491878,0.062395207805672065,0.032584268070580756,1.5574168551230354,0.820333857724362,False,9.0,0.0,,0.2999221988274466,GREEN,1,正常,,-0.4714296955755956,GREEN,1,正常,,,N/A,0,無資料,,-0.8161198366953338,GREEN,1,正常,,-0.9598028122682087,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,0.0,低風險,每生人事費(RED)、人事費年增率(RED)、預決算偏離率(YELLOW)、經費流用比例(RED),113
N02,山北,112,新北市,9157815.0,463878.0,1219134.0,81966.0,107677.0,1833375.0,935839.0,14199695.0,13850855.0,,6167364.0,4329155.0,14224642.0,12386433.0,273483.0,0.13043478260869565,-0.06999999999999995,9847112.903225806,90.0,10.0,13.0,0.2568018673175782,2,0.13704657051566285,-0.08158065110090816,0,0.12095405827085978,0.09279684907525845,3,0.1050446321695969,0.5539167361795708,1,0.3211545276614987,3.338141090205874,1,0.882047022019387,1.9570564516129032,2,0.6505814927486516,-0.5919297196039991,0,0.39628696439589034,0.93,-0.06999999999999992,0.0,0.6449304016741204,0.05191582274520057,0.032668166464138844,-0.008437630527264782,0.08585635113993646,-0.004936641448970325,0.005772377505291487,0.0014795215198345254,0.007583050199317661,0.0055630119340748605,0.129113688709511,0.07865545880537594,0.06590557050697216,-0.12073518992785082,101753.5,157774.38888888888,5154.2,1196.411111111111,0.09051099844330307,0.15563141109451145,0.06512041265120838,-0.02518544884052284,1.4246115003967288,0.8707729164642597,False,9.0,0.0,9.111484455500289,1.7969745238613424,RED,3,HIGH+SHIFT,5.138421951885826,2.1113678302271874,RED,3,HIGH+SHIFT,,1.314737503979475,YELLOW,2,HIGH,3.3214661525300464,-0.34002542024031024,RED,3,HIGH+SHIFT,,-1.7190049726847707,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,36.5,中風險,每生人事費(RED)、人事費年增率(RED)、預決算偏離率(YELLOW)、經費流用比例(RED),113
N02,山北,113,新北市,9040242.0,485428.0,1120241.0,44629.0,288508.0,2204787.0,1652090.0,15191842.0,15866725.0,674883.0,6619733.0,4106641.0,16869798.0,14356706.0,471634.0,0.13043478260869565,-0.09999999999999998,10044713.333333334,86.0,10.0,13.0,-0.012838542818346952,0,0.13704657051566285,0.046456180288782824,1,0.12095405827085978,-0.08111741613309119,0,0.1050446321695969,-0.4555181416684967,0,0.3211545276614987,1.6793837123991195,2,0.882047022019387,0.20258375946001228,3,0.6505814927486516,0.765357075308894,1,0.39628696439589034,0.8999999999999999,-0.10000000000000006,0.0,0.5950721446418413,-0.049858257032279085,0.031953202251576864,-0.0007149642125619804,0.07373964263188099,-0.012116708508055477,0.0029376951129428544,-0.0028346823923486326,0.018990982133700443,0.011407931934382783,0.14512966893678858,0.01601598022727757,0.10874849804256785,0.042842927535595696,105119.09302325582,176649.32558139536,5644.511627906977,3354.7441860465115,0.14554119583231503,0.06987100779277301,-0.07567018803954202,0.04253448648035433,1.6119580455170053,0.8510301071773355,False,8.6,-0.40000000000000036,1.4007205067853434,0.9754486178043323,YELLOW,2,HIGH+SHIFT,-0.7279777233962936,-0.823115524212933,GREEN,1,正常,,0.21821789023599222,GREEN,1,正常,1.0833944974920544,-1.1544058619464388,YELLOW,2,HIGH+SHIFT,,-1.1263148458111019,GREEN,1,正常,,,N/A,0,無資料,,,N/A,0,無資料,,,N/A,0,無資料,10.4,低風險,每生人事費(RED)、人事費年增率(RED)、預決算偏離率(YELLOW)、經費流用比例(RED),113
