檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N07北大_110學年度財務報告.pdf,7,109學年度,教保費收入,"12,282,361",109
N07北大_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(966,088)",109
N07北大_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"242,250",109
N07北大_110學年度財務報告.pdf,7,109學年度,利息收入,"19,021",109
N07北大_110學年度財務報告.pdf,7,109學年度,其他收入,"1,289,207",109
N07北大_110學年度財務報告.pdf,7,109學年度,收入合計,"12,866,751",109
N07北大_110學年度財務報告.pdf,7,109學年度,人事費,"8,654,975",109
N07北大_110學年度財務報告.pdf,7,109學年度,業務費,"456,122",109
N07北大_110學年度財務報告.pdf,7,109學年度,材料費,"1,736,479",109
N07北大_110學年度財務報告.pdf,7,109學年度,維護費,"74,894",109
N07北大_110學年度財務報告.pdf,7,109學年度,修繕購置費,"205,754",109
N07北大_110學年度財務報告.pdf,7,109學年度,公共事務管理費,"150,000",109
N07北大_110學年度財務報告.pdf,7,109學年度,雜支,"34,922",109
N07北大_110學年度財務報告.pdf,7,109學年度,行政管理費,"69,472",109
N07北大_110學年度財務報告.pdf,7,109學年度,業務發展費,"728,000",109
N07北大_110學年度財務報告.pdf,7,109學年度,延後托育支出,"204,801",109
N07北大_110學年度財務報告.pdf,7,109學年度,其他支出,"1,289,207",109
N07北大_110學年度財務報告.pdf,7,109學年度,支出合計,"13,604,626",109
N07北大_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"(737,875)",109
N07北大_110學年度財務報告.pdf,7,109學年度,所得稅費用,-,109
N07北大_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$(737,875)",109
