檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N06昌平_110學年度財務報告.pdf,7,109學年度,教保費收入,"10,176,900",109
N06昌平_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(880,624)",109
N06昌平_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"349,030",109
N06昌平_110學年度財務報告.pdf,7,109學年度,利息收入,"19,030",109
N06昌平_110學年度財務報告.pdf,7,109學年度,其他收入,"618,996",109
N06昌平_110學年度財務報告.pdf,7,109學年度,收入合計,"10,283,332",109
N06昌平_110學年度財務報告.pdf,7,109學年度,人事費,"6,795,977",109
N06昌平_110學年度財務報告.pdf,7,109學年度,業務費,"545,111",109
N06昌平_110學年度財務報告.pdf,7,109學年度,材料費,"1,265,471",109
N06昌平_110學年度財務報告.pdf,7,109學年度,維護費,"70,046",109
N06昌平_110學年度財務報告.pdf,7,109學年度,修繕購置費,"111,104",109
N06昌平_110學年度財務報告.pdf,7,109學年度,公共事務管理費,"89,120",109
N06昌平_110學年度財務報告.pdf,7,109學年度,雜支,"37,780",109
N06昌平_110學年度財務報告.pdf,7,109學年度,行政管理費,"66,928",109
N06昌平_110學年度財務報告.pdf,7,109學年度,業務發展費,"1,066,000",109
N06昌平_110學年度財務報告.pdf,7,109學年度,延後托育支出,"254,776",109
N06昌平_110學年度財務報告.pdf,7,109學年度,其他支出,"618,996",109
N06昌平_110學年度財務報告.pdf,7,109學年度,支出合計,"10,921,309",109
N06昌平_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"(637,977)",109
N06昌平_110學年度財務報告.pdf,7,109學年度,所得稅費用,-,109
N06昌平_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$(637,977)",109
