檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N04海工_110學年度財務報告.pdf,7,109學年度,教保費收入,"$ 6,228,326",109
N04海工_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(390,659)",109
N04海工_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"178,409",109
N04海工_110學年度財務報告.pdf,7,109學年度,利息收入,"8,006",109
N04海工_110學年度財務報告.pdf,7,109學年度,其他收入,"174,050",109
N04海工_110學年度財務報告.pdf,7,109學年度,收入合計,"6,198,132",109
N04海工_110學年度財務報告.pdf,7,109學年度,人事費,"3,719,957",109
N04海工_110學年度財務報告.pdf,7,109學年度,業務費,"318,596",109
N04海工_110學年度財務報告.pdf,7,109學年度,材料費,"834,652",109
N04海工_110學年度財務報告.pdf,7,109學年度,維護費,"100,460",109
N04海工_110學年度財務報告.pdf,7,109學年度,修繕購置費,"177,849",109
N04海工_110學年度財務報告.pdf,7,109學年度,雜支,"11,610",109
N04海工_110學年度財務報告.pdf,7,109學年度,行政管理費,"90,012",109
N04海工_110學年度財務報告.pdf,7,109學年度,業務發展費,"448,000",109
N04海工_110學年度財務報告.pdf,7,109學年度,延後托育支出,"108,304",109
N04海工_110學年度財務報告.pdf,7,109學年度,其他支出,"174,027",109
N04海工_110學年度財務報告.pdf,7,109學年度,支出合計,"5,983,467",109
N04海工_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"214,665",109
N04海工_110學年度財務報告.pdf,7,109學年度,所得稅費用,"63,106",109
N04海工_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$ 151,559",109
