檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N08鷺江_110學年度財務報告.pdf,7,109學年度,教保費收入,"9,806,351",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,教保費收入減項,"(619,075)",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,延後托育收入淨額,"231,060",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,利息收入,746,109
N08鷺江_110學年度財務報告.pdf,7,109學年度,其他收入,"991,414",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,收入合計,"10,410,496",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,人事費,"7,007,700",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,業務費,"387,199",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,材料費,"1,046,905",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,維護費,"80,856",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,修繕購置費,"115,199",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,公共事務管理費,-,109
N08鷺江_110學年度財務報告.pdf,7,109學年度,雜支,"10,707",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,行政管理費,"70,849",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,業務發展費,"1,566,008",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,延後托育支出,"181,610",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,其他支出,"991,414",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,支出合計,"11,458,447",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,本期稅前餘絀,"(1,047,951)",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,所得稅費用,"21,084",109
N08鷺江_110學年度財務報告.pdf,7,109學年度,本期稅後餘絀,"$(1,069,035)",109
