檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N07北大_110學年度財務報告.pdf,110學年度,收入,"14,736,600","16,159,911","1,423,311",110,
N07北大_110學年度財務報告.pdf,110學年度,教保費收入淨額,"14,736,600","14,112,426","(624,174)",96,
N07北大_110學年度財務報告.pdf,110學年度,教保費收入,"14,736,600","14,247,593","(489,007)",97,
N07北大_110學年度財務報告.pdf,110學年度,教保費收入(家長繳費),"4,500,000","2,928,961","(1,571,039)",65,
N07北大_110學年度財務報告.pdf,110學年度,教保費收入(政府學費差額補助),"10,236,600","11,318,632","1,082,032",111,
N07北大_110學年度財務報告.pdf,110學年度,教保費收入減項,,"(135,167)","(135,167)",-,
N07北大_110學年度財務報告.pdf,110學年度,五日未上課退費,,"(128,619)","(128,619)",-,
N07北大_110學年度財務報告.pdf,110學年度,轉學/轉出退費,,"(6,548)","(6,548)",-,
N07北大_110學年度財務報告.pdf,110學年度,延後托育收入淨額,,"188,370","188,370",-,
N07北大_110學年度財務報告.pdf,110學年度,延後托育收入淨額,,"188,370","188,370",-,
N07北大_110學年度財務報告.pdf,110學年度,延後托育收入,,"188,370","188,370",-,
N07北大_110學年度財務報告.pdf,110學年度,利息收入,,"27,037","27,037",-,
N07北大_110學年度財務報告.pdf,110學年度,其他收入,,"1,832,078","1,832,078",-,
N07北大_110學年度財務報告.pdf,110學年度,支出,"14,356,393","14,636,905","280,512",102,
N07北大_110學年度財務報告.pdf,110學年度,人事費,"10,473,539","9,226,416","(1,247,123)",88,
N07北大_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資(含職務加給),"6,384,690","5,938,705","(445,985)",93,
N07北大_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,619,366","1,535,215","(84,151)",95,
N07北大_110學年度財務報告.pdf,110學年度,加班費,"794,496","194,872","(599,624)",25,
N07北大_110學年度財務報告.pdf,110學年度,勞、健保費,"948,542","871,738","(76,804)",92,
N07北大_110學年度財務報告.pdf,110學年度,保險費,"16,000","14,791","(1,209)",92,
N07北大_110學年度財務報告.pdf,110學年度,勞退金提撥,"426,876","431,155","4,279",101,
N07北大_110學年度財務報告.pdf,110學年度,自強活動,"16,000","15,000","(1,000)",94,
N07北大_110學年度財務報告.pdf,110學年度,健康檢查,"2,000","1,350",(650),68,
N07北大_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"206,280","164,301","(41,979)",80,
N07北大_110學年度財務報告.pdf,110學年度,資遣費,"59,289","59,289",-,100,
N07北大_110學年度財務報告.pdf,110學年度,業務費,"899,400","685,944","(213,456)",76,
N07北大_110學年度財務報告.pdf,110學年度,活動費,"115,000","104,803","(10,197)",91,
N07北大_110學年度財務報告.pdf,110學年度,研習、進修,"32,000","32,000",-,100,
N07北大_110學年度財務報告.pdf,110學年度,水費,"38,000","80,249","42,249",211,
N07北大_110學年度財務報告.pdf,110學年度,電費,"324,000","248,651","(75,349)",77,
N07北大_110學年度財務報告.pdf,110學年度,瓦斯費,"36,000","21,760","(14,240)",60,
N07北大_110學年度財務報告.pdf,110學年度,保全,"80,000","24,000","(56,000)",30,
N07北大_110學年度財務報告.pdf,110學年度,辦公文具,"30,000","31,466","1,466",105,
N07北大_110學年度財務報告.pdf,110學年度,事務機器耗材,"65,000","66,396","1,396",102,
N07北大_110學年度財務報告.pdf,110學年度,電話費(含網路),"54,000","29,770","(24,230)",55,
