檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N10大觀_110學年度財務報告.pdf,5,現金及銀行存款,"$ 5,235,310",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,現金及銀行存款,"$ 6,373,688",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應收帳款淨額,"69,229",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應收帳款淨額,-,資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,其他應收款,"162,850",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,其他應收款,-,資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,流動資產合計,"5,467,389",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,流動資產合計,"6,373,688",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,資遣費準備金,"188,031",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,資遣費準備金,"92,695",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,業務發展準備金,"3,116,000",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,業務發展準備金,"3,000,000",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,代管財產,"1,541,530",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,代管財產,"1,876,370",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,購置財產,"315,730",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,購置財產,"201,800",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,非流動資產合計,"5,161,291",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,非流動資產合計,"5,170,865",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,資產總計,"$ 10,628,680",資產,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,資產總計,"$ 11,544,553",資產,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應付帳款,"$ 6,000",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應付帳款,$ -,負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,其他應付款,"1,461,310",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,其他應付款,"2,414,507",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,預收款項,"3,169,576",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,預收款項,"3,248,595",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,流動負債合計,"4,636,886",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,流動負債合計,"5,663,102",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,資遣費準備,"188,031",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,資遣費準備,"140,121",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,業務發展準備,"3,116,000",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,業務發展準備,"3,000,000",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應付代管財產,"1,541,530",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應付代管財產,"1,876,370",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應付購置財產,"315,730",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,應付購置財產,"201,800",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,非流動負債合計,"5,161,291",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,非流動負債合計,"5,218,291",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,負債總額,"9,798,177",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,負債總額,"10,881,393",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,累積餘絀,"663,160",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,累積餘絀,"820,962",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,本期餘絀,"167,343",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,本期餘絀,"(157,802)",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,餘絀總額,"830,503",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,餘絀總額,"663,160",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,負債及餘絀總計,"$ 10,628,680",負債及淨值,110學年度,本年度,111 年 7 月 31 日
N10大觀_110學年度財務報告.pdf,5,負債及餘絀總計,"$ 11,544,553",負債及淨值,109學年度,前一年度,110 年 7 月 31 日
