檔案名稱,項目,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率,109學年度預算數,109學年度決算數,109學年度決算與預算差異,109學年度執行率
N10大觀_110學年度財務報告.pdf,代課費及廚工代班費,"142,800","154,077","11,277",108,"142,800","66,246","(76,554)",46
N10大觀_110學年度財務報告.pdf,資遣費,"48,907","48,907",-,100,"47,807","47,807",-,100
N10大觀_110學年度財務報告.pdf,業務費,"799,400","584,686","(214,714)",73,"799,400","536,715","(262,685)",67
N10大觀_110學年度財務報告.pdf,活動費,"120,000","100,978","(19,022)",84,"120,000","82,767","(37,233)",69
N10大觀_110學年度財務報告.pdf,研習、進修,"26,000","26,630",630,102,"26,000","20,000","(6,000)",77
N10大觀_110學年度財務報告.pdf,水費,"36,000","32,023","(3,977)",89,"36,000","8,794","(27,206)",24
N10大觀_110學年度財務報告.pdf,電費,"240,000","137,371","(102,629)",57,"240,000","154,968","(85,032)",65
N10大觀_110學年度財務報告.pdf,瓦斯費,"34,000","19,199","(14,801)",56,"34,000","33,703",(297),99
N10大觀_110學年度財務報告.pdf,保全,"60,000","50,400","(9,600)",84,"60,000","50,400","(9,600)",84
N10大觀_110學年度財務報告.pdf,辦公文具,"24,000","16,286","(7,714)",68,"24,000","15,175","(8,825)",63
N10大觀_110學年度財務報告.pdf,事務機器耗材,"70,000","72,263","2,263",103,"70,000","37,596","(32,404)",54
N10大觀_110學年度財務報告.pdf,電話費(含網路),"54,000","44,027","(9,973)",82,"54,000","40,055","(13,945)",74
N10大觀_110學年度財務報告.pdf,郵資,"8,400","3,491","(4,909)",42,"8,400","3,469","(4,931)",41
N10大觀_110學年度財務報告.pdf,文宣費(一般文宣),"10,000","10,000",-,100,"10,000","8,510","(1,490)",85
N10大觀_110學年度財務報告.pdf,文宣費(圖刊),"35,000","35,035",35,100,"35,000","29,425","(5,575)",84
N10大觀_110學年度財務報告.pdf,攝影照片,"10,000",,"(10,000)",,"10,000","10,000",-,100
N10大觀_110學年度財務報告.pdf,園務特支,"42,000","36,983","(5,017)",88,"42,000","41,773",(227),99
N10大觀_110學年度財務報告.pdf,差旅費,"30,000",,"(30,000)",,"30,000",80,"(29,920)",-
N10大觀_110學年度財務報告.pdf,材料費,"1,650,420","1,402,811","(247,609)",85,"1,650,420","1,324,734","(325,686)",80
N10大觀_110學年度財務報告.pdf,教保材料費,"254,400","150,945","(103,455)",59,"254,400","242,366","(12,034)",95
N10大觀_110學年度財務報告.pdf,日常消耗用品,"63,600","35,619","(27,981)",56,"63,600","40,618","(22,982)",64
N10大觀_110學年度財務報告.pdf,藥品費,"7,420","7,905",485,107,"7,420","4,432","(2,988)",60
N10大觀_110學年度財務報告.pdf,餐點費,"1,325,000","1,208,342","(116,658)",91,"1,325,000","1,037,318","(287,682)",78
N10大觀_110學年度財務報告.pdf,維護費,"143,000","38,191","(104,809)",27,"143,000","41,208","(101,792)",29
N10大觀_110學年度財務報告.pdf,水電修繕,"110,000","18,965","(91,035)",17,"110,000","26,732","(83,268)",24
N10大觀_110學年度財務報告.pdf,園舍消毒、清潔,"25,000","17,750","(7,250)",71,"25,000","13,000","(12,000)",52
N10大觀_110學年度財務報告.pdf,火險,"8,000","1,476","(6,524)",18,"8,000","1,476","(6,524)",18
N10大觀_110學年度財務報告.pdf,修繕購置費,"148,400","221,493","73,093",149,"148,400","90,369","(58,031)",61
N10大觀_110學年度財務報告.pdf,雜支,"47,964","8,683","(39,281)",18,"47,964","32,254","(15,710)",67
N10大觀_110學年度財務報告.pdf,行政管理費,"84,736","84,736",-,100,"84,736","84,736",-,100
N10大觀_110學年度財務報告.pdf,業務發展費,-,"116,000","116,000",-,"800,000","800,000",-,-
N10大觀_110學年度財務報告.pdf,延後托育支出,-,"325,602","325,602",-,-,"385,711","385,711",-
N10大觀_110學年度財務報告.pdf,其他支出,-,"2,285,746","2,285,746",-,-,"1,178,639","1,178,639",-
N10大觀_110學年度財務報告.pdf,本期稅前餘絀,"(415,430)","188,742","604,172",(45),"(210,411)","(157,802)","52,609",75
N10大觀_110學年度財務報告.pdf,所得稅費用,-,"21,399","21,399",-,-,-,-,-
N10大觀_110學年度財務報告.pdf,本期稅後餘絀,"$(415,430)","$167,343","$582,773",(40),"$(210,411)","$(157,802)","$52,609",75
