檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N10大觀_110學年度財務報告.pdf,110學年度,收入,"$10,686,720","$13,298,222","$2,611,502",124,
N10大觀_110學年度財務報告.pdf,110學年度,教保費收入淨額,"10,686,720","10,620,655","(66,065)",99,
N10大觀_110學年度財務報告.pdf,110學年度,教保費收入,"10,686,720","10,711,120","24,400",100,
N10大觀_110學年度財務報告.pdf,110學年度,教保費收入（家長繳費）,"3,180,000","2,346,116","(833,884)",74,
N10大觀_110學年度財務報告.pdf,110學年度,教保費收入（政府學費差額補助）,"7,506,720","8,365,004","858,284",111,
N10大觀_110學年度財務報告.pdf,110學年度,教保費收入減項,-,"(90,465)","(90,465)",-,
N10大觀_110學年度財務報告.pdf,110學年度,五日未上課退費,-,"(72,520)","(72,520)",-,
N10大觀_110學年度財務報告.pdf,110學年度,腸病毒退費,-,-,-,-,
N10大觀_110學年度財務報告.pdf,110學年度,轉學/轉出退費,-,"(17,945)","(17,945)",-,
N10大觀_110學年度財務報告.pdf,110學年度,政府學費差額補助退費,-,-,-,-,
N10大觀_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"365,880","365,880",-,
N10大觀_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"365,880","365,880",-,
N10大觀_110學年度財務報告.pdf,110學年度,延後托育收入,-,"399,960","399,960",-,
N10大觀_110學年度財務報告.pdf,110學年度,延後托育收入退費,-,"(34,080)","(34,080)",-,
N10大觀_110學年度財務報告.pdf,110學年度,利息收入,-,"25,941","25,941",-,
N10大觀_110學年度財務報告.pdf,110學年度,其他收入,-,"2,285,746","2,285,746",-,
N10大觀_110學年度財務報告.pdf,110學年度,支出,"11,102,150","13,109,480","2,007,330",118,
N10大觀_110學年度財務報告.pdf,110學年度,人事費,"8,228,230","8,041,532","(186,698)",98,
N10大觀_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資（含職務加給）,"4,986,833","4,945,244","(41,589)",99,
N10大觀_110學年度財務報告.pdf,110學年度,學前特教師、社工人員、護理人員薪資,"481,343","378,404","(102,939)",79,
N10大觀_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,134,243","1,154,555","20,312",102,
N10大觀_110學年度財務報告.pdf,110學年度,加班費,"325,260","267,745","(57,515)",82,
N10大觀_110學年度財務報告.pdf,110學年度,勞、健保費,"713,444","712,879",(565),100,
N10大觀_110學年度財務報告.pdf,110學年度,保險費,"13,000","11,200","(1,800)",86,
N10大觀_110學年度財務報告.pdf,110學年度,勞退金提撥,"356,400","355,521",(879),100,
N10大觀_110學年度財務報告.pdf,110學年度,自強活動,"13,000","13,000",-,100,
N10大觀_110學年度財務報告.pdf,110學年度,健康檢查,"13,000",-,"(13,000)",-,
