檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N01安溪_110學年度財務報告.pdf,6,110學年度,教保費收入,"$ 10,069,260",110
N01安溪_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(76,932)",110
N01安溪_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"162,900",110
N01安溪_110學年度財務報告.pdf,6,110學年度,利息收入,"43,296",110
N01安溪_110學年度財務報告.pdf,6,110學年度,其他收入,"1,086,345",110
N01安溪_110學年度財務報告.pdf,6,110學年度,收入合計,"11,284,869",110
N01安溪_110學年度財務報告.pdf,6,110學年度,人事費,"6,763,467",110
N01安溪_110學年度財務報告.pdf,6,110學年度,業務費,"300,404",110
N01安溪_110學年度財務報告.pdf,6,110學年度,材料費,"1,245,534",110
N01安溪_110學年度財務報告.pdf,6,110學年度,維護費,"105,476",110
N01安溪_110學年度財務報告.pdf,6,110學年度,修繕購置費,"125,696",110
N01安溪_110學年度財務報告.pdf,6,110學年度,雜支,"22,118",110
N01安溪_110學年度財務報告.pdf,6,110學年度,行政管理費,"124,680",110
N01安溪_110學年度財務報告.pdf,6,110學年度,業務發展費,"1,099,000",110
N01安溪_110學年度財務報告.pdf,6,110學年度,延後托育支出,"147,216",110
N01安溪_110學年度財務報告.pdf,6,110學年度,其他支出,"1,086,035",110
N01安溪_110學年度財務報告.pdf,6,110學年度,呆帳損失,"46,686",110
N01安溪_110學年度財務報告.pdf,6,110學年度,支出合計,"11,066,312",110
N01安溪_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"218,557",110
N01安溪_110學年度財務報告.pdf,6,110學年度,所得稅費用,-,110
N01安溪_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"$ 218,557",110
