檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N01安溪_110學年度財務報告.pdf,5,現金及銀行存款,"5,803,751",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,應收帳款淨額,"17,797",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,其他應收款,-,資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,預付款項,"240,587",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,其他流動資產,"25,029",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,流動資產合計,"6,087,164",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,資遣費準備金,"564,718",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,業務發展準備金,"6,791,844",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,代管財產,"1,119,608",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,購置財產,"168,381",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,存出保證金,"3,600",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,非流動資產合計,"8,648,151",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,資產總計,"14,735,315",資產,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,現金及銀行存款,"5,348,001",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,應收帳款淨額,"54,517",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,其他應收款,456,資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,預付款項,"145,580",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,其他流動資產,"22,313",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,流動資產合計,"5,570,867",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,資遣費準備金,"520,040",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,業務發展準備金,"5,692,844",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,代管財產,"1,268,577",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,購置財產,"110,980",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,存出保證金,"3,600",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,非流動資產合計,"7,596,041",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,資產總計,"13,166,908",資產,109學年度,前一年度,110年7月31日
N01安溪_110學年度財務報告.pdf,5,應付票據,"17,087",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,其他應付款,"1,423,915",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,預收款項,"3,078,815",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,流動負債合計,"4,519,817",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,資遣費準備,"564,718",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,業務發展準備備,"6,791,844",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,應付代管財產,"1,119,608",負債及淨值,110學年度,本年度,111年7月31日
N01安溪_110學年度財務報告.pdf,5,應付購置財產,"168,381",負債及淨值,110學年度,本年度,111年7月31日
