檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N09安興_110學年度財務報告.pdf,6,110學年度,教保費收入,"$ 6,990,138",110
N09安興_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(57,961)",110
N09安興_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"567,480",110
N09安興_110學年度財務報告.pdf,6,110學年度,利息收入,"11,218",110
N09安興_110學年度財務報告.pdf,6,110學年度,其他收入,"1,392,098",110
N09安興_110學年度財務報告.pdf,6,110學年度,收入合計,"8,902,973",110
N09安興_110學年度財務報告.pdf,6,110學年度,人事費,"4,234,041",110
N09安興_110學年度財務報告.pdf,6,110學年度,業務費,"257,048",110
N09安興_110學年度財務報告.pdf,6,110學年度,材料費,"708,169",110
N09安興_110學年度財務報告.pdf,6,110學年度,維護費,"111,992",110
N09安興_110學年度財務報告.pdf,6,110學年度,修繕購置費,"62,469",110
N09安興_110學年度財務報告.pdf,6,110學年度,公共事務管理費,"72,360",110
N09安興_110學年度財務報告.pdf,6,110學年度,雜支,342,110
N09安興_110學年度財務報告.pdf,6,110學年度,行政管理費,"147,220",110
N09安興_110學年度財務報告.pdf,6,110學年度,業務發展費,"820,000",110
N09安興_110學年度財務報告.pdf,6,110學年度,延後托育支出,"454,065",110
N09安興_110學年度財務報告.pdf,6,110學年度,其他支出,"1,392,098",110
N09安興_110學年度財務報告.pdf,6,110學年度,支出合計,"8,259,804",110
N09安興_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"643,169",110
N09安興_110學年度財務報告.pdf,6,110學年度,所得稅費用,"34,386",110
N09安興_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"$ 608,783",110
