檔案名稱,項目,110學年度金額,109學年度金額
N09安興_110學年度財務報告.pdf,營業活動之現金流量：,,
N09安興_110學年度財務報告.pdf,本期稅前餘絀,"643,169","159,056"
N09安興_110學年度財務報告.pdf,調整項目：,,
N09安興_110學年度財務報告.pdf,資產／負債淨變動數,,
N09安興_110學年度財務報告.pdf,應收帳款淨額,"(214,660)","205,368"
N09安興_110學年度財務報告.pdf,應付帳款,"(302,944)","244,464"
N09安興_110學年度財務報告.pdf,其他應付款,"429,892","(104,557)"
N09安興_110學年度財務報告.pdf,預收款項,"90,000","293,220"
N09安興_110學年度財務報告.pdf,資遣費準備淨變動,-,"(25,660)"
N09安興_110學年度財務報告.pdf,營運產生之現金,"645,457","771,891"
N09安興_110學年度財務報告.pdf,本期支付所得稅,"(34,386)",-
N09安興_110學年度財務報告.pdf,營業活動之淨現金流入,"611,071","771,891"
N09安興_110學年度財務報告.pdf,投資活動之現金流量：,,
N09安興_110學年度財務報告.pdf,存出保證金減少,"3,600",-
N09安興_110學年度財務報告.pdf,投資活動之淨現金流入,"3,600",-
N09安興_110學年度財務報告.pdf,籌資活動之現金流量：,,
N09安興_110學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N09安興_110學年度財務報告.pdf,本期現金及約當現金增加數,"614,671","771,891"
N09安興_110學年度財務報告.pdf,期初現金及約當現金餘額,"3,345,960","2,574,069"
N09安興_110學年度財務報告.pdf,期末現金及約當現金餘額,"3,960,631","3,345,960"
