檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N09安興_110學年度財務報告.pdf,,501030301A,000083,櫥櫃,"6,700",1,"6,700",10,107/08/10
N09安興_110學年度財務報告.pdf,,501030301A,000084,櫥櫃,"6,700",1,"6,700",10,107/08/10
N09安興_110學年度財務報告.pdf,,501030301A,000085,櫥櫃,"8,040",1,"8,040",10,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000013,櫥櫃,"6,800",1,"6,800",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000014,櫥櫃,"6,800",1,"6,800",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000015,櫥櫃,"6,800",1,"6,800",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000016,櫥櫃,"6,800",1,"6,800",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000017,櫥櫃,"6,120",1,"6,120",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000018,櫥櫃,"6,120",1,"6,120",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000019,櫥櫃,"6,120",1,"6,120",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000020,櫥櫃,"6,120",1,"6,120",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030301B,000022,櫥櫃,"14,000",1,"14,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000023,櫥櫃,"14,000",1,"14,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000024,櫥櫃,"14,000",1,"14,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000025,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000026,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000027,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000028,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000029,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000030,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000031,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000032,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000033,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000034,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000035,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000036,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000037,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000038,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000039,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000040,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000041,櫥櫃,"17,000",1,"17,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000042,櫥櫃,"13,000",1,"13,000",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000043,櫥櫃,"10,500",1,"10,500",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030301B,000044,櫥櫃,"61,500",1,"61,500",5,111/05/26
N09安興_110學年度財務報告.pdf,,501030604,000002,鍋爐台,"7,820",1,"7,820",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030607,000010,調理台,"8,100",1,"8,100",6,107/08/10
N09安興_110學年度財務報告.pdf,,501030607,000011,調理台,"5,400",1,"5,400",6,107/08/10
N09安興_110學年度財務報告.pdf,,501030608,000001,餐具消毒櫃,"18,700",1,"18,700",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030609,000002,廚餐用車,"3,400",1,"3,400",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030612,000001,調理台櫥櫃,"11,250",1,"11,250",6,107/08/10
N09安興_110學年度財務報告.pdf,,501030612,000002,調理台櫥櫃,"11,250",1,"11,250",6,107/08/10
N09安興_110學年度財務報告.pdf,,501030729B,000001,展示牌,120,1,120,2,107/08/10
N09安興_110學年度財務報告.pdf,,501030746,000001,安全護網,"5,440",1,"5,440",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030746,000002,安全護網,"5,440",1,"5,440",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030771,000001,體育訓練用墊,"8,500",1,"8,500",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030771,000002,體育訓練用墊,"8,500",1,"8,500",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030803,000003,兒童輔導教具,"4,080",1,"4,080",5,107/08/10
N09安興_110學年度財務報告.pdf,,501030803,000004,兒童輔導教具,"4,080",1,"4,080",5,107/08/10
N09安興_110學年度財務報告.pdf,,502020118,000001,監視機,"37,275",1,"37,275",5,111/06/06
N09安興_110學年度財務報告.pdf,,5030040,000001,類書;百科全書,120,1,120,3,107/08/10
N09安興_110學年度財務報告.pdf,,6010101,000009,文書用具-白板,"2,500",1,"2,500",3,107/08/10
N09安興_110學年度財務報告.pdf,,6010101,000010,文書用具-白板,"2,500",1,"2,500",3,107/08/10
N09安興_110學年度財務報告.pdf,,6010604,000040,傳音用具-麥克風,"3,010",1,"3,010",5,111/06/06
N09安興_110學年度財務報告.pdf,,6010604,000041,傳音用具-麥克風,"3,010",1,"3,010",5,111/06/06
N09安興_110學年度財務報告.pdf,,6010604,000042,傳音用具-麥克風,"3,010",1,"3,010",5,111/06/06
N09安興_110學年度財務報告.pdf,,6011206,000222,電器具-電風扇,"3,000",1,"3,000",3,107/08/10
N09安興_110學年度財務報告.pdf,,6011206,000223,電器具-電風扇,"3,000",1,"3,000",3,107/08/10
N09安興_110學年度財務報告.pdf,,6011213,000003,電器具-電冰箱,"8,000",1,"8,000",5,107/08/10
N09安興_110學年度財務報告.pdf,,6011243,000001,電器具-空調節用設定器,"9,600",1,"9,600",3,110/05/28
N09安興_110學年度財務報告.pdf,,6020106,000001,清潔用具-排油煙機,"4,700",1,"4,700",5,110/05/28
N09安興_110學年度財務報告.pdf,,6040205,000011,飲食用具-電鍋,"6,000",1,"6,000",5,107/08/10
N09安興_110學年度財務報告.pdf,,6070201,000010,陳列用具-辦公桌,"2,500",1,"2,500",5,107/08/10
N09安興_110學年度財務報告.pdf,,6070201,000011,陳列用具-辦公桌,"2,500",1,"2,500",5,107/08/10
N09安興_110學年度財務報告.pdf,,6070201,000012,陳列用具-辦公桌,"2,500",1,"2,500",5,107/08/10
N09安興_110學年度財務報告.pdf,,6070202,000131,陳列用具-辦公椅,"1,200",1,"1,200",5,107/08/10
N09安興_110學年度財務報告.pdf,,6070202,000132,陳列用具-辦公椅,"1,200",1,"1,200",5,107/08/10
