檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N02山北_110學年度財務報告.pdf,6,110學年度,收入,,110
N02山北_110學年度財務報告.pdf,6,110學年度,教保費收入,"$ 10,232,397",110
N02山北_110學年度財務報告.pdf,6,110學年度,教保費收入減項,"(83,589)",110
N02山北_110學年度財務報告.pdf,6,110學年度,延後托育收入淨額,"333,797",110
N02山北_110學年度財務報告.pdf,6,110學年度,利息收入,"25,283",110
N02山北_110學年度財務報告.pdf,6,110學年度,其他收入,"1,874,209",110
N02山北_110學年度財務報告.pdf,6,110學年度,收入合計,"12,382,097",110
N02山北_110學年度財務報告.pdf,6,110學年度,支出,,110
N02山北_110學年度財務報告.pdf,6,110學年度,人事費,"6,971,731",110
N02山北_110學年度財務報告.pdf,6,110學年度,業務費,"445,333",110
N02山北_110學年度財務報告.pdf,6,110學年度,材料費,"1,085,568",110
N02山北_110學年度財務報告.pdf,6,110學年度,維護費,"93,029",110
N02山北_110學年度財務報告.pdf,6,110學年度,修繕購置費,"50,201",110
N02山北_110學年度財務報告.pdf,6,110學年度,公共事務管理費,"14,400",110
N02山北_110學年度財務報告.pdf,6,110學年度,雜支,"3,850",110
N02山北_110學年度財務報告.pdf,6,110學年度,行政管理費,"125,430",110
N02山北_110學年度財務報告.pdf,6,110學年度,業務發展費,"294,400",110
N02山北_110學年度財務報告.pdf,6,110學年度,延後托育支出,"333,635",110
N02山北_110學年度財務報告.pdf,6,110學年度,其他支出,"1,874,209",110
N02山北_110學年度財務報告.pdf,6,110學年度,支出合計,"11,291,786",110
N02山北_110學年度財務報告.pdf,6,110學年度,本期稅前餘絀,"1,090,311",110
N02山北_110學年度財務報告.pdf,6,110學年度,所得稅費用,"25,077",110
N02山北_110學年度財務報告.pdf,6,110學年度,本期稅後餘絀,"$ 1,065,234",110
