檔案名稱,項目,110學年度金額,109學年度金額
N02山北_110學年度財務報告.pdf,營業活動之現金流量：,,
N02山北_110學年度財務報告.pdf,本期稅前餘絀,"1,090,311","(218,497)"
N02山北_110學年度財務報告.pdf,調整項目：,,
N02山北_110學年度財務報告.pdf,資產／負債淨變動數,,
N02山北_110學年度財務報告.pdf,應收帳款淨額,"(4,599)","18,043"
N02山北_110學年度財務報告.pdf,其他應收款,"(162,195)","392,301"
N02山北_110學年度財務報告.pdf,預付款項,"8,385","(3,589)"
N02山北_110學年度財務報告.pdf,其他流動資產,"2,326","(2,607)"
N02山北_110學年度財務報告.pdf,應付票據,"(60,999)","(34,644)"
N02山北_110學年度財務報告.pdf,應付帳款,"(38,042)","(54,815)"
N02山北_110學年度財務報告.pdf,其他應付款,"(268,471)","110,604"
N02山北_110學年度財務報告.pdf,預收款項,"(48,218)","675,163"
N02山北_110學年度財務報告.pdf,營運產生之現金,"518,498","881,959"
N02山北_110學年度財務報告.pdf,本期支付所得稅,"(25,077)","(12,592)"
N02山北_110學年度財務報告.pdf,營業活動之淨現金流入,"493,421","869,367"
N02山北_110學年度財務報告.pdf,投資活動之現金流量：,,
N02山北_110學年度財務報告.pdf,投資活動之淨現金流入,,
N02山北_110學年度財務報告.pdf,籌資活動之現金流量：,,
N02山北_110學年度財務報告.pdf,籌資活動之淨現金流入,,
N02山北_110學年度財務報告.pdf,本期現金及約當現金增加數,"493,421","869,367"
N02山北_110學年度財務報告.pdf,期初現金及約當現金餘額,"4,282,870","3,413,503"
N02山北_110學年度財務報告.pdf,期末現金及約當現金餘額,"4,776,291","4,282,870"
