檔案名稱,項目,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率,109學年度預算數,109學年度決算數,109學年度決算與預算差異,109學年度執行率
N04海工_110學年度財務報告.pdf,研習、進修,"14,000","4,700","(9,300)",34,"14,000",,"(14,000)",
N04海工_110學年度財務報告.pdf,水費,"20,000","8,229","(11,771)",41,"20,000","5,239","(14,761)",26
N04海工_110學年度財務報告.pdf,電費,"144,000","70,664","(73,336)",49,"144,000","66,680","(77,320)",46
N04海工_110學年度財務報告.pdf,瓦斯費,"30,000","32,014","2,014",107,"30,000","26,770","(3,230)",89
N04海工_110學年度財務報告.pdf,保全,"80,000",,"(80,000)",,"80,000",,"(80,000)",
N04海工_110學年度財務報告.pdf,辦公文具,"12,000","13,298","1,298",111,"12,000","11,876",(124),99
N04海工_110學年度財務報告.pdf,事務機器耗材,"55,000","40,827","(14,173)",74,"55,000","41,023","(13,977)",75
N04海工_110學年度財務報告.pdf,電話費(含網路),"36,000","23,356","(12,644)",65,"36,000","14,602","(21,398)",41
N04海工_110學年度財務報告.pdf,郵資,"6,000","2,165","(3,835)",36,"6,000","1,643","(4,357)",27
N04海工_110學年度財務報告.pdf,文宣費(一般文宣),"10,000","10,900",900,109,"10,000","9,890",(110),99
N04海工_110學年度財務報告.pdf,文宣費(圖刊),"25,000","25,000",,100,"25,000","25,000",,100
N04海工_110學年度財務報告.pdf,攝影照片,"8,000","8,892",892,111,"8,000","9,451","1,451",118
N04海工_110學年度財務報告.pdf,園務特支,"36,000","35,979",(21),100,"36,000","35,422",(578),98
N04海工_110學年度財務報告.pdf,差旅費,"15,000",,"(15,000)",,"15,000",,"(15,000)",
N04海工_110學年度財務報告.pdf,材料費,"934,200","956,833","22,633",102,"934,200","834,652","(99,548)",89
N04海工_110學年度財務報告.pdf,教保材料費,"144,000","164,709","20,709",114,"144,000","142,761","(1,239)",99
N04海工_110學年度財務報告.pdf,日常消耗用品,"36,000","42,538","6,538",118,"36,000","39,329","3,329",109
N04海工_110學年度財務報告.pdf,藥品費,"4,200","4,853",653,116,"4,200","4,192",(8),100
N04海工_110學年度財務報告.pdf,餐點費,"750,000","744,733","(5,267)",99,"750,000","648,370","(101,630)",86
N04海工_110學年度財務報告.pdf,維護費,"93,000","70,282","(22,718)",76,"93,000","100,460","7,460",108
N04海工_110學年度財務報告.pdf,水電修繕,"60,000","31,487","(28,513)",52,"60,000","68,565","8,565",114
N04海工_110學年度財務報告.pdf,園舍消毒、清潔,"25,000","37,200","12,200",149,"25,000","30,300","5,300",121
N04海工_110學年度財務報告.pdf,火險,"8,000","1,595","(6,405)",20,"8,000","1,595","(6,405)",20
N04海工_110學年度財務報告.pdf,修繕購置費,"84,000","195,741","111,741",233,"84,000","177,849","93,849",212
N04海工_110學年度財務報告.pdf,雜支,"33,960","10,488","(23,472)",31,"33,960","11,610","(22,350)",34
N04海工_110學年度財務報告.pdf,行政管理費,"90,012","90,012",,100,"90,012","90,012",,100
N04海工_110學年度財務報告.pdf,業務發展費,,"336,000","336,000",,,"448,000","448,000",
N04海工_110學年度財務報告.pdf,延後托育支出,,"209,704","209,704",,,"108,304","108,304",
N04海工_110學年度財務報告.pdf,其他支出,,"765,804","765,804",,,"174,027","174,027",
N04海工_110學年度財務報告.pdf,本期稅前餘絀,"60,163","373,081","312,918",620,"156,444","214,665","58,221",137
N04海工_110學年度財務報告.pdf,所得稅費用,,,,,,"63,106","63,106",
N04海工_110學年度財務報告.pdf,本期稅後餘絀,"$ 60,163","$ 373,081","$ 312,918",620,"$ 156,444","$ 151,559","$(4,885)",97
