檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N04海工_110學年度財務報告.pdf,110學年度,收入,"6,409,440","7,163,219","753,779",112,
N04海工_110學年度財務報告.pdf,110學年度,教保費收入淨額,"6,409,440","6,163,149","(246,291)",96,
N04海工_110學年度財務報告.pdf,110學年度,教保費收入,"6,409,440","6,210,921","(198,519)",97,
N04海工_110學年度財務報告.pdf,110學年度,教保費收入(家長繳費),"1,800,000","1,157,666","(642,334)",64,
N04海工_110學年度財務報告.pdf,110學年度,教保費收入(政府學費差額補助),"4,609,440","5,053,255","443,815",110,
N04海工_110學年度財務報告.pdf,110學年度,教保費收入減項,,"(47,772)","(47,772)",,
N04海工_110學年度財務報告.pdf,110學年度,五日未上課退費,,"(44,439)","(44,439)",,
N04海工_110學年度財務報告.pdf,110學年度,腸病毒退費,,,,,
N04海工_110學年度財務報告.pdf,110學年度,轉學/轉出退費,,"(3,333)","(3,333)",,
N04海工_110學年度財務報告.pdf,110學年度,政府學費差額補助退費,,,,,
N04海工_110學年度財務報告.pdf,110學年度,延後托育收入淨額,,"223,200","223,200",,
N04海工_110學年度財務報告.pdf,110學年度,延後托育收入淨額,,"223,200","223,200",,
N04海工_110學年度財務報告.pdf,110學年度,延後托育收入,,"223,200","223,200",,
N04海工_110學年度財務報告.pdf,110學年度,延後托育收入退費,,,,,
N04海工_110學年度財務報告.pdf,110學年度,利息收入,,"11,066","11,066",,
N04海工_110學年度財務報告.pdf,110學年度,其他收入,,"765,804","765,804",,
N04海工_110學年度財務報告.pdf,110學年度,支出,"6,349,277","6,790,138","440,861",107,
N04海工_110學年度財務報告.pdf,110學年度,人事費,"4,548,105","3,798,440","(749,665)",84,
N04海工_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資(含職務加給),"2,632,770","2,326,567","(306,203)",88,
N04海工_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"832,222","812,848","(19,374)",98,
N04海工_110學年度財務報告.pdf,110學年度,加班費,"343,896","95,617","(248,279)",28,
N04海工_110學年度財務報告.pdf,110學年度,勞、健保費,"407,864","342,192","(65,672)",84,
N04海工_110學年度財務報告.pdf,110學年度,保險費,"7,000","6,860",(140),98,
N04海工_110學年度財務報告.pdf,110學年度,勞退金提撥,"188,352","173,839","(14,513)",92,
N04海工_110學年度財務報告.pdf,110學年度,自強活動,"7,000","13,850","6,850",198,
N04海工_110學年度財務報告.pdf,110學年度,健康檢查,"1,000","1,000",,100,
N04海工_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"102,334",,"(102,334)",,
N04海工_110學年度財務報告.pdf,110學年度,資遣費,"25,667","25,667",,100,
N04海工_110學年度財務報告.pdf,110學年度,業務費,"566,000","356,834","(209,166)",63,
N04海工_110學年度財務報告.pdf,110學年度,活動費,"75,000","80,810","5,810",108,
