檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N04海工_110學年度財務報告.pdf,2.購置財產,04607-0206~08,,32格工作櫃,"$ 30,000",3,,5,105/9/19
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0309,,遊戲器材,"120,000",1,,5,105/9/30
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0511,,影印機,"32,970",1,,5,106/3/2
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0601,,百葉棉被櫃,"12,500",1,,5,106/3/25
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0418,,高溫消毒櫃四層,"20,000",1,,5,106/4/18
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0914,,不銹鋼冷凍櫃,"30,818",1,,5,106/9/15
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0822,,投影機,"10,395",1,,5,108/8/22
N04海工_110學年度財務報告.pdf,2.購置財產,467-0720,,無限擴音機,"31,500",1,,8,109/7/20
N04海工_110學年度財務報告.pdf,2.購置財產,4607-0601,,電腦,"28,000",1,,3,110/6/1
N04海工_110學年度財務報告.pdf,2.購置財產,,,,,,,,
