檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N08鷺江_110學年度財務報告.pdf,110學年度,收入,"$ 11,740,008","$ 13,749,148","$ 2,009,140",117,
N08鷺江_110學年度財務報告.pdf,110學年度,教保費收入淨額,"11,740,008","11,297,761","(442,247)",96,
N08鷺江_110學年度財務報告.pdf,110學年度,教保費收入,"11,740,008","11,370,572","(369,436)",97,
N08鷺江_110學年度財務報告.pdf,110學年度,教保費收入（家長繳費）,"3,180,000","1,752,980","(1,427,020)",55,
N08鷺江_110學年度財務報告.pdf,110學年度,教保費收入（政府學費差額補助）,"8,560,008","9,617,592","1,057,584",112,
N08鷺江_110學年度財務報告.pdf,110學年度,教保費收入減項,-,"(72,811)","(72,811)",-,
N08鷺江_110學年度財務報告.pdf,110學年度,五日未上課退費,-,"(59,336)","(59,336)",-,
N08鷺江_110學年度財務報告.pdf,110學年度,轉學/轉出退費,-,"(13,475)","(13,475)",-,
N08鷺江_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"233,235","233,235",-,
N08鷺江_110學年度財務報告.pdf,110學年度,延後托育收入淨額,-,"233,235","233,235",-,
N08鷺江_110學年度財務報告.pdf,110學年度,延後托育收入,-,"240,550","240,550",-,
N08鷺江_110學年度財務報告.pdf,110學年度,延後托育收入退費,-,"(7,315)","(7,315)",-,
N08鷺江_110學年度財務報告.pdf,110學年度,利息收入,-,"1,094","1,094",-,
N08鷺江_110學年度財務報告.pdf,110學年度,其他收入,-,"2,217,058","2,217,058",-,
N08鷺江_110學年度財務報告.pdf,110學年度,支出,"11,427,853","12,190,875","763,022",107,
N08鷺江_110學年度財務報告.pdf,110學年度,人事費,"8,428,787","6,903,487","(1,525,300)",82,
N08鷺江_110學年度財務報告.pdf,110學年度,園長及教保服務人員薪資（含職務加給）,"5,267,565","4,806,881","(460,684)",91,
N08鷺江_110學年度財務報告.pdf,110學年度,會計、總務、廚工、清潔薪資,"1,174,946","882,719","(292,227)",75,
N08鷺江_110學年度財務報告.pdf,110學年度,加班費,"639,444","42,914","(596,530)",7,
N08鷺江_110學年度財務報告.pdf,110學年度,勞、健保費,"763,490","729,609","(33,881)",96,
N08鷺江_110學年度財務報告.pdf,110學年度,保險費,"13,000","12,882",(118),99,
N08鷺江_110學年度財務報告.pdf,110學年度,勞退金提撥,"343,596","345,026","1,430",100,
N08鷺江_110學年度財務報告.pdf,110學年度,自強活動,"13,000","10,841","(2,159)",83,
N08鷺江_110學年度財務報告.pdf,110學年度,健康檢查,"1,000","1,740",740,174,
N08鷺江_110學年度財務報告.pdf,110學年度,代課費及廚工代班費,"165,024","23,153","(141,871)",14,
N08鷺江_110學年度財務報告.pdf,110學年度,資遺費,"47,722","47,722",-,100,
N08鷺江_110學年度財務報告.pdf,110學年度,業務費,"819,400","443,209","(376,191)",54,
N08鷺江_110學年度財務報告.pdf,110學年度,活動費,"115,000","36,846","(78,154)",32,
N08鷺江_110學年度財務報告.pdf,110學年度,研習、進修,"26,000","11,576","(14,424)",45,
N08鷺江_110學年度財務報告.pdf,110學年度,水費,"32,000","34,905","2,905",109,
N08鷺江_110學年度財務報告.pdf,110學年度,電費,"264,000","160,885","(103,115)",61,
N08鷺江_110學年度財務報告.pdf,110學年度,瓦斯費,"34,000","20,540","(13,460)",60,
N08鷺江_110學年度財務報告.pdf,110學年度,保全,"80,000","25,200","(54,800)",32,
N08鷺江_110學年度財務報告.pdf,110學年度,辦公文具,"24,000","14,032","(9,968)",58,
N08鷺江_110學年度財務報告.pdf,110學年度,事務機器耗材,"65,000","46,998","(18,002)",72,
