檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N03龍埔成長_110學年度財務報告.pdf,5,現金及銀行存款,"$ 5,594,770",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應收帳款淨額,"71,124",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他應收款,652,資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,預付款項,"15,039",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他流動資產,"3,533",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,流動資產合計,"5,685,118",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,資遣費準備金,"280,189",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,業務發展準備金,"2,536,501",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,代管財產,"260,214",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,購置財產,"460,670",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,存出保證金,"7,200",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,非流動資產合計,"3,544,774",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,資產總計,"$ 9,229,892",資產,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,現金及銀行存款,"$ 4,734,132",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應收帳款淨額,"7,973",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他應收款,121,資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,預付款項,"17,045",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他流動資產,983,資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,流動資產合計,"4,760,254",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,資遣費準備金,"234,507",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,業務發展準備金,"2,438,501",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,代管財產,"346,135",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,購置財產,"395,020",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,存出保證金,"7,200",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,非流動資產合計,"3,421,363",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,資產總計,"$ 8,181,617",資產,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付票據,"$ 74,658",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付帳款,"510,278",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他應付款,"831,812",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,預收款項,"1,980,450",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他流動負債,278,負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,流動負債合計,"3,397,476",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,資遣費準備,"280,189",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,業務發展準備,"2,536,501",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付代管財產,"260,214",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付購置財產,"460,670",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,非流動負債合計,"3,537,574",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,負債總額,"6,935,050",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,累積餘絀,"1,527,169",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,本期餘絀,"767,673",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,餘絀總額,"2,294,842",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,負債及餘絀總計,"$ 9,229,892",負債及淨值,110學年度,本年度,111年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付票據,"$ 326,729",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付帳款,"222,731",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他應付款,"678,160",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,預收款項,"2,012,383",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,其他流動負債,282,負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,流動負債合計,"3,240,285",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,資遣費準備,"234,507",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,業務發展準備,"2,438,501",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付代管財產,"346,135",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,應付購置財產,"395,020",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,非流動負債合計,"3,414,163",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,負債總額,"6,654,448",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,累積餘絀,"1,257,979",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,本期餘絀,"269,190",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,餘絀總額,"1,527,169",負債及淨值,109學年度,前一年度,110年7月31日
N03龍埔成長_110學年度財務報告.pdf,5,負債及餘絀總計,"$ 8,181,617",負債及淨值,109學年度,前一年度,110年7月31日
