檔案名稱,項目,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率,109學年度預算數,109學年度決算數,109學年度決算與預算差異,109學年度執行率
N03龍埔成長_110學年度財務報告.pdf,研習、進修,"24,000","11,800","(12,200)",49,"24,000","24,000",,100
N03龍埔成長_110學年度財務報告.pdf,水費,"26,000","26,102",102,100,"26,000","30,000","4,000",115
N03龍埔成長_110學年度財務報告.pdf,電費,"90,000","60,735","(29,265)",67,"90,000","64,832","(25,168)",72
N03龍埔成長_110學年度財務報告.pdf,瓦斯費,"32,000","20,900","(11,100)",65,"32,000","19,160","(12,840)",60
N03龍埔成長_110學年度財務報告.pdf,保全,"60,000","60,000",,100,"60,000","60,000",,100
N03龍埔成長_110學年度財務報告.pdf,辦公文具,"18,000","15,655","(2,345)",87,"18,000","17,929",(71),100
N03龍埔成長_110學年度財務報告.pdf,事務機器耗材,"60,000","46,509","(13,491)",78,"60,000","48,918","(11,082)",82
N03龍埔成長_110學年度財務報告.pdf,電話費（含網路）,"45,000","26,726","(18,274)",59,"45,000","22,109","(22,891)",49
N03龍埔成長_110學年度財務報告.pdf,郵資,"7,200","5,318","(1,882)",74,"7,200","5,111","(2,089)",71
N03龍埔成長_110學年度財務報告.pdf,文宣費（一般文宣）,"10,000","4,385","(5,615)",44,"10,000","9,840",(160),98
N03龍埔成長_110學年度財務報告.pdf,文宣費（圖刊）,"27,500","11,755","(15,745)",43,"27,500","15,239","(12,261)",55
N03龍埔成長_110學年度財務報告.pdf,攝影照片,"9,000","1,500","(7,500)",17,"9,000",80,"(8,920)",1
N03龍埔成長_110學年度財務報告.pdf,園務特支,"39,000","38,352",(648),98,"39,000","36,427","(2,573)",93
N03龍埔成長_110學年度財務報告.pdf,差旅費,"20,000",,"(20,000)",,"20,000",,"(20,000)",
N03龍埔成長_110學年度財務報告.pdf,材料費,"1,401,300","1,126,043","(275,257)",80,"1,401,300","1,210,642","(190,658)",86
N03龍埔成長_110學年度財務報告.pdf,教保材料費,"216,000","98,732","(117,268)",46,"216,000","154,549","(61,451)",72
N03龍埔成長_110學年度財務報告.pdf,日常消耗用品,"54,000","53,915",(85),100,"54,000","49,140","(4,860)",91
N03龍埔成長_110學年度財務報告.pdf,藥品費,"6,300","4,522","(1,778)",72,"6,300","5,706",(594),91
N03龍埔成長_110學年度財務報告.pdf,餐點費,"1,125,000","968,874","(156,126)",86,"1,125,000","1,001,247","(123,753)",89
N03龍埔成長_110學年度財務報告.pdf,維護費,"118,000","87,399","(30,601)",74,"118,000","80,008","(37,992)",68
N03龍埔成長_110學年度財務報告.pdf,水電修繕,"85,000","59,663","(25,337)",70,"85,000","52,272","(32,728)",61
N03龍埔成長_110學年度財務報告.pdf,園舍消毒、清潔,"25,000","25,000",,100,"25,000","25,000",,100
N03龍埔成長_110學年度財務報告.pdf,火險,"8,000","2,736","(5,264)",34,"8,000","2,736","(5,264)",34
N03龍埔成長_110學年度財務報告.pdf,修繕購置費,"126,000","126,641",641,101,"126,000","125,380",(620),100
N03龍埔成長_110學年度財務報告.pdf,雜支,"33,762","18,301","(15,461)",54,"33,762","32,316","(1,446)",96
N03龍埔成長_110學年度財務報告.pdf,行政管理費,"117,840","117,840",,100,"117,840","117,840",,100
N03龍埔成長_110學年度財務報告.pdf,業務發展費,,"98,000","98,000",,,"138,501","138,501",
N03龍埔成長_110學年度財務報告.pdf,延後托育支出,,"289,925","289,925",,,"184,928","184,928",
N03龍埔成長_110學年度財務報告.pdf,其他支出,,"1,675,731","1,675,731",,,"768,008","768,008",
N03龍埔成長_110學年度財務報告.pdf,本期稅前餘絀,"80,359","767,673","687,314",955,"281,828","269,190","(12,638)",96
N03龍埔成長_110學年度財務報告.pdf,所得稅費用,,,,,,,,
N03龍埔成長_110學年度財務報告.pdf,本期稅後餘絀,"S 80,359","$ 767,673","$ 687,314",955,"$ 281,828","$ 269,190","$(12,638)",96
