檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N10大觀_111學年度財務報告.pdf,6,111學年度,教保費收入,"12,450,187",111
N10大觀_111學年度財務報告.pdf,6,111學年度,教保費收入減項,"(124,758)",111
N10大觀_111學年度財務報告.pdf,6,111學年度,延後托育收入淨額,"332,815",111
N10大觀_111學年度財務報告.pdf,6,111學年度,利息收入,"53,302",111
N10大觀_111學年度財務報告.pdf,6,111學年度,其他收入,"2,400,857",111
N10大觀_111學年度財務報告.pdf,6,111學年度,收入合計,"15,112,403",111
N10大觀_111學年度財務報告.pdf,6,111學年度,人事費,"8,970,981",111
N10大觀_111學年度財務報告.pdf,6,111學年度,業務費,"607,365",111
N10大觀_111學年度財務報告.pdf,6,111學年度,材料費,"1,596,789",111
N10大觀_111學年度財務報告.pdf,6,111學年度,維護費,"62,802",111
N10大觀_111學年度財務報告.pdf,6,111學年度,修繕購置費,"145,300",111
N10大觀_111學年度財務報告.pdf,6,111學年度,雜支,"4,422",111
N10大觀_111學年度財務報告.pdf,6,111學年度,行政管理費,"239,682",111
N10大觀_111學年度財務報告.pdf,6,111學年度,業務發展費,"570,000",111
N10大觀_111學年度財務報告.pdf,6,111學年度,延後托育支出,"320,239",111
N10大觀_111學年度財務報告.pdf,6,111學年度,其他支出,"2,400,857",111
N10大觀_111學年度財務報告.pdf,6,111學年度,支出合計,"14,918,437",111
N10大觀_111學年度財務報告.pdf,6,111學年度,本期稅前餘絀,"193,966",111
N10大觀_111學年度財務報告.pdf,6,111學年度,所得稅費用,-,111
N10大觀_111學年度財務報告.pdf,6,111學年度,本期稅後餘絀,"193,966",111
