檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N10大觀_111學年度財務報告.pdf,1.代管財產,314010103,005003,捷元 15K BTO 筆電 15 吋 8G,"$ 29,000",1,$ 290,4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,314010103,005004,捷元 15K BTO 筆電 15 吋 4G,"28,000",1,280,4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,314010103,005005,捷元 15K BTO 筆電 15 吋 4G,"28,000",1,280,4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,314010103,005006,捷元 15K BTO 筆電 15 吋 4G,"28,000",1,280,4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,314010103,005007,捷元 桌上型電腦 GP888-4R,"25,000",1,250,4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,314010103,005008,捷元 桌上型電腦 GP888-4R,"25,000",1,250,4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,405020817,000001,Transtel 824M 408 8 分機 含門口機,"35,000",1,"15,871",8,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,405030310,000016,OKAYO GPA829 移動式無線擴音機,"30,000",1,"13,603",8,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,501010521,000159,EPSON EB-X05 投影機(含手拉布幕),"17,000",1,"7,708",8,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,501010521,000160,EPSON EB-X05 投影機(含手拉布幕),"17,000",1,"7,708",8,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,501010701B,000008,廚房專用 960 公升上凍下藏冷凍冷藏櫃,"45,000",1,"20,404",8,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,501011019,000044,長江 冰溫熱三用程控殺菌飲水機 CJ-535,"24,400",1,244,3,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,501011019,000043,長江 冰溫熱三用程控殺菌飲水機 CJ-535,"24,400",1,244,3,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011213,000006,電器用具-電冰箱,"7,000",1,"7,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011229,000001,電器用具-手提 CD 音響,"3,000",1,"3,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011229,000002,電器用具-手提 CD 音響,"3,000",1,"3,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011229,000003,電器用具-手提 CD 音響,"3,000",1,"3,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011229,000004,電器用具-手提 CD 音響,"3,000",1,"3,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011409,001586,什項用具-顯示器(螢幕),"3,000",1,"3,000",4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6011409,001587,什項用具-顯示器(螢幕),"3,000",1,"3,000",4,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6030303,000001,炊蒸用具-蒸籠,"2,500",1,"2,500",2,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6040205,000002,飲食用具-電鍋,"6,000",1,"6,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,6040205,000003,飲食用具-電鍋,"6,000",1,"6,000",5,107/07/27
N10大觀_111學年度財務報告.pdf,1.代管財產,405020802,000007,幼兒園側門對講機,"21,005",1,210,4,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501010603,000149-157,一對一分離式冷氣,"49,013",9,"230,850",9,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,3070114253,000001,工作台及櫥櫃,"20,006",1,"2,841",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,3070114253,000002,工作台及櫥櫃,"25,007",1,"3,551",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,301030134,000001,濾網式濾油煙罩,"52,014",1,"29,700",10,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,301060305,000002,不鏽鋼三連水槽工作台,"30,008",1,"17,134",10,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,301060305,000003,不鏽鋼雙連水槽工作台,"20,006",1,"11,423",10,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,301370412,000001,雙口快速爐,"25,007",1,"3,551",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,301370412,000002,單口快炒爐,"10,002",1,"1,420",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,301370412,000003,單口湯爐,"13,003",1,"1,846",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501011040,000006,開水機 30加侖(紫),"26,507",1,265,3,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501030301B,000117-119,立式矮櫥櫃,"15,003",3,"6,390",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501030301B,000120-125,立式櫥櫃,"28,508",6,"24,288",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501010807,000005,強制排氣瓦斯熱水器(黑),"12,853",1,"1,825",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,405020802,000004-5,彩色影像室內對講機,"10,002",2,200,4,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501010603,000144,一對一分離式冷氣,"91,023",1,"47,635",9,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,501010603,000158,一對一分離式冷氣,"31,009",1,"16,228",9,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,6011209,000002-3,儲熱式電熱水器,"5,545",2,"11,090",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,6011230,000001,抽排風扇,"3,001",2,"6,002",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,6070217,000004-5,配膳台/二層版,"8,802",2,"17,604",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,6070217,000006,不鏽鋼工作台,"7,202",1,"7,202",5,107/08/30
N10大觀_111學年度財務報告.pdf,1.代管財產,6011416,000002,遮斷開控制箱,"9,450",1,"9,450",5,107/10/29
N10大觀_111學年度財務報告.pdf,1.代管財產,6060199,000002,一氧化碳感應器,"4,568",1,"4,568",3,107/10/29
N10大觀_111學年度財務報告.pdf,1.代管財產,6060507,000010,瓦斯警報器,"4,809",1,"4,809",3,107/10/29
N10大觀_111學年度財務報告.pdf,1.代管財產,501030301B,000082-89,棉被儲物櫃含通氣百葉-16格,"14,000",8,"21,448",5,107/11/12
N10大觀_111學年度財務報告.pdf,1.代管財產,6070240,000062-69,拉門式教具櫃,"5,500",8,"44,000",5,107/11/12
N10大觀_111學年度財務報告.pdf,1.代管財產,6070240,000070-80,木質書包櫃(10格),"5,200",11,"57,200",5,107/11/12
N10大觀_111學年度財務報告.pdf,1.代管財產,6070240,000081-84,木質書櫃含教具櫃,"4,500",4,"18,000",5,107/11/12
N10大觀_111學年度財務報告.pdf,1.代管財產,6070240,000085-108,木質教具櫃(三層)附輪子+白板,"5,500",24,"132,000",5,107/11/12
N10大觀_111學年度財務報告.pdf,1.代管財產,6070240,000109-112,三合一杯櫃,"6,500",4,"26,000",5,107/11/12
