檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N01安溪_111學年度財務報告.pdf,,501030301B,000040-41,器材整理櫃,"21,000",2,420,5,105/01/25
N01安溪_111學年度財務報告.pdf,,501030301B,000042-51,棉被儲物櫃,"13,200",10,"1,320",5,105/01/25
N01安溪_111學年度財務報告.pdf,,501030301B,000056,木製矮櫃(附抽屜),"18,000",1,"9,090",5,109/06/10
N01安溪_111學年度財務報告.pdf,,501030301B,000057-66,櫥櫃,"13,680",10,"130,030",5,111/09/12
N01安溪_111學年度財務報告.pdf,,501030301B,000067,櫥櫃,"15,000",1,"14,257",5,111/09/12
N01安溪_111學年度財務報告.pdf,,501030301B,000068-70,櫥櫃,"20,500",3,"58,455",5,111/09/12
N01安溪_111學年度財務報告.pdf,,501030604,000001,雙口快速爐,"24,479",1,245,5,105/01/25
N01安溪_111學年度財務報告.pdf,,501030604,000002,單口湯爐,"17,135",1,171,5,105/01/25
N01安溪_111學年度財務報告.pdf,,5010306040,000003,蒸爐,"25,000",1,"23,762",5,111/09/12
N01安溪_111學年度財務報告.pdf,,501030606,000001,配膳檯(下層板),"17,625",1,"5,556",10,105/01/25
N01安溪_111學年度財務報告.pdf,,501030608,000001,140人份雙門高溫餐具消毒櫃,"65,000",1,650,5,105/01/25
N01安溪_111學年度財務報告.pdf,,501030608,000002,廚房消毒櫃,"85,000",1,"80,792",5,111/09/12
N01安溪_111學年度財務報告.pdf,,501030609,000001-2,不鏽鋼送餐推車,"11,000",2,220,5,105/01/25
N01安溪_111學年度財務報告.pdf,,501030803,000001-2,萬象組,"12,500",2,"12,212",5,109/05/13
N01安溪_111學年度財務報告.pdf,,501030803,000003,水谷式教具,"36,800",1,"17,977",5,109/05/13
N01安溪_111學年度財務報告.pdf,,501030803,000004,輔導教具-圖書繪本,"165,000",1,"156,832",5,111/09/12
N01安溪_111學年度財務報告.pdf,,502020118,000008,監視系統,"56,900",1,"54,083",5,111/09/12
N01安溪_111學年度財務報告.pdf,,5030990,000008,綜合遊具組,"44,062",1,441,3,105/01/25
N01安溪_111學年度財務報告.pdf,,5030990,000013-14,扮演廚房組（1式3組）,"16,666",2,334,3,105/01/25
N01安溪_111學年度財務報告.pdf,,5030990,000015,扮演廚房組（1式3組）,"16,668",1,167,3,105/01/25
N01安溪_111學年度財務報告.pdf,,6010131,000051-66,壁面作品展示板,"3,000",16,"48,000",3,105/01/25
N01安溪_111學年度財務報告.pdf,,6010705,000017,不鏽鋼送餐推車,"4,500",1,"4,500",3,111/09/12
N01安溪_111學年度財務報告.pdf,,6010711,000016-19,儲藏室置物架,"9,800",4,"39,200",3,105/01/25
N01安溪_111學年度財務報告.pdf,,6011206,000042-43,電扇,"1,200",2,"2,400",3,111/09/12
N01安溪_111學年度財務報告.pdf,,6011209,000003,儲熱型電熱水器,"4,504",1,"4,504",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6011209,000004,瓦斯熱水器,"4,406",1,"4,406",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6011408,111133-36,電動軸心布幕（6呎*8呎）,"6,460",4,"25,840",6,105/01/25
N01安溪_111學年度財務報告.pdf,,6040205,000004,大型煮飯電鍋,"8,900",1,"8,900",1,111/09/12
N01安溪_111學年度財務報告.pdf,,6040212,000001-10,蒸煮鍋,"3,200",10,"32,000",2,105/01/25
N01安溪_111學年度財務報告.pdf,,6070201,000012-13,辦公桌含側桌,"5,050",2,"10,100",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070201,000014-17,辦公桌含側桌,"4,000",4,"16,000",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070202,000061-76,辦公椅(藍色),"1,000",16,"16,000",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000001-3,三合一杯櫃,"9,000",3,"27,000",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000004-9,圖書展示板,"8,500",6,"51,000",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000010-15,弧形櫃,"4,800",6,"28,800",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000016-18,圖書櫃,"4,500",3,"13,500",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000019-30,凸三邊教具櫃,"2,600",12,"31,200",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000031-36,書包櫃、鞋櫃,"5,250",6,"31,500",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000037-38,鞋櫃,"5,334",2,"10,668",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000039-42,鞋櫃,"5,333",4,"21,332",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070209,000043-45,資料櫃,"7,300",3,"21,900",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000046,書面紙櫃,"9,800",1,"9,800",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070206,000059-60,櫥櫃,"9,500",2,"19,000",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070206,000061-65,科學櫃,"4,200",5,"21,000",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070206,000066-67,木質書櫃,"6,300",2,"12,600",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070206,000068-71,入口木質書櫃,"2,500",4,"10,000",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070206,000072-73,電視櫃,"2,850",2,"5,700",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070206,000074-81,收納箱,"9,600",8,"76,800",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070206,000082-85,木質書櫃,"4,200",4,"16,800",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070207,000001-2,備餐桌,"5,200",2,"10,400",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070209,000001,沙發椅,"3,000",1,"3,000",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070224,000142-44,幼兒專用教學課桌椅組(教師),"1,400",3,"4,200",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070224,000145-47,幼兒專用教學課桌椅組(點心圓桌),"3,000",3,"9,000",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070224,000148-71,幼兒專用教學課桌椅組(四人學習桌),"1,400",24,"33,600",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070224,000172-74,幼兒專用教學課桌椅組(二人學習桌),920,3,"2,760",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070224,000175,親師桌椅組,600,1,600,5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070224,000176,幼兒專用教學課桌椅組(四人學習桌),"1,000",1,"1,000",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070224,000177-93,幼兒專用教學課桌椅組(四人學習桌),"3,600",17,"61,200",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070224,000194-97,幼兒專用教學課桌椅組(二人學習桌),"2,800",4,"11,200",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070224,000198-99,幼兒專用教學課桌椅組(點心圓桌),"5,200",2,"10,400",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070225,000221-328,幼兒專用教學課桌椅組(四代椅),480,105,"50,400",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070225,000329-334,幼兒專用教學課桌椅組(加大四代椅),600,4,"2,400",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6070225,000365-410,幼兒專用教學課桌椅組,"1,400",46,"64,400",5,111/09/12
N01安溪_111學年度財務報告.pdf,,6070240,000743-748,益智科學櫃(附18個籃子),"4,500",6,"27,000",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6080601,000008-11,遊具組(籃球架),"6,266",4,"25,064",5,105/01/25
N01安溪_111學年度財務報告.pdf,,6080601,000012-14,遊具組(腳踏車),"8,356",3,"25,068",5,105/01/25
N01安溪_111學年度財務報告.pdf,購置財產,0001,,電腦主機 acer,"$ 19,940",1,,5,105/08/01
N01安溪_111學年度財務報告.pdf,購置財產,0002,,電腦主機 acer,"17,760",1,,5,105/08/26
N01安溪_111學年度財務報告.pdf,購置財產,0003,,電腦主機 acer,"19,415",1,,5,105/08/29
N01安溪_111學年度財務報告.pdf,購置財產,0004,,電腦主機、螢幕,"26,565",1,,5,106/08/10
N01安溪_111學年度財務報告.pdf,購置財產,0005,,筆記型電腦,"27,300",1,,5,107/01/29
N01安溪_111學年度財務報告.pdf,購置財產,0006,,幼兒保健床,"10,482",2,,5,111/06/10
N01安溪_111學年度財務報告.pdf,購置財產,0007,,戶外儲藏屋,"17,219",1,,5,111/07/27
N01安溪_111學年度財務報告.pdf,購置財產,0008,,幼兒午睡小床,"29,700",30,,5,111/07/29
N01安溪_111學年度財務報告.pdf,購置財產,0009,,拖車,"4,398",1,,5,111/08/10
N01安溪_111學年度財務報告.pdf,購置財產,,,,,,,,
N01安溪_111學年度財務報告.pdf,購置財產,,,,,,,,
