檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N09安興_111學年度財務報告.pdf,111學年度,人事費,"$ 5,220,945","$ 4,104,465","$(1,116,480)",21,未超支
N09安興_111學年度財務報告.pdf,111學年度,人事費,"4,793,122","3,876,373","(916,749)",19,未超支
N09安興_111學年度財務報告.pdf,111學年度,加班費,"398,112","198,381","(199,731)",50,未超支
N09安興_111學年度財務報告.pdf,111學年度,資遣費,"29,711","29,711",-,,
N09安興_111學年度財務報告.pdf,111學年度,業務費,"568,000","356,779","(211,221)",37,未超支
N09安興_111學年度財務報告.pdf,111學年度,活動費,"75,000","82,418","7,418",10,"細項 20%內勻支後,已符合勻支規定"
N09安興_111學年度財務報告.pdf,111學年度,研習、進修,"16,000","4,000","(12,000)",75,未超支
N09安興_111學年度財務報告.pdf,111學年度,水費,"20,000","4,614","(15,386)",77,未超支
N09安興_111學年度財務報告.pdf,111學年度,電費,"144,000","133,927","(10,073)",7,未超支
N09安興_111學年度財務報告.pdf,111學年度,瓦斯費,"30,000","14,775","(15,225)",51,未超支
N09安興_111學年度財務報告.pdf,111學年度,保全,"80,000","18,900","(61,100)",76,未超支
N09安興_111學年度財務報告.pdf,111學年度,辦公文具,"12,000",,"(12,000)",,
N09安興_111學年度財務報告.pdf,111學年度,事務機器耗材,"55,000","19,522","(35,478)",65,未超支
N09安興_111學年度財務報告.pdf,111學年度,電話費(含網路),"36,000","35,971",(29),,未超支
N09安興_111學年度財務報告.pdf,111學年度,郵資,"6,000","4,652","(1,348)",22,未超支
N09安興_111學年度財務報告.pdf,111學年度,文宣費(一般文宣),"10,000","3,000","(7,000)",70,未超支
N09安興_111學年度財務報告.pdf,111學年度,文宣費(園刊),"25,000","11,000","(14,000)",56,未超支
N09安興_111學年度財務報告.pdf,111學年度,攝影照片,"8,000","8,000",-,,
N09安興_111學年度財務報告.pdf,111學年度,園務特支,"36,000","16,000","(20,000)",56,未超支
N09安興_111學年度財務報告.pdf,111學年度,差旅費,"15,000",,"(15,000)",,
N09安興_111學年度財務報告.pdf,111學年度,材料費,"904,200","798,212","(105,988)",12,未超支
N09安興_111學年度財務報告.pdf,111學年度,教保材料費,"144,000","60,949","(83,051)",58,未超支
N09安興_111學年度財務報告.pdf,111學年度,日常消耗用品,"36,000","26,705","(9,295)",26,未超支
N09安興_111學年度財務報告.pdf,111學年度,藥品費,"4,200","1,879","(2,321)",55,未超支
N09安興_111學年度財務報告.pdf,111學年度,餐點費,"720,000","708,679","(11,321)",2,未超支
N09安興_111學年度財務報告.pdf,111學年度,維護費,"93,000","136,426","43,426",47,"經與修繕購置費及業務費勻支後,已符合勻支規定"
N09安興_111學年度財務報告.pdf,111學年度,修繕購置費,"84,000","68,974","(15,026)",18,未超支
N09安興_111學年度財務報告.pdf,111學年度,公共事務管理費,"120,000","72,360","(47,640)",40,未超支
N09安興_111學年度財務報告.pdf,111學年度,雜支,"34,080","3,487","(30,593)",90,未超支
N09安興_111學年度財務報告.pdf,111學年度,行政管理費,"147,220","147,220",-,,未超支
N09安興_111學年度財務報告.pdf,111學年度,合 計,"$ 7,171,445","$ 5,687,923","$(1,483,522)",21,
