檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N02山北_111學年度財務報告.pdf,5,現金及銀行存款,"5,870,141",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,應收帳款淨額,"7,050",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,其他應收款,"198,144",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,預付款項,"35,257",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,其他流動資產,-,資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,流動資產合計,"6,110,592",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,資遺費準備金,"302,484",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,業務發展準備金,"5,076,723",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,代管財產,"594,922",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,購置財產,"88,129",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,非流動資產合計,"6,062,258",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,資產總計,"12,172,850",資產,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,現金及銀行存款,"4,776,291",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,應收帳款淨額,"4,599",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,其他應收款,"163,800",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,預付款項,800,資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,其他流動資產,281,資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,流動資產合計,"4,945,771",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,資遺費準備金,"256,056",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,業務發展準備金,"4,456,723",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,代管財產,"735,827",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,購置財產,"88,129",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,非流動資產合計,"5,536,735",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,資產總計,"10,482,506",資產,110學年度,前一年度,111年7月31日
N02山北_111學年度財務報告.pdf,5,應付票據,-,負債及淨值,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,應付帳款,"6,389",負債及淨值,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,其他應付款,"1,241,423",負債及淨值,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,預收款項,"2,675,641",負債及淨值,111學年度,本年度,112年7月31日
N02山北_111學年度財務報告.pdf,5,其他流動負債,90,負債及淨值,111學年度,本年度,112年7月31日
