檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N02山北_111學年度財務報告.pdf,111學年度,收入,"$10,232,832","$12,701,252","$2,468,420",124,
N02山北_111學年度財務報告.pdf,111學年度,教保費收入淨額,"10,232,832","10,133,588","(99,244)",99,
N02山北_111學年度財務報告.pdf,111學年度,教保費收入,"10,232,832","10,232,832",-,100,
N02山北_111學年度財務報告.pdf,111學年度,教保費收入（家長繳費）,"2,160,000","1,470,000","(690,000)",68,
N02山北_111學年度財務報告.pdf,111學年度,教保費收入（政府學費差額補助）,"8,072,832","8,762,832","690,000",109,
N02山北_111學年度財務報告.pdf,111學年度,教保費收入減項,-,"(99,244)","(99,244)",-,
N02山北_111學年度財務報告.pdf,111學年度,五日未上課退費,-,"(84,053)","(84,053)",-,
N02山北_111學年度財務報告.pdf,111學年度,腸病毒退費,-,"(15,191)","(15,191)",-,
N02山北_111學年度財務報告.pdf,111學年度,政府學費差額補助退費,-,-,-,-,
N02山北_111學年度財務報告.pdf,111學年度,延後托育收入淨額,-,"237,300","237,300",-,
N02山北_111學年度財務報告.pdf,111學年度,延後托育收入淨額,-,"237,300","237,300",-,
N02山北_111學年度財務報告.pdf,111學年度,延後托育收入,-,"237,300","237,300",-,
N02山北_111學年度財務報告.pdf,111學年度,延後托育收入退費,-,-,-,-,
N02山北_111學年度財務報告.pdf,111學年度,利息收入,-,"37,036","37,036",-,
N02山北_111學年度財務報告.pdf,111學年度,其他收入,-,"2,293,328","2,293,328",-,
N02山北_111學年度財務報告.pdf,111學年度,支出,"10,529,584","12,287,391","1,757,807",117,
N02山北_111學年度財務報告.pdf,111學年度,人事費,"7,982,336","7,286,602","(695,734)",91,
N02山北_111學年度財務報告.pdf,111學年度,園長及教保服務人員薪資（含職務加給）,"4,650,683","4,100,131","(550,552)",88,
N02山北_111學年度財務報告.pdf,111學年度,學前特教師、社工人員、護理人員薪資,"467,978","471,716","3,738",101,
N02山北_111學年度財務報告.pdf,111學年度,會計、總務、廚工、清潔薪資,"1,149,093","1,063,356","(85,737)",93,
N02山北_111學年度財務報告.pdf,111學年度,加班費,"342,108","333,557","(8,551)",98,
N02山北_111學年度財務報告.pdf,111學年度,勞、健保費,"719,094","687,987","(31,107)",96,
N02山北_111學年度財務報告.pdf,111學年度,保險費,"13,000","21,300","8,300",164,
N02山北_111學年度財務報告.pdf,111學年度,勞退金提撥,"343,728","335,647","(8,081)",98,
N02山北_111學年度財務報告.pdf,111學年度,自強活動,"13,000","13,000",-,100,
N02山北_111學年度財務報告.pdf,111學年度,健康檢查,"13,000","1,130","(11,870)",9,
N02山北_111學年度財務報告.pdf,111學年度,代課費及廚工代班費,"224,224","212,350","(11,874)",95,
