檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N02山北_111學年度財務報告.pdf,,6070206,003187-195,櫥櫃,"7,602",9,"68,418",5,106/1/18
N02山北_111學年度財務報告.pdf,,6070216,000018-21,圓桌,"4,966",4,"19,864",5,106/1/18
N02山北_111學年度財務報告.pdf,,6070216,000022-24,圓桌,"4,714",3,"14,142",5,106/1/18
N02山北_111學年度財務報告.pdf,,6070224,000421-436、445,學生桌,"4,562",17,"77,554",5,106/1/18
N02山北_111學年度財務報告.pdf,,6070224,000437-444,學生桌,"3,650",8,"29,200",5,106/1/18
N02山北_111學年度財務報告.pdf,,6070240,000160-165,置物櫃,"6,842",6,"41,052",5,106/1/18
N02山北_111學年度財務報告.pdf,,6070240,000156-159、166、167,置物櫃,"7,982",6,"47,892",5,106/1/18
N02山北_111學年度財務報告.pdf,2.購置財產,北電 106-004-01,,無線擴音機乙台,"29,000",1,"29,000",5,107/03/19
N02山北_111學年度財務報告.pdf,2.購置財產,北電 107-01-001,,桌上型桌電,"16,800",1,"16,800",5,107/12/12
N02山北_111學年度財務報告.pdf,2.購置財產,北電 107-01-002,,空氣清淨機,"13,030",1,"13,030",5,108/07/12
N02山北_111學年度財務報告.pdf,2.購置財產,北電 110-01-001,,對講機,"1,020",1,"1,020",3,110/8/18
N02山北_111學年度財務報告.pdf,2.購置財產,北電 110-01-002,,紫外線消毒燈,"16,600",1,"16,600",3,110/9/17
N02山北_111學年度財務報告.pdf,2.購置財產,北電 110-01-003,,黑色摺疊小推車,"1,900",1,"1,900",3,110/12/29
N02山北_111學年度財務報告.pdf,2.購置財產,北電 110-01-004,,結能電風扇,"2,780",1,"2,780",3,111/5/31
N02山北_111學年度財務報告.pdf,2.購置財產,北電 110-01-005,,小米手機,"6,999",1,"6,999",3,111/7/21
