檔案名稱,項目,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率,110學年度預算數,110學年度決算數,110學年度決算與預算差異,110學年度執行率
N06昌平_111學年度財務報告.pdf,瓦斯費,"34,000","21,050","(12,950)",62,"34,000","18,720","(15,280)",55
N06昌平_111學年度財務報告.pdf,保全,"80,000","40,320","(39,680)",50,"80,000","31,220","(48,780)",39
N06昌平_111學年度財務報告.pdf,辦公文具,"24,000","26,617","2,617",111,"24,000","11,703","(12,297)",49
N06昌平_111學年度財務報告.pdf,事務機器耗材,"65,000","63,505","(1,495)",98,"65,000","74,809","9,809",115
N06昌平_111學年度財務報告.pdf,電話費(含網路),"54,000","40,511","(13,489)",75,"54,000","52,770","(1,230)",98
N06昌平_111學年度財務報告.pdf,郵資,"8,400","2,873","(5,527)",34,"8,400","7,652",(748),91
N06昌平_111學年度財務報告.pdf,文宣費(一般文宣),"10,000",352,"(9,648)",4,"10,000","6,431","(3,569)",64
N06昌平_111學年度財務報告.pdf,文宣費(圖刊),"30,000","15,768","(14,232)",53,"30,000","3,974","(26,026)",13
N06昌平_111學年度財務報告.pdf,攝影照片,"10,000",290,"(9,710)",3,"10,000","1,360","(8,640)",14
N06昌平_111學年度財務報告.pdf,園務特支,"42,000","35,683","(6,317)",85,"42,000","31,164","(10,836)",74
N06昌平_111學年度財務報告.pdf,差旅費,"25,000",,"(25,000)",,"25,000",,"(25,000)",
N06昌平_111學年度財務報告.pdf,材料費,"1,808,400","1,575,211","(233,189)",87,"1,808,400","1,462,619","(345,781)",81
N06昌平_111學年度財務報告.pdf,教保材料費,"288,000","161,813","(126,187)",56,"288,000","100,311","(187,689)",35
N06昌平_111學年度財務報告.pdf,日常消耗用品,"72,000","63,689","(8,311)",88,"72,000","70,276","(1,724)",98
N06昌平_111學年度財務報告.pdf,藥品費,"8,400","1,308","(7,092)",16,"8,400",878,"(7,522)",10
N06昌平_111學年度財務報告.pdf,餐點費,"1,440,000","1,348,401","(91,599)",94,"1,440,000","1,291,154","(148,846)",90
N06昌平_111學年度財務報告.pdf,維護費,"143,000","73,263","(69,737)",51,"143,000","54,588","(88,412)",38
N06昌平_111學年度財務報告.pdf,水電修繕,"110,000","41,843","(68,157)",38,"110,000","42,388","(67,612)",39
N06昌平_111學年度財務報告.pdf,園舍消毒、清潔,"25,000","30,700","5,700",123,"25,000","11,400","(13,600)",46
N06昌平_111學年度財務報告.pdf,火險,"8,000",720,"(7,280)",9,"8,000",800,"(7,200)",10
N06昌平_111學年度財務報告.pdf,修繕購置費,"168,000","115,092","(52,908)",69,"168,000","140,166","(27,834)",83
N06昌平_111學年度財務報告.pdf,雜支,"49,164","12,058","(37,106)",25,"49,164","23,313","(25,851)",47
N06昌平_111學年度財務報告.pdf,行政管理費,"262,780","262,780",,100,"262,780","262,780",,100
N06昌平_111學年度財務報告.pdf,業務發展費,,"1,382,600","1,382,600",,,"613,100","613,100",
N06昌平_111學年度財務報告.pdf,延後托育支出,,"281,821","281,821",,,"397,224","397,224",
N06昌平_111學年度財務報告.pdf,其他支出,,"2,000,383","2,000,383",,,"1,830,781","1,830,781",
N06昌平_111學年度財務報告.pdf,本期稅前餘絀,"96,730","(67,044)","(163,774)",(69),"313,063","1,642,510","1,329,447",525
N06昌平_111學年度財務報告.pdf,所得稅費用,,,,,,"30,655","30,655",
N06昌平_111學年度財務報告.pdf,本期稅後餘絀,"$96,730","$(67,044)","$(163,774)",(69),"$313,063","$1,611,855","$1,298,792",515
