檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N06昌平_111學年度財務報告.pdf,,501011029-000001,,蒸庫(車),"9,634",1,"9,634",5,111/07/04
N06昌平_111學年度財務報告.pdf,,501011066A-000001,,油煙罩,"52,500",1,"28,678",10,107/05/24
N06昌平_111學年度財務報告.pdf,,501030101B-000043,,桌,"11,353",1,"11,353",5,111/06/29
N06昌平_111學年度財務報告.pdf,,501030101B-000044,,桌,"11,353",1,"11,353",5,111/06/29
N06昌平_111學年度財務報告.pdf,,501030101B-000045,,桌,"11,353",1,"11,353",5,111/06/29
N06昌平_111學年度財務報告.pdf,,501030210-000001,,隔屏,"80,000",1,800,5,106/08/15
N06昌平_111學年度財務報告.pdf,,501030710-000002,,體操用墊,"11,262",1,"11,262",5,111/06/29
N06昌平_111學年度財務報告.pdf,,501030710-000003,,體操用墊,"11,262",1,"11,262",5,111/06/29
N06昌平_111學年度財務報告.pdf,,501030771-000003,,體育訓練用墊,"12,733",1,127,5,106/08/15
N06昌平_111學年度財務報告.pdf,,501030771-000004,,體育訓練用墊,"46,690",1,467,5,106/08/15
N06昌平_111學年度財務報告.pdf,,501030799-000005,,其他康樂設備,"13,568",1,136,3,106/08/15
N06昌平_111學年度財務報告.pdf,,5040119-000002,,玩具,"48,431",1,"48,431",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000003,,玩具,"29,122",1,"29,122",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000004,,玩具,"29,122",1,"29,122",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000005,,玩具,"29,122",1,"29,122",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000006,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000007,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000008,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000009,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000010,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000011,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000012,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000013,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000014,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,5040119-000015,,玩具,"11,287",1,"11,287",2,111/06/29
N06昌平_111學年度財務報告.pdf,,501050409-000010,,遮陽棚,"32,500",1,"32,500",5,110/04/23
N06昌平_111學年度財務報告.pdf,,501050409-000011,,遮陽棚,"66,000",1,"66,000",5,110/04/24
N06昌平_111學年度財務報告.pdf,,6010101-000023,,文書用具-白板,"4,000",1,"4,000",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000024,,文書用具-白板,"4,000",1,"4,000",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000025,,文書用具-白板,"4,000",1,"4,000",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000026,,文書用具-白板,"4,000",1,"4,000",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000027,,文書用具-白板,"4,000",1,"4,000",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000028,,文書用具-白板,"3,500",1,"3,500",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000029,,文書用具-白板,"3,500",1,"3,500",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000030,,文書用具-白板,"3,500",1,"3,500",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010101-000031,,文書用具-白板,"3,500",1,"3,500",3,111/6/29
N06昌平_111學年度財務報告.pdf,,6010303-000004,,計數用具-打卡鐘,"3,250",1,"3,250",3,111/4/22
N06昌平_111學年度財務報告.pdf,,6010705-000019,,放置用具-手推車,"3,100",1,"3,100",3,111/4/22
N06昌平_111學年度財務報告.pdf,,6010799-000005,,放置用具-配膳台/二層板,"7,665",1,"7,665",3,107/5/24
N06昌平_111學年度財務報告.pdf,,6010799-000006,,放置用品-煮飯鍋置放台,"7,665",1,"7,665",3,107/5/24
N06昌平_111學年度財務報告.pdf,,6011003-000001,,遮蔽用具-窗簾拉簾,"7,875",1,"7,875",3,107/8/8
N06昌平_111學年度財務報告.pdf,,6011003-000002,,遮蔽用具-窗簾拉簾,"7,875",1,"7,875",3,107/8/8
N06昌平_111學年度財務報告.pdf,,6011212-000002,,電器用品-烘碗機,"3,990",1,"3,990",4,111/4/18
N06昌平_111學年度財務報告.pdf,,6011213-000001,,電器用品-電冰箱,"7,280",1,"7,280",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6011499-000001,,什項用具-其他,"4,500",1,"4,500",3,106/8/15
N06昌平_111學年度財務報告.pdf,,6020199-000001,,清潔用品-紫外線滅菌燈,"4,390",1,"4,390",3,111/4/19
N06昌平_111學年度財務報告.pdf,,6020199-000002,,清潔用品-紫外線滅菌燈,"4,390",1,"4,390",3,111/4/19
N06昌平_111學年度財務報告.pdf,,6040205-000004,,飲食用具-電鍋,"7,150",1,"7,150",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6040205-000005,,飲食用具-電鍋,"6,100",1,"6,100",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6040205-000006,,飲食用具-電鍋,"3,947",1,"3,947",5,111/4/18
N06昌平_111學年度財務報告.pdf,,6040206-000002,,飲食用具-烤箱,"8,800",1,"8,800",5,111/4/20
N06昌平_111學年度財務報告.pdf,,6040208-000001,,飲食用具-電磁爐,"2,000",1,"2,000",3,106/8/15
N06昌平_111學年度財務報告.pdf,,6040208-000002,,飲食用具-電磁爐,"2,000",1,"2,000",3,106/8/15
N06昌平_111學年度財務報告.pdf,,6040299-000001,,飲食用具-其他,"7,500",1,"7,500",3,106/8/15
N06昌平_111學年度財務報告.pdf,,6070206-000048,,陳列用具-櫥櫃,"4,200",1,"4,200",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070206-000049,,陳列用具-櫥櫃,"4,200",1,"4,200",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070206-000050,,陳列用具-櫥櫃,"4,200",1,"4,200",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070206-000051,,陳列用具-櫥櫃,"4,200",1,"4,200",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070206-000056,,陳列用具-櫥櫃,"7,000",1,"7,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000057,,陳列用具-櫥櫃,"7,000",1,"7,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000058,,陳列用具-櫥櫃,"5,900",1,"5,900",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000059,,陳列用具-櫥櫃,"5,900",1,"5,900",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000060,,陳列用具-櫥櫃,"6,900",1,"6,900",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000061,,陳列用具-櫥櫃,"6,900",1,"6,900",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000062,,陳列用具-櫥櫃,"6,900",1,"6,900",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070206-000063,,陳列用具-櫥櫃,"6,900",1,"6,900",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070207-000001,,陳列用具-餐桌,"6,000",1,"6,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070207-000002,,陳列用具-餐桌,"6,000",1,"6,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070207-000003,,陳列用具-餐桌,"6,000",1,"6,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070207-000004,,陳列用具-餐桌,"6,000",1,"6,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070207-000005,,陳列用具-餐桌,"6,000",1,"6,000",5,111/6/29
N06昌平_111學年度財務報告.pdf,,6070217-000008,,陳列用具-工作台,"8,295",1,"8,295",5,107/5/24
N06昌平_111學年度財務報告.pdf,,6070224-000013,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000014,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000015,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000016,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000017,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000018,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000019,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000020,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000021,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000022,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000023,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000024,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000025,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000026,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000027,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000028,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000029,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000030,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000031,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000032,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000033,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000034,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000035,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070224-000036,,陳列用具-學生桌,"2,500",1,"2,500",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000017,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000018,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000019,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000020,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000021,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000022,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000023,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
N06昌平_111學年度財務報告.pdf,,6070240-000024,,陳列用具-置物櫃,"5,600",1,"5,600",5,106/8/15
