檔案名稱,項目,111學年度金額,110學年度金額
N04海工_111學年度財務報告.pdf,營業活動之現金流量：,,
N04海工_111學年度財務報告.pdf,本期稅前餘絀,"$ 85,302","$ 373,081"
N04海工_111學年度財務報告.pdf,調整項目：,,
N04海工_111學年度財務報告.pdf,資產/負債淨變動數,,
N04海工_111學年度財務報告.pdf,應收帳款淨額,"(33,583)","221,460"
N04海工_111學年度財務報告.pdf,應付帳款,"64,412","49,110"
N04海工_111學年度財務報告.pdf,其他應付款,"(46,031)","22,885"
N04海工_111學年度財務報告.pdf,預收款項,"72,281","105,000"
N04海工_111學年度財務報告.pdf,其他流動負債,"(11,099)","3,021"
N04海工_111學年度財務報告.pdf,資遣費準備淨變動,-,"(3,317)"
N04海工_111學年度財務報告.pdf,營業活動之淨現金流入,"131,282","771,240"
N04海工_111學年度財務報告.pdf,投資活動之現金流量：,,
N04海工_111學年度財務報告.pdf,投資活動之淨現金流入,-,-
N04海工_111學年度財務報告.pdf,籌資活動之現金流量：,,
N04海工_111學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N04海工_111學年度財務報告.pdf,本期現金及約當現金增加數,"131,282","771,240"
N04海工_111學年度財務報告.pdf,期初現金及約當現金餘額,"2,575,148","1,803,908"
N04海工_111學年度財務報告.pdf,期末現金及約當現金餘額,"$ 2,706,430","$ 2,575,148"
