檔案名稱,項目,111學年度金額,110學年度金額
N05漢翔_111學年度財務報告.pdf,營業活動之現金流量：,,
N05漢翔_111學年度財務報告.pdf,本期稅前餘納,"106,651","832,041"
N05漢翔_111學年度財務報告.pdf,調整項目：,,
N05漢翔_111學年度財務報告.pdf,資產/負債淨變動數,,
N05漢翔_111學年度財務報告.pdf,應收帳款淨額,675,(405)
N05漢翔_111學年度財務報告.pdf,其他應收款,"(35,803)","(253,019)"
N05漢翔_111學年度財務報告.pdf,預付款項,"(19,857)","4,910"
N05漢翔_111學年度財務報告.pdf,其他流動資產,(635),
N05漢翔_111學年度財務報告.pdf,應付帳款,"4,661","(26,043)"
N05漢翔_111學年度財務報告.pdf,其他應付款,"357,419","(113,638)"
N05漢翔_111學年度財務報告.pdf,預收款項,"78,224","(182,584)"
N05漢翔_111學年度財務報告.pdf,營運產生之現金,"491,335","261,262"
N05漢翔_111學年度財務報告.pdf,本期支付所得稅,,"(40,034)"
N05漢翔_111學年度財務報告.pdf,營業活動之淨現金流入,"491,335","221,228"
N05漢翔_111學年度財務報告.pdf,投資活動之現金流量：,,
N05漢翔_111學年度財務報告.pdf,投資活動之淨現金流入,,
N05漢翔_111學年度財務報告.pdf,籌資活動之現金流量：,,
N05漢翔_111學年度財務報告.pdf,籌資活動之淨現金流入,,
N05漢翔_111學年度財務報告.pdf,本期現金及約當現金增加數,"491,335","221,228"
N05漢翔_111學年度財務報告.pdf,期初現金及約當現金餘額,"4,227,113","4,005,885"
N05漢翔_111學年度財務報告.pdf,期末現金及約當現金餘額,"4,718,448","4,227,113"
