檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,教保費收入,"$ 10,081,365",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,教保費收入減項,"(90,327)",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,延後托育收入淨額,"342,390",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,利息收入,"29,028",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,其他收入,"1,853,498",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,收入合計,"12,215,954",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,人事費,"6,737,493",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,業務費,"419,663",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,材料費,"1,198,211",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,維護費,"104,079",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,修繕購置費,"125,945",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,雜支,"15,014",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,行政管理費,"117,840",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,業務發展費,"1,000,000",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,延後托育支出,"293,111",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,其他支出,"1,853,498",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,支出合計,"11,864,854",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,本期稅前餘絀,"351,100",111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,所得稅費用,-,111
N03龍埔成長_111學年度財務報告.pdf,6,111學年度,本期稅後餘絀,"$ 351,100",111
