檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N03龍埔成長_111學年度財務報告.pdf,111學年度,收入,"$ 10,429,560","$ 12,215,954","$ 1,786,394",117,
N03龍埔成長_111學年度財務報告.pdf,111學年度,教保費收入淨額,"10,429,560","9,991,038","(438,522)",96,
N03龍埔成長_111學年度財務報告.pdf,111學年度,教保費收入,"10,429,560","10,081,365","(348,195)",97,
N03龍埔成長_111學年度財務報告.pdf,111學年度,教保費收入(家長繳費),"2,160,000","1,423,575","(736,425)",66,
N03龍埔成長_111學年度財務報告.pdf,111學年度,教保費收入(政府學費差額補助),"8,269,560","8,657,790","388,230",105,
N03龍埔成長_111學年度財務報告.pdf,111學年度,教保費收入減項,,"(90,327)","(90,327)",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,五日未上課退費,,"(71,202)","(71,202)",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,轉學/轉出退費,,"(4,455)","(4,455)",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,政府學費差額補助退費,,"(14,670)","(14,670)",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,延後托育收入淨額,,"342,390","342,390",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,延後托育收入淨額,,"342,390","342,390",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,延後托育收入,,"348,990","348,990",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,延後托育入退費,,"(6,600)","(6,600)",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,利息收入,,"29,028","29,028",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,其他收入,,"1,853,498","1,853,498",,
N03龍埔成長_111學年度財務報告.pdf,111學年度,支出,"10,523,012","11,864,854","1,341,842",113,
N03龍埔成長_111學年度財務報告.pdf,111學年度,人事費,"8,163,410","6,737,493","(1,425,917)",83,
N03龍埔成長_111學年度財務報告.pdf,111學年度,園長及教保服務人員薪資(含職務加給),"4,546,951","3,755,052","(791,899)",83,
N03龍埔成長_111學年度財務報告.pdf,111學年度,學前特教師、社工人員、護理人員薪資,"551,408","546,686","(4,722)",99,
N03龍埔成長_111學年度財務報告.pdf,111學年度,會計、總務、廚工、清潔薪資,"1,207,819","1,146,827","(60,992)",95,
N03龍埔成長_111學年度財務報告.pdf,111學年度,加班費,"625,920","206,210","(419,710)",33,
N03龍埔成長_111學年度財務報告.pdf,111學年度,勞、健保費,"706,610","646,035","(60,575)",91,
N03龍埔成長_111學年度財務報告.pdf,111學年度,保險費,"12,000","11,153",(847),93,
N03龍埔成長_111學年度財務報告.pdf,111學年度,勞退金提撥,"343,656","307,703","(35,953)",90,
N03龍埔成長_111學年度財務報告.pdf,111學年度,自強活動,"12,000","12,000",-,100,
N03龍埔成長_111學年度財務報告.pdf,111學年度,健康檢查,"8,000","4,900","(3,100)",61,
N03龍埔成長_111學年度財務報告.pdf,111學年度,代課費及廚工代班費,"102,334","54,215","(48,119)",53,
N03龍埔成長_111學年度財務報告.pdf,111學年度,資遣費,"46,712","46,712",-,100,
N03龍埔成長_111學年度財務報告.pdf,111學年度,業務費,"562,700","419,663","(143,037)",75,
N03龍埔成長_111學年度財務報告.pdf,111學年度,活動費,"95,000","93,741","(1,259)",99,
N03龍埔成長_111學年度財務報告.pdf,111學年度,研習、進修,"24,000","22,700","(1,300)",95,
