檔案名稱,項目,112學年度金額,111學年度金額
N07北大_112學年度財務報告.pdf,營業活動之現金流量：,,
N07北大_112學年度財務報告.pdf,本期稅前餘絀,"$(51,846)","$ 522,638"
N07北大_112學年度財務報告.pdf,調整項目：,,
N07北大_112學年度財務報告.pdf,資產/負債淨變動數,,
N07北大_112學年度財務報告.pdf,應收帳款淨額,"33,069","(108,139)"
N07北大_112學年度財務報告.pdf,其他應收款,"(3,102)","12,328"
N07北大_112學年度財務報告.pdf,預付款項,"31,794","(33,990)"
N07北大_112學年度財務報告.pdf,其他應付款,"47,993","579,819"
N07北大_112學年度財務報告.pdf,預收款項,"429,220","1,752,425"
N07北大_112學年度財務報告.pdf,其他流動負債,"14,810","16,698"
N07北大_112學年度財務報告.pdf,營業活動之淨現金流入,"501,938","2,741,779"
N07北大_112學年度財務報告.pdf,投資活動之現金流量：,,
N07北大_112學年度財務報告.pdf,投資活動之淨現金流入,-,-
N07北大_112學年度財務報告.pdf,籌資活動之現金流量：,,
N07北大_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N07北大_112學年度財務報告.pdf,本期現金及約當現金增加數,"501,938","2,741,779"
N07北大_112學年度財務報告.pdf,期初現金及約當現金餘額,"8,778,113","6,036,334"
N07北大_112學年度財務報告.pdf,期末現金及約當現金餘額,"$ 9,280,051","$ 8,778,113"
