檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N07北大_112學年度財務報告.pdf,收入,"$ 21,289,632","$ 23,797,554","$ 2,507,922",112,"$ 21,289,632","$ 21,855,494","$ 565,862",103
N07北大_112學年度財務報告.pdf,教保費收入淨額,"21,289,632","20,440,250","(849,382)",96,"21,289,632","20,083,259","(1,206,373)",94
N07北大_112學年度財務報告.pdf,教保費收入,"21,289,632","20,772,125","(517,507)",98,"21,289,632","20,293,031","(996,601)",95
N07北大_112學年度財務報告.pdf,教保費收入(家長繳費),"4,368,000","2,715,395","(1,652,605)",62,"4,368,000","2,629,114","(1,738,886)",60
N07北大_112學年度財務報告.pdf,教保費收入(政府學費差額補助),"16,921,632","18,056,730","1,135,098",107,"16,921,632","17,663,917","742,285",104
N07北大_112學年度財務報告.pdf,教保費收入減項,"(331,875)","(331,875)","(209,772)","(209,772)",,,"(135,167)","(135,167)"
N07北大_112學年度財務報告.pdf,五日未上課退費,,"(193,128)","(193,128)",,,"(145,669)","(145,669)",
N07北大_112學年度財務報告.pdf,轉學/轉出退費,,"(24,074)","(24,074)",,,"(20,401)","(20,401)",
N07北大_112學年度財務報告.pdf,政府學費差額補助退費,,"(114,673)","(114,673)",,,"(43,702)","(43,702)",
N07北大_112學年度財務報告.pdf,延長照顧服務收入淨額,,"418,145","418,145",,,"291,910","291,910",
N07北大_112學年度財務報告.pdf,延長照顧服務收入淨額,,"418,145","418,145",,,"291,910","291,910",
N07北大_112學年度財務報告.pdf,延長照顧服務收入,,"418,145","418,145",,,"291,910","291,910",
N07北大_112學年度財務報告.pdf,利息收入,,"125,882","125,882",,,"67,581","67,581",
N07北大_112學年度財務報告.pdf,其他收入,,"2,813,277","2,813,277",,,"1,412,744","1,412,744",
N07北大_112學年度財務報告.pdf,支出,"21,275,075","23,849,400","2,574,325",112,"20,924,292","21,332,856","408,564",102
N07北大_112學年度財務報告.pdf,人事費,"16,813,922","14,991,246","(1,822,676)",89,"16,463,139","14,516,199","(1,946,940)",88
N07北大_112學年度財務報告.pdf,園長及教保服務人員薪資(含職務加給),"9,626,113","8,951,272","(674,841)",93,"9,394,761","8,668,599","(726,162)",92
N07北大_112學年度財務報告.pdf,學前特教師、社工人員、護理人員薪資,"522,005","566,004","43,999",108,"507,546","519,812","12,266",102
N07北大_112學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"2,643,963","2,660,436","16,473",101,"2,600,628","2,547,931","(52,697)",98
N07北大_112學年度財務報告.pdf,加班費,"1,269,600","333,335","(936,265)",26,"1,240,896","319,617","(921,279)",26
N07北大_112學年度財務報告.pdf,勞、健保費,"1,609,459","1,466,280","(143,179)",91,"1,573,088","1,469,410","(103,678)",93
N07北大_112學年度財務報告.pdf,保險費,"23,000","22,195",(805),97,"23,000","19,369","(3,631)",84
N07北大_112學年度財務報告.pdf,勞退金提撥,"682,236","684,558","2,322",100,"666,816","664,268","(2,548)",100
N07北大_112學年度財務報告.pdf,自強活動,"23,000","22,986",(14),100,"23,000","23,000",,100
N07北大_112學年度財務報告.pdf,健康檢查,"2,000",,"(2,000)",,"23,000","26,478","3,478",115
N07北大_112學年度財務報告.pdf,代課費及代班費,"317,790","189,424","(128,366)",60,"317,790","165,101","(152,689)",52
N07北大_112學年度財務報告.pdf,資遣費,"94,756","94,756",,100,"92,614","92,614",,100
N07北大_112學年度財務報告.pdf,業務費,"1,138,500","653,272","(485,228)",57,"1,138,500","588,451","(550,049)",52
N07北大_112學年度財務報告.pdf,活動費,"125,000","112,892","(12,108)",90,"125,000","75,791","(49,209)",61
N07北大_112學年度財務報告.pdf,研習、進修,"46,000","44,000","(2,000)",96,"46,000","32,000","(14,000)",70
N07北大_112學年度財務報告.pdf,水費,"50,000","24,924","(25,076)",50,"50,000","30,974","(19,026)",62
