檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N07北大_112學年度財務報告.pdf,,,,電費,,,,,
N07北大_112學年度財務報告.pdf,,,,瓦斯費,,,,,
N07北大_112學年度財務報告.pdf,,,,保全,,,,,
N07北大_112學年度財務報告.pdf,,,,辦公文具,,,,,
N07北大_112學年度財務報告.pdf,,,,事務機器耗材,,,,,
N07北大_112學年度財務報告.pdf,,,,電話費(含ADSL),,,,,
N07北大_112學年度財務報告.pdf,,,,郵資,,,,,
N07北大_112學年度財務報告.pdf,,,,文宣費(一般文宣),,,,,
N07北大_112學年度財務報告.pdf,,,,文宣費(期刊),,,,,
N07北大_112學年度財務報告.pdf,,,,攝影照片,,,,,
N07北大_112學年度財務報告.pdf,,,,園務特支,,,,,
N07北大_112學年度財務報告.pdf,,,,差旅費,,,,,
N07北大_112學年度財務報告.pdf,,,,材料費,,,,,
N07北大_112學年度財務報告.pdf,,,,教保材料費,,,,,
N07北大_112學年度財務報告.pdf,,,,日常消耗用品,,,,,
N07北大_112學年度財務報告.pdf,,,,藥品費,,,,,
N07北大_112學年度財務報告.pdf,,,,餐點費,,,,,
N07北大_112學年度財務報告.pdf,,,,維護費,,,,,
N07北大_112學年度財務報告.pdf,,,,修繕費,,,,,
N07北大_112學年度財務報告.pdf,,,,園舍消毒、清潔,,,,,
N07北大_112學年度財務報告.pdf,,,,火險,,,,,
N07北大_112學年度財務報告.pdf,,,,修繕購置費,,,,,
N07北大_112學年度財務報告.pdf,,,,雜支,,,,,
N07北大_112學年度財務報告.pdf,,,,行政管理費,,,,,
N07北大_112學年度財務報告.pdf,,,,業務發展費,,,,,
N07北大_112學年度財務報告.pdf,,,,延長照顧服務支出,,,,,
N07北大_112學年度財務報告.pdf,,,,其他支出,,,,,
N07北大_112學年度財務報告.pdf,,,,呆帳損失,,,,,
N07北大_112學年度財務報告.pdf,,,,本期稅前餘絀,,,,,
N07北大_112學年度財務報告.pdf,,,,所得稅費用,,,,,
N07北大_112學年度財務報告.pdf,,,,本期稅後餘絀,,,,,
N07北大_112學年度財務報告.pdf,1.代管財產,6010101-000005,,文書用具-白板,"$ 3,600",1,"$ 3,600",3,106/11/17
N07北大_112學年度財務報告.pdf,1.代管財產,6010142-000046,,文書用品-液晶螢幕,"9,200",1,"9,200",4,113/05/30
N07北大_112學年度財務報告.pdf,1.代管財產,6010601-000128,,傳音用具-電話機,"4,000",1,"4,000",5,111/10/31
N07北大_112學年度財務報告.pdf,1.代管財產,6010601-000129,,傳音用具-電話機,"4,000",1,"4,000",5,111/10/31
N07北大_112學年度財務報告.pdf,1.代管財產,6010601-000130,,傳音用具-電話機,"4,000",1,"4,000",5,111/10/31
N07北大_112學年度財務報告.pdf,1.代管財產,6010605-000019,,傳音用具-對講機,"5,049",1,"5,049",4,106/12/28
N07北大_112學年度財務報告.pdf,1.代管財產,6010613-000056,,傳音用具-綜合擴大機,"4,628",1,"4,628",5,106/12/28
