檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N01安溪_112學年度財務報告.pdf,收入,"$ 17,816,544","$ 18,995,020","$ 1,178,476",107,,,,
N01安溪_112學年度財務報告.pdf,教保費收入淨額,"17,816,544","17,230,683","(585,861)",97,,,,
N01安溪_112學年度財務報告.pdf,教保費收入,"17,816,544","17,324,859","(491,685)",97,,,,
N01安溪_112學年度財務報告.pdf,教保費收入（家長繳費）,"3,264,000","2,202,863","(1,061,137)",67,,,,
N01安溪_112學年度財務報告.pdf,教保費收入（政府學費差額補助）,"14,552,544","15,121,996","569,452",104,,,,
N01安溪_112學年度財務報告.pdf,教保費收入減項,,"(94,176)","(94,176)",,,,,
N01安溪_112學年度財務報告.pdf,五日未上課退費,,"(30,378)","(30,378)",,,,,
N01安溪_112學年度財務報告.pdf,腸病毒退費,,"(30,842)","(30,842)",,,,,
N01安溪_112學年度財務報告.pdf,轉學/轉出退費,,"(12,702)","(12,702)",,,,,
N01安溪_112學年度財務報告.pdf,政府學費差額補助退費,,"(20,254)","(20,254)",,,,,
N01安溪_112學年度財務報告.pdf,延長照顧服務收入淨額,,"337,868","337,868",,,,,
N01安溪_112學年度財務報告.pdf,延長照顧服務收入淨額,,"337,868","337,868",,,,,
N01安溪_112學年度財務報告.pdf,延長照顧服務收入,,"344,697","344,697",,,,,
N01安溪_112學年度財務報告.pdf,延長照顧服務收入退費,,"(6,829)","(6,829)",,,,,
N01安溪_112學年度財務報告.pdf,利息收入,,"82,077","82,077",,,,,
N01安溪_112學年度財務報告.pdf,其他收入,,"1,344,392","1,344,392",,,,,
N01安溪_112學年度財務報告.pdf,支出,"17,386,424","18,744,221","1,357,797",108,,,,
N01安溪_112學年度財務報告.pdf,人事費,"13,414,768","11,797,585","(1,617,183)",88,,,,
N01安溪_112學年度財務報告.pdf,園長及教保服務人員薪資（含職務加給）,"6,859,945","6,524,563","(335,382)",95,,,,
N01安溪_112學年度財務報告.pdf,學前特教師（含職務加給）、社工師、護理師薪資,"652,158","650,268","(1,890)",100,,,,
N01安溪_112學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"2,602,747","2,547,950","(54,797)",98,,,,
N01安溪_112學年度財務報告.pdf,加班費,"1,003,968","85,581","(918,387)",9,,,,
N01安溪_112學年度財務報告.pdf,勞、健保費,"1,378,722","1,136,332","(242,390)",82,,,,
N01安溪_112學年度財務報告.pdf,保險費,"18,000","17,987",(13),100,,,,
N01安溪_112學年度財務報告.pdf,勞退金提撥,"539,460","541,789","2,329",100,,,,
N01安溪_112學年度財務報告.pdf,自強活動,"18,000","18,000",,100,,,,
N01安溪_112學年度財務報告.pdf,健康檢查,"2,000","2,000",,100,,,,
N01安溪_112學年度財務報告.pdf,代課費及代班費,"264,843","198,190","(66,653)",75,,,,
N01安溪_112學年度財務報告.pdf,資遣費,"74,925","74,925",,100,,,,
N01安溪_112學年度財務報告.pdf,業務費,"883,400","394,450","(488,950)",45,,,,
N01安溪_112學年度財務報告.pdf,活動費,"115,000","54,090","(60,910)",47,,,,
N01安溪_112學年度財務報告.pdf,研習、進修,"36,000","2,000","(34,000)",6,,,,
N01安溪_112學年度財務報告.pdf,水費,"38,000","12,458","(25,542)",33,,,,
N01安溪_112學年度財務報告.pdf,電費,"324,000","137,832","(186,168)",43,,,,
N01安溪_112學年度財務報告.pdf,瓦斯費,"36,000","21,150","(14,850)",59,,,,
N01安溪_112學年度財務報告.pdf,保全,"60,000","24,000","(36,000)",40,,,,
N01安溪_112學年度財務報告.pdf,辦公文具,"30,000","9,907","(20,093)",33,,,,
N01安溪_112學年度財務報告.pdf,事務機器耗材,"65,000","53,091","(11,909)",82,,,,
N01安溪_112學年度財務報告.pdf,電話費（含ADSL）,"54,000","36,500","(17,500)",68,,,,
N01安溪_112學年度財務報告.pdf,郵資,"8,400","2,782","(5,618)",33,,,,
N01安溪_112學年度財務報告.pdf,文宣費（一般文宣）,"10,000",,"(10,000)",,,,,
N01安溪_112學年度財務報告.pdf,文宣費（園刊）,"30,000",,"(30,000)",,,,,
N01安溪_112學年度財務報告.pdf,攝影照片,"10,000",,"(10,000)",,,,,
N01安溪_112學年度財務報告.pdf,園務特支,"42,000","40,640","(1,360)",97,,,,
N01安溪_112學年度財務報告.pdf,差旅費,"25,000",,"(25,000)",,,,,
N01安溪_112學年度財務報告.pdf,材料費,"2,375,920","2,216,621","(159,299)",93,,,,
N01安溪_112學年度財務報告.pdf,教保材料費,"326,400","201,041","(125,359)",62,,,,
N01安溪_112學年度財務報告.pdf,日常消耗用品,"81,600","58,145","(23,455)",71,,,,
