檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N01安溪_112學年度財務報告.pdf,112學年度,人事費,"$ 13,414,768","$ 11,797,585","$(1,617,183)",(12),未超支
N01安溪_112學年度財務報告.pdf,112學年度,人事費,"12,335,875","11,637,079","(698,796)",(6),未超支
N01安溪_112學年度財務報告.pdf,112學年度,加班費,"1,003,968","85,581","(918,387)",(91),未超支
N01安溪_112學年度財務報告.pdf,112學年度,資遣費,"74,925","74,925",-,,
N01安溪_112學年度財務報告.pdf,112學年度,業務費,"883,400","394,450","(488,950)",(55),未超支
N01安溪_112學年度財務報告.pdf,112學年度,活動費,"115,000","54,090","(60,910)",(53),未超支
N01安溪_112學年度財務報告.pdf,112學年度,研習、進修,"36,000","2,000","(34,000)",(94),未超支
N01安溪_112學年度財務報告.pdf,112學年度,水費,"38,000","12,458","(25,542)",(67),未超支
N01安溪_112學年度財務報告.pdf,112學年度,電費,"324,000","137,832","(186,168)",(57),未超支
N01安溪_112學年度財務報告.pdf,112學年度,瓦斯費,"36,000","21,150","(14,850)",(41),未超支
N01安溪_112學年度財務報告.pdf,112學年度,保全,"60,000","24,000","(36,000)",(60),未超支
N01安溪_112學年度財務報告.pdf,112學年度,辦公文具,"30,000","9,907","(20,093)",(67),未超支
N01安溪_112學年度財務報告.pdf,112學年度,事務機器耗材,"65,000","53,091","(11,909)",(18),未超支
N01安溪_112學年度財務報告.pdf,112學年度,電話費（含 ADSL）,"54,000","36,500","(17,500)",(32),未超支
N01安溪_112學年度財務報告.pdf,112學年度,郵資,"8,400","2,782","(5,618)",(67),未超支
N01安溪_112學年度財務報告.pdf,112學年度,文宣費（一般文宣）,"10,000",-,"(10,000)",-,
N01安溪_112學年度財務報告.pdf,112學年度,文宣費（園刊）,"30,000",-,"(30,000)",-,
N01安溪_112學年度財務報告.pdf,112學年度,攝影照片,"10,000",-,"(10,000)",-,
N01安溪_112學年度財務報告.pdf,112學年度,園務特支,"42,000","40,640","(1,360)",(3),未超支
N01安溪_112學年度財務報告.pdf,112學年度,差旅費,"25,000",-,"(25,000)",-,
N01安溪_112學年度財務報告.pdf,112學年度,材料費,"2,375,920","2,216,621","(159,299)",(7),未超支
N01安溪_112學年度財務報告.pdf,112學年度,教保材料費,"326,400","201,041","(125,359)",(38),未超支
N01安溪_112學年度財務報告.pdf,112學年度,日常消耗用品,"81,600","58,145","(23,455)",(29),未超支
N01安溪_112學年度財務報告.pdf,112學年度,藥品費,"9,520","6,961","(2,559)",(27),未超支
N01安溪_112學年度財務報告.pdf,112學年度,餐點費,"1,958,400","1,950,474","(7,926)",-,未超支
N01安溪_112學年度財務報告.pdf,112學年度,維護費,"143,000","51,581","(91,419)",(64),未超支
N01安溪_112學年度財務報告.pdf,112學年度,修繕購置費,"190,400","28,074","(162,326)",(85),未超支
N01安溪_112學年度財務報告.pdf,112學年度,雜支,"53,004","18,950","(34,054)",(64),未超支
N01安溪_112學年度財務報告.pdf,112學年度,行政管理費,"325,932","325,932",-,-,未超支
N01安溪_112學年度財務報告.pdf,112學年度,合計,"$ 17,386,424","$ 14,833,193","$(2,553,231)",(15),
