檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N09安興_112學年度財務報告.pdf,收入,"7,186,320","9,878,078","2,691,758",137,"7,186,320","9,125,442","1,939,122",127
N09安興_112學年度財務報告.pdf,教保費收入淨額,"7,186,320","6,707,645","(478,675)",93,"7,186,320","6,957,635","(228,685)",97
N09安興_112學年度財務報告.pdf,教保費收入,"7,186,320","6,873,638","(312,682)",96,"7,186,320","6,981,806","(204,514)",97
N09安興_112學年度財務報告.pdf,教保費收入(家長繳費),"1,440,000","1,055,520","(384,480)",73,"1,440,000","1,105,700","(334,300)",77
N09安興_112學年度財務報告.pdf,教保費收入(政府學費差額補助),"5,746,320","5,818,118","71,798",101,"5,746,320","5,876,106","129,786",102
N09安興_112學年度財務報告.pdf,教保費收入減項,,"(165,993)","(165,993)",,,"(24,171)","(24,171)",
N09安興_112學年度財務報告.pdf,五日未上課退費,,"(40,528)","(40,528)",,,"(24,171)","(24,171)",
N09安興_112學年度財務報告.pdf,腸病毒退費,,"(22,704)","(22,704)",,,,,
N09安興_112學年度財務報告.pdf,轉學/轉出退費,,"(4,000)","(4,000)",,,,,
N09安興_112學年度財務報告.pdf,政府學費差額補助退費,,"(98,761)","(98,761)",,,,,
N09安興_112學年度財務報告.pdf,延長照顧服務收入淨額,,"481,110","481,110",,,"650,220","650,220",
N09安興_112學年度財務報告.pdf,延長照顧服務收入淨額,,"481,110","481,110",,,"650,220","650,220",
N09安興_112學年度財務報告.pdf,延長照顧服務收入,,"501,420","501,420",,,"681,840","681,840",
N09安興_112學年度財務報告.pdf,延長照顧服務收入退費,,"(20,310)","(20,310)",,,"(31,620)","(31,620)",
N09安興_112學年度財務報告.pdf,利息收入,,"77,347","77,347",,,"41,897","41,897",
N09安興_112學年度財務報告.pdf,其他收入,,"2,611,976","2,611,976",,,"1,475,690","1,475,690",
N09安興_112學年度財務報告.pdf,支出,"7,218,663","9,801,505","2,582,842",136,"7,171,445","8,883,790","1,712,345",124
N09安興_112學年度財務報告.pdf,人事費,"5,268,163","3,361,395","(1,906,768)",64,"5,220,945","4,104,465","(1,116,480)",79
N09安興_112學年度財務報告.pdf,園長及教保服務人員薪資(含職務加給),"2,827,440","1,951,484","(875,956)",69,"2,827,440","2,165,622","(661,818)",77
N09安興_112學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,204,512","795,717","(408,795)",66,"1,183,653","1,120,408","(63,245)",95
N09安興_112學年度財務報告.pdf,加班費,"400,224","57,186","(343,038)",14,"398,112","198,381","(199,731)",50
N09安興_112學年度財務報告.pdf,勞、健保費,"477,829","351,737","(126,092)",74,"475,345","385,239","(90,106)",81
N09安興_112學年度財務報告.pdf,保險費,"8,000","5,354","(2,646)",67,"8,000","6,650","(1,350)",83
N09安興_112學年度財務報告.pdf,勞退金提撥,"215,028","132,026","(83,002)",61,"213,924","171,781","(42,143)",80
N09安興_112學年度財務報告.pdf,自強活動,"8,000","8,000",-,100,"8,000","9,902","1,902",124
N09安興_112學年度財務報告.pdf,健康檢查,"1,000","1,000",-,100,"8,000","1,720","(6,280)",22
N09安興_112學年度財務報告.pdf,代課費及代班費,"96,264","29,025","(67,239)",30,"68,760","15,051","(53,709)",22
N09安興_112學年度財務報告.pdf,資遣費,"29,866","29,866",-,100,"29,711","29,711",-,100
N09安興_112學年度財務報告.pdf,業務費,"568,000","356,119","(211,881)",63,"568,000","356,779","(211,221)",63
N09安興_112學年度財務報告.pdf,活動費,"75,000","33,509","(41,491)",45,"75,000","82,418","7,418",110
N09安興_112學年度財務報告.pdf,研習、進修,"16,000","11,000","(5,000)",69,"16,000","4,000","(12,000)",25
N09安興_112學年度財務報告.pdf,水費,"20,000","4,485","(15,515)",22,"20,000","4,614","(15,386)",23
N09安興_112學年度財務報告.pdf,電費,"144,000","150,861","6,861",105,"144,000","133,927","(10,073)",93
N09安興_112學年度財務報告.pdf,瓦斯費,"30,000","10,845","(19,155)",36,"30,000","14,775","(15,225)",49
N09安興_112學年度財務報告.pdf,保全,"80,000","20,790","(59,210)",26,"80,000","18,900","(61,100)",24
N09安興_112學年度財務報告.pdf,辦公文具,"12,000","6,233","(5,767)",52,"12,000",,"(12,000)",
N09安興_112學年度財務報告.pdf,事務機器耗材,"55,000","34,698","(20,302)",63,"55,000","19,522","(35,478)",35
N09安興_112學年度財務報告.pdf,電話費(含ADSL),"36,000","36,609",609,102,"36,000","35,971",(29),100
N09安興_112學年度財務報告.pdf,郵資,"6,000","2,762","(3,238)",46,"6,000","4,652","(1,348)",78
N09安興_112學年度財務報告.pdf,文宣費(一般文宣),"10,000","8,500","(1,500)",85,"10,000","3,000","(7,000)",30
N09安興_112學年度財務報告.pdf,文宣費(期刊),"25,000","14,087","(10,913)",56,"25,000","11,000","(14,000)",44
N09安興_112學年度財務報告.pdf,攝影照片,"8,000","8,000",-,100,"8,000","8,000",-,100
N09安興_112學年度財務報告.pdf,園務特支,"36,000","13,740","(22,260)",38,"36,000","16,000","(20,000)",44
N09安興_112學年度財務報告.pdf,差旅費,"15,000",,"(15,000)",,"15,000",,"(15,000)",
N09安興_112學年度財務報告.pdf,材料費,"904,200","868,837","(35,363)",96,"904,200","798,212","(105,988)",88
N09安興_112學年度財務報告.pdf,教保材料費,"144,000","127,721","(16,279)",89,"144,000","60,949","(83,051)",42
N09安興_112學年度財務報告.pdf,日常消耗用品,"36,000","26,047","(9,953)",72,"36,000","26,705","(9,295)",74
N09安興_112學年度財務報告.pdf,藥品費,"4,200","2,202","(1,998)",52,"4,200","1,879","(2,321)",45
N09安興_112學年度財務報告.pdf,餐點費,"720,000","712,867","(7,133)",99,"720,000","708,679","(11,321)",98
N09安興_112學年度財務報告.pdf,維護費,"93,000","87,109","(5,891)",94,"93,000","136,426","43,426",147
N09安興_112學年度財務報告.pdf,修繕費,"60,000","60,803",803,101,"60,000","111,770","51,770",186
N09安興_112學年度財務報告.pdf,園舍消毒、清潔,"25,000","24,450",(550),98,"25,000","22,800","(2,200)",91
N09安興_112學年度財務報告.pdf,火險,"8,000","1,856","(6,144)",23,"8,000","1,856","(6,144)",23
N09安興_112學年度財務報告.pdf,修繕購置費,"84,000","67,046","(16,954)",80,"84,000","68,974","(15,026)",82
N09安興_112學年度財務報告.pdf,公共事務管理費,"120,000","71,860","(48,140)",60,"120,000","72,360","(47,640)",60
N09安興_112學年度財務報告.pdf,雜支,"34,080","8,923","(25,157)",26,"34,080","3,487","(30,593)",10
N09安興_112學年度財務報告.pdf,行政管理費,"147,220","147,220",-,100,"147,220","147,220",-,100
N09安興_112學年度財務報告.pdf,業務發展費,,"1,930,000","1,930,000",,,"1,375,000","1,375,000",
N09安興_112學年度財務報告.pdf,延長照顧服務支出,,"291,020","291,020",,,"345,177","345,177",
N09安興_112學年度財務報告.pdf,其他支出,,"2,611,976","2,611,976",,,"1,475,690","1,475,690",
N09安興_112學年度財務報告.pdf,本期稅前餘絀,"(32,343)","76,573","108,916",(237),"14,875","241,652","226,777","1,625"
N09安興_112學年度財務報告.pdf,所得稅費用,,,,,,,,
N09安興_112學年度財務報告.pdf,本期稅後餘絀,"$(32,343)","$ 76,573","$ 108,916",(237),"$ 14,875","$ 241,652","$ 226,777","1,625"
