檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N02山北_112學年度財務報告.pdf,收入,"$ 13,146,840","$ 13,850,855","$ 704,015",105,,,,
N02山北_112學年度財務報告.pdf,教保費收入淨額,"13,146,840","12,690,961","(455,879)",97,,,,
N02山北_112學年度財務報告.pdf,教保費收入,"13,146,840","12,764,928","(381,912)",97,,,,
N02山北_112學年度財務報告.pdf,教保費收入（家長繳費）,"2,160,000","1,510,652","(649,348)",70,,,,
N02山北_112學年度財務報告.pdf,教保費收入（政府學費差額補助）,"10,986,840","11,254,276","267,436",102,,,,
N02山北_112學年度財務報告.pdf,教保費收入減項,-,"(73,967)","(73,967)",,,,,
N02山北_112學年度財務報告.pdf,五日未上課退費,-,"(31,255)","(31,255)",,,,,
N02山北_112學年度財務報告.pdf,轉學/轉出退費,-,"(39,046)","(39,046)",,,,,
N02山北_112學年度財務報告.pdf,政府學費差額補助退費,-,"(3,666)","(3,666)",,,,,
N02山北_112學年度財務報告.pdf,延長照顧服務收入淨額,-,"155,084","155,084",,,,,
N02山北_112學年度財務報告.pdf,延長照顧服務收入淨額,-,"155,084","155,084",,,,,
N02山北_112學年度財務報告.pdf,延長照顧服務收入,-,"155,084","155,084",,,,,
N02山北_112學年度財務報告.pdf,利息收入,-,"68,971","68,971",,,,,
N02山北_112學年度財務報告.pdf,其他收入,-,"935,839","935,839",,,,,
N02山北_112學年度財務報告.pdf,支出,"12,817,388","14,199,695","1,382,307",111,,,,
N02山北_112學年度財務報告.pdf,人事費,"9,854,366","9,157,815","(696,551)",93,,,,
N02山北_112學年度財務報告.pdf,園長及教保服務人員薪資（含職務加給）,"6,081,414","5,941,920","(139,494)",98,,,,
N02山北_112學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,355,400","1,322,997","(32,403)",98,,,,
N02山北_112學年度財務報告.pdf,加班費,"738,192","421,905","(316,287)",57,,,,
N02山北_112學年度財務報告.pdf,勞、健保費,"1,013,688","872,368","(141,320)",86,,,,
N02山北_112學年度財務報告.pdf,保險費,"13,000","18,864","5,864",145,,,,
N02山北_112學年度財務報告.pdf,勞退金提撥,"396,636","429,119","32,483",108,,,,
N02山北_112學年度財務報告.pdf,自強活動,"13,000","10,000","(3,000)",77,,,,
N02山北_112學年度財務報告.pdf,健康檢查,"1,000","1,191",191,119,,,,
N02山北_112學年度財務報告.pdf,代課費及代班費,"186,948","84,363","(102,585)",45,,,,
N02山北_112學年度財務報告.pdf,資遣費,"55,088","55,088",-,100,,,,
N02山北_112學年度財務報告.pdf,業務費,"723,700","463,878","(259,822)",64,,,,
N02山北_112學年度財務報告.pdf,活動費,"95,000","86,400","(8,600)",91,,,,
N02山北_112學年度財務報告.pdf,研習、進修,"26,000","6,800","(19,200)",26,,,,
N02山北_112學年度財務報告.pdf,水費,"26,000","10,743","(15,257)",41,,,,
N02山北_112學年度財務報告.pdf,電費,"229,000","210,502","(18,498)",92,,,,
N02山北_112學年度財務報告.pdf,瓦斯費,"32,000","13,620","(18,380)",43,,,,
N02山北_112學年度財務報告.pdf,保全,"80,000","37,275","(42,725)",47,,,,
N02山北_112學年度財務報告.pdf,辦公文具,"18,000","6,344","(11,656)",35,,,,
N02山北_112學年度財務報告.pdf,事務機器耗材,"60,000","23,573","(36,427)",39,,,,
N02山北_112學年度財務報告.pdf,電話費（含 ADSL）,"45,000","29,727","(15,273)",66,,,,
N02山北_112學年度財務報告.pdf,郵資,"7,200","1,524","(5,676)",21,,,,
N02山北_112學年度財務報告.pdf,文宣費（一般文宣）,"10,000",800,"(9,200)",8,,,,
N02山北_112學年度財務報告.pdf,文宣費（園刊）,"27,500",-,"(27,500)",,,,,
N02山北_112學年度財務報告.pdf,攝影照片,"9,000","4,050","(4,950)",45,,,,
N02山北_112學年度財務報告.pdf,園務特支,"39,000","32,520","(6,480)",83,,,,
N02山北_112學年度財務報告.pdf,差旅費,"20,000",-,"(20,000)",,,,,
N02山北_112學年度財務報告.pdf,材料費,"1,572,300","1,219,134","(353,166)",78,,,,
N02山北_112學年度財務報告.pdf,教保材料費,"216,000","109,184","(106,816)",51,,,,
N02山北_112學年度財務報告.pdf,日常消耗用品,"54,000","31,019","(22,981)",57,,,,
N02山北_112學年度財務報告.pdf,藥品費,"6,300","2,930","(3,370)",47,,,,
N02山北_112學年度財務報告.pdf,餐點費,"1,296,000","1,076,001","(219,999)",83,,,,
N02山北_112學年度財務報告.pdf,維護費,"118,000","81,966","(36,034)",69,,,,
N02山北_112學年度財務報告.pdf,修繕費,"85,000","65,241","(19,759)",77,,,,
N02山北_112學年度財務報告.pdf,園舍消毒、清潔,"25,000","16,005","(8,995)",64,,,,
N02山北_112學年度財務報告.pdf,火險,"8,000",720,"(7,280)",9,,,,
N02山北_112學年度財務報告.pdf,修繕購置費,"126,000","107,677","(18,323)",85,,,,
N02山北_112學年度財務報告.pdf,公共事務管理費,"150,000","20,538","(129,462)",14,,,,
N02山北_112學年度財務報告.pdf,雜支,"43,422","6,095","(37,327)",14,,,,
N02山北_112學年度財務報告.pdf,行政管理費,"229,600","229,600",-,100,,,,
N02山北_112學年度財務報告.pdf,業務發展費,-,"1,833,375","1,833,375",,,,,
N02山北_112學年度財務報告.pdf,延長照顧服務支出,-,"143,778","143,778",,,,,
N02山北_112學年度財務報告.pdf,其他支出,-,"935,839","935,839",,,,,
N02山北_112學年度財務報告.pdf,本期稅前餘絀,"329,452","(348,840)","(678,292)",(106),,,,
N02山北_112學年度財務報告.pdf,所得稅費用,-,-,-,,,,,
N02山北_112學年度財務報告.pdf,本期稅後餘絀,"$ 329,452","$(348,840)","$(678,292)",(106),,,,
