檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N06昌平_112學年度財務報告.pdf,5,現金及銀行存款,"$5,823,963",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,現金及銀行存款,"$5,654,815",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,應收帳款淨額,"6,210",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,應收帳款淨額,"6,840",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,其他應收款,"158,950",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,其他應收款,"89,428",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,預付款項,"49,950",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,預付款項,"14,600",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,流動資產合計,"6,039,073",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,流動資產合計,"5,765,683",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,資遣費準備金,"281,638",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,資遣費準備金,"248,269",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,業務發展準備金,"7,699,279",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,業務發展準備金,"5,660,167",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,代管財產,"1,385,955",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,代管財產,"1,385,955",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,購置財產,"287,838",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,購置財產,"270,513",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,存出保證金,"11,500",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,存出保證金,"11,500",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,非流動資產合計,"9,666,210",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,非流動資產合計,"7,576,404",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,資產總計,"$15,705,283",資產,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,資產總計,"$13,342,087",資產,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,應付票據,"$2,000",負債及淨值,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,應付票據,"$2,000",負債及淨值,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,應付帳款,"112,579",負債及淨值,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,應付帳款,-,負債及淨值,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,其他應付款,"1,259,043",負債及淨值,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,其他應付款,"1,581,916",負債及淨值,111學年度,前一年度,112年7月31日
N06昌平_112學年度財務報告.pdf,5,預收款項,"2,737,503",負債及淨值,112學年度,本年度,113年7月31日
N06昌平_112學年度財務報告.pdf,5,預收款項,"2,440,957",負債及淨值,111學年度,前一年度,112年7月31日
