檔案名稱,頁碼,報告學年度,科目,金額,原始年度標示
N05漢翔_112學年度財務報告.pdf,6,112學年度,教保費收入,"9,017,887",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,教保費收入減項,"(65,227)",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,延長照顧服務收入淨額,"168,240",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,利息收入,"71,207",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,其他收入,"3,729,484",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,收入合計,"12,921,591",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,人事費,"5,032,018",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,業務費,"421,276",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,材料費,"1,180,578",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,維護費,"88,595",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,修繕購置費,"111,709",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,雜支,"26,415",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,行政管理費,"112,681",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,業務發展費,"1,782,519",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,延長照顧服務支出,"168,240",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,其他支出,"3,729,484",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,支出合計,"12,653,515",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,本期稅前餘絀,"268,076",112
N05漢翔_112學年度財務報告.pdf,6,112學年度,所得稅費用,-,112
N05漢翔_112學年度財務報告.pdf,6,112學年度,本期稅後餘絀,"268,076",112
