檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N05漢翔_112學年度財務報告.pdf,5,現金及銀行存款,"$ 5,236,308",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,現金及銀行存款,"$ 4,718,448",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,應收帳款淨額,742,資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,應收帳款淨額,-,資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,其他應收款,"14,255",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,其他應收款,"403,740",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,預付款項,"2,167",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,預付款項,"29,307",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,其他流動資產,-,資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,其他流動資產,635,資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,流動資產合計,"5,253,472",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,流動資產合計,"5,152,130",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,資遣費準備金,"305,646",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,資遣費準備金,"263,748",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,業務發展準備金,"8,191,619",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,業務發展準備金,"6,409,100",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,代管財產,"515,711",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,代管財產,"687,572",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,購置財產,"391,293",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,購置財產,"355,293",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,存出保證金,"15,000",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,存出保證金,"15,000",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,非流動資產合計,"9,419,269",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,非流動資產合計,"7,730,713",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,資產總計,"$ 14,672,741",資產,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,資產總計,"$ 12,882,843",資產,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,應付帳款,"$ 111,517",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,應付帳款,"$ 21,915",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,其他應付款,"1,004,024",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,其他應付款,"1,366,775",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,預收款項,"2,195,398",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,預收款項,"2,088,983",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,流動負債合計,"3,310,939",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,流動負債合計,"3,477,673",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,資遣費準備,"305,646",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,資遣費準備,"263,748",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,業務發展準備,"8,191,619",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,業務發展準備,"6,409,100",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,應付代管財產,"515,711",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,應付代管財產,"687,572",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,應付購置財產,"391,293",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,應付購置財產,"355,293",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,非流動負債合計,"9,404,269",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,非流動負債合計,"7,715,713",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,負債總額,"12,715,208",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,負債總額,"11,193,386",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,累積餘絀,"1,689,457",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,累積餘絀,"1,582,806",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,本期餘絀,"268,076",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,本期餘絀,"106,651",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,餘絀總額,"1,957,533",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,餘絀總額,"1,689,457",負債及淨值,111學年度,前一年度,112年7月31日
N05漢翔_112學年度財務報告.pdf,5,負債及餘絀總計,"$ 14,672,741",負債及淨值,112學年度,本年度,113年7月31日
N05漢翔_112學年度財務報告.pdf,5,負債及餘絀總計,"$ 12,882,843",負債及淨值,111學年度,前一年度,112年7月31日
