檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N05漢翔_112學年度財務報告.pdf,112學年度,人事費,"$ 7,349,453","$ 5,032,018","$(2,317,435)",32,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,人事費,"6,746,159","4,723,924","(2,022,235)",30,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,加班費,"561,396","266,196","(295,200)",53,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,資遣費,"41,898","41,898",,,
N05漢翔_112學年度財務報告.pdf,112學年度,業務費,"694,700","421,276","(273,424)",39,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,活動費,"95,000","91,855","(3,145)",3,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,研習、進修,"22,000","16,500","(5,500)",25,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,水費,"26,000","10,090","(15,910)",61,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,電費,"204,000","142,787","(61,213)",30,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,瓦斯費,"32,000","12,775","(19,225)",60,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,保全,"80,000","19,152","(60,848)",76,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,辦公文具,"18,000","12,015","(5,985)",33,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,事務機器耗材,"60,000","27,126","(32,874)",55,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,電話費(含 ADSL),"45,000","37,125","(7,875)",18,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,郵資,"7,200","2,255","(4,945)",69,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,文宣費(一般文宣),"10,000","3,120","(6,880)",69,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,文宣費(園刊),"27,500","9,997","(17,503)",64,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,攝影照片,"9,000","6,116","(2,884)",32,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,園務特支,"39,000","30,363","(8,637)",22,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,差旅費,"20,000",-,"(20,000)",,
N05漢翔_112學年度財務報告.pdf,112學年度,材料費,"1,183,320","1,180,578","(2,742)",-,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,教保材料費,"182,400","140,801","(41,599)",23,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,日常消耗用品,"45,600","38,613","(6,987)",15,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,藥品費,"5,320","4,339",(981),18,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,餐點費,"950,000","996,825","46,825",5,應優先於材料費總預算內相互勻支後，已符合勻支規定
N05漢翔_112學年度財務報告.pdf,112學年度,維護費,"118,000","88,595","(29,405)",25,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,修繕購置費,"106,400","111,709","5,309",5,經與維護費相互勻支後，已符合勻支規定
N05漢翔_112學年度財務報告.pdf,112學年度,雜支,"41,682","26,415","(15,267)",37,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,行政管理費,"112,681","112,681",-,-,未超支
N05漢翔_112學年度財務報告.pdf,112學年度,合 計,"$ 9,606,236","$ 6,973,272","$(2,632,964)",27,
