檔案名稱,項目,112學年度金額,111學年度金額
N08鷺江_112學年度財務報告.pdf,營業活動之現金流量：,,
N08鷺江_112學年度財務報告.pdf,本期稅前餘絀,"$(81,275)","$ 456,219"
N08鷺江_112學年度財務報告.pdf,調整項目：,,
N08鷺江_112學年度財務報告.pdf,資產／負債淨變動數,,
N08鷺江_112學年度財務報告.pdf,應收帳款淨額,"1,285","(5,461)"
N08鷺江_112學年度財務報告.pdf,其他應收款,"(59,933)","353,914"
N08鷺江_112學年度財務報告.pdf,預付款項,"7,350","2,355"
N08鷺江_112學年度財務報告.pdf,應付帳款,"(104,531)","63,804"
N08鷺江_112學年度財務報告.pdf,其他應付款,"(239,804)","(536,437)"
N08鷺江_112學年度財務報告.pdf,預收款項,"156,878","333,889"
N08鷺江_112學年度財務報告.pdf,其他流動負債,"8,740","9,562"
N08鷺江_112學年度財務報告.pdf,資遣費準備淨變動,"(24,453)","24,453"
N08鷺江_112學年度財務報告.pdf,營業活動之淨現金流（出）入,"(335,743)","702,298"
N08鷺江_112學年度財務報告.pdf,投資活動之現金流量：,,
N08鷺江_112學年度財務報告.pdf,投資活動之淨現金流人,-,-
N08鷺江_112學年度財務報告.pdf,籌資活動之現金流量：,,
N08鷺江_112學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N08鷺江_112學年度財務報告.pdf,本期現金及約當現金（減少）增加數,"(335,743)","702,298"
N08鷺江_112學年度財務報告.pdf,期初現金及約當現金餘額,"5,697,457","4,995,159"
N08鷺江_112學年度財務報告.pdf,期末現金及約當現金餘額,"$ 5,361,714","$ 5,697,457"
