檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N08鷺江_112學年度財務報告.pdf,5,現金及銀行存款,"5,361,714",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,現金及銀行存款,"5,697,457",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,應收帳款淨額,"23,836",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,應收帳款淨額,"25,121",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,其他應收款,"235,338",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,其他應收款,"175,405",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,預付款項,,資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,預付款項,"7,350",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,流動資產合計,"5,620,888",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,流動資產合計,"5,905,333",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,資遺費準備金,"290,996",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,資遺費準備金,"216,452",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,業務發展準備金,"9,280,497",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,業務發展準備金,"6,550,652",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,代管財產,"1,079,110",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,代管財產,"1,354,972",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,購置財產,"351,143",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,購置財產,"264,893",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,存出保證金,"3,000",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,存出保證金,"3,000",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,非流動資產合計,"11,004,746",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,非流動資產合計,"8,389,969",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,資產總計,"16,625,634",資產,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,資產總計,"14,295,302",資產,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,應付帳款,"2,357",負債及淨值,112學年度,本年度,113年7月31日
N08鷺江_112學年度財務報告.pdf,5,應付帳款,"106,888",負債及淨值,111學年度,前一年度,112年7月31日
N08鷺江_112學年度財務報告.pdf,5,其他應付款,"715,973",負債及淨值,112學年度,本年度,113年7月31日
