檔案名稱,項目,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率,111學年度預算數,111學年度決算數,111學年度決算與預算差異,111學年度執行率
N08鷺江_112學年度財務報告.pdf,收入,"$ 11,740,560","$ 16,561,545","$ 4,820,985",141,"$ 11,740,560","$ 14,209,848","$ 2,469,288",121
N08鷺江_112學年度財務報告.pdf,教保費收入淨額,"11,740,560","11,230,949","(509,611)",96,"11,740,560","11,303,691","(436,869)",96
N08鷺江_112學年度財務報告.pdf,教保費收入,"11,740,560","11,397,036","(343,524)",97,"11,740,560","11,365,099","(375,461)",97
N08鷺江_112學年度財務報告.pdf,教保費收入(家長繳費),"2,544,000","1,353,826","(1,190,174)",53,"2,544,000","1,208,731","(1,335,269)",48
N08鷺江_112學年度財務報告.pdf,教保費收入(政府學費差額補助),"9,196,560","10,043,210","846,650",109,"9,196,560","10,156,368","959,808",110
N08鷺江_112學年度財務報告.pdf,教保費收入減項,,"(166,087)","(166,087)",,,"(61,408)","(61,408)",
N08鷺江_112學年度財務報告.pdf,五日未上課退費,,"(74,411)","(74,411)",,,"(55,934)","(55,934)",
N08鷺江_112學年度財務報告.pdf,腸病毒退費,,"(66,255)","(66,255)",,,"(2,053)","(2,053)",
N08鷺江_112學年度財務報告.pdf,轉學/轉出退費,,,,,,,,
N08鷺江_112學年度財務報告.pdf,政府學費差額補助退費,,"(25,421)","(25,421)",,,"(3,421)","(3,421)",
N08鷺江_112學年度財務報告.pdf,延長照顧服務收入淨額,,"219,505","219,505",,,"254,145","254,145",
N08鷺江_112學年度財務報告.pdf,延長照顧服務收入淨額,,"219,505","219,505",,,"254,145","254,145",
N08鷺江_112學年度財務報告.pdf,延長照顧服務收入,,"229,900","229,900",,,"257,960","257,960",
N08鷺江_112學年度財務報告.pdf,延長照顧服務收入退費,,"(10,395)","(10,395)",,,"(3,815)","(3,815)",
N08鷺江_112學年度財務報告.pdf,利息收入,,"107,460","107,460",,,"35,454","35,454",
N08鷺江_112學年度財務報告.pdf,其他收入,,"5,003,631","5,003,631",,,"2,616,558","2,616,558",
N08鷺江_112學年度財務報告.pdf,支出,"11,836,824","16,642,820","4,805,996",141,"11,644,333","13,753,629","2,109,296",118
N08鷺江_112學年度財務報告.pdf,人事費,"8,837,758","6,549,857","(2,287,901)",74,"8,645,267","7,382,340","(1,262,927)",85
