檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N08鷺江_112學年度財務報告.pdf,代管財產,301051624,000011,抽風機,"$ 34,000",1,"$ 7,352",8,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,3070114253,000001,工作台,"13,130",1,131,5,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,311010123,000003,電子身高體重器,"18,000",1,"12,060",5,111/04/12
N08鷺江_112學年度財務報告.pdf,代管財產,314010103,000924,個人電腦,"25,000",1,250,4,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,314010103,000925,個人電腦,"21,950",1,220,4,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,314010103,000926,個人電腦,"21,950",1,220,4,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,314010103,001211,個人電腦,"33,275",1,"19,549",4,111/04/19
N08鷺江_112學年度財務報告.pdf,代管財產,314010103,001212,個人電腦,"28,550",1,"16,773",4,111/04/19
N08鷺江_112學年度財務報告.pdf,代管財產,314010103,001213,個人電腦,"28,550",1,"16,773",4,111/04/19
N08鷺江_112學年度財務報告.pdf,代管財產,314030813,000008,數位相照機,"16,500",1,165,5,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,314030817,000092,數位投影機,"56,489",1,"38,780",5,111/05/04
N08鷺江_112學年度財務報告.pdf,代管財產,405020201,000001,電話系統,"45,000",1,450,5,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,405020802,000002,對講機,"25,400",1,"15,446",4,111/05/04
N08鷺江_112學年度財務報告.pdf,代管財產,405030310,000002,擴音機,"25,000",1,"5,406",8,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,405030325,000042,麥克風,"43,600",1,"35,956",8,111/07/06
N08鷺江_112學年度財務報告.pdf,代管財產,405030407,000001,消磁器,"18,000",1,180,3,102/10/24
N08鷺江_112學年度財務報告.pdf,代管財產,405040214,000003,監視系統,"34,000",1,"7,352",8,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,501010521,000150,投影機,"19,000",1,"4,109",8,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,501010521,000151,投影機,"19,000",1,"4,109",8,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000088,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000089,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000090,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000091,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000092,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000093,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000094,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000095,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000096,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000097,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000098,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000099,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010603,000100,冷(暖)氣機,"43,810",1,"13,290",9,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501010701A,000010,冰箱,"17,589",1,176,4,106/07/31
N08鷺江_112學年度財務報告.pdf,代管財產,501010706,000001,冷凍庫,"28,000",1,"6,055",8,106/08/10
N08鷺江_112學年度財務報告.pdf,代管財產,501011007,000001,電鍋,"13,000",1,130,5,106/08/10
N08鷺江_112學年度財務報告.pdf,代管財產,501011017,000001,瓦斯爐,"15,319",1,153,3,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501011017,000002,瓦斯爐,"21,884",1,219,3,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501011019,000046,飲水機,"42,000",1,420,3,106/07/20
N08鷺江_112學年度財務報告.pdf,代管財產,501011019,000048,飲水機,"16,194",1,"7,733",3,111/05/10
N08鷺江_112學年度財務報告.pdf,代管財產,501011040,000001,開水機,"26,261",1,263,3,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501011066A,000001,油煙罩,"43,768",1,"16,326",10,106/08/02
N08鷺江_112學年度財務報告.pdf,代管財產,501030101B,000014,桌,"12,071",1,121,5,106/08/07
N08鷺江_112學年度財務報告.pdf,代管財產,501030101B,000015,桌,"12,071",1,121,5,106/08/07
