檔案名稱,項目,112學年度金額,111學年度金額
N03龍埔成長_112學年度財務報告.pdf,營業活動之現金流量：,,
N03龍埔成長_112學年度財務報告.pdf,本期稅前餘絀,"250,734","351,100"
N03龍埔成長_112學年度財務報告.pdf,調整項目：,,
N03龍埔成長_112學年度財務報告.pdf,資產／負債淨變動數,,
N03龍埔成長_112學年度財務報告.pdf,應收帳款淨額,"74,339","(9,215)"
N03龍埔成長_112學年度財務報告.pdf,其他應收款,"73,265","(72,652)"
N03龍埔成長_112學年度財務報告.pdf,預付款項,"61,563","(50,081)"
N03龍埔成長_112學年度財務報告.pdf,其他流動資產,"(2,002)",
N03龍埔成長_112學年度財務報告.pdf,應付票據,"(224,494)","320,284"
N03龍埔成長_112學年度財務報告.pdf,應付帳款,"(540,061)","64,623"
N03龍埔成長_112學年度財務報告.pdf,其他應付款,"186,432","(71,887)"
N03龍埔成長_112學年度財務報告.pdf,預收款項,"236,409","183,842"
N03龍埔成長_112學年度財務報告.pdf,其他流動負債,48,(278)
N03龍埔成長_112學年度財務報告.pdf,營業活動之淨現金流入,"116,233","715,736"
N03龍埔成長_112學年度財務報告.pdf,投資活動之現金流量：,,
N03龍埔成長_112學年度財務報告.pdf,投資活動之淨現金流入,,
N03龍埔成長_112學年度財務報告.pdf,籌資活動之現金流量：,,
N03龍埔成長_112學年度財務報告.pdf,籌資活動之淨現金流入,,
N03龍埔成長_112學年度財務報告.pdf,本期現金及約當現金增加數,"116,233","715,736"
N03龍埔成長_112學年度財務報告.pdf,期初現金及約當現金餘額,"6,310,506","5,594,770"
N03龍埔成長_112學年度財務報告.pdf,期末現金及約當現金餘額,"6,426,739","6,310,506"
