檔案名稱,分類,財產編號,登錄號分號,財產名稱,原始價值,數量,帳面價值,使用年限,購置日期
N03龍埔成長_112學年度財務報告.pdf,代管財產,301051624,000001,抽風機,"$ 45,600",1,$ 456,8,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,301081006,000001,除濕機,"12,155",1,122,10,102/12/31
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000001,工作台,"33,600",1,336,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000002,工作台,"12,000",1,120,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000003,工作台,"30,000",1,300,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000004,工作台,"28,000",1,280,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000005,工作台,"28,000",1,280,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000006,工作台,"12,000",1,120,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,3070114253,000007,工作台,"16,800",1,168,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,310040323,000001,加熱器,"12,000",1,120,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,311070115,000001,視力檢查器,"38,000",1,380,5,100/12/05
N03龍埔成長_112學年度財務報告.pdf,代管財產,312020214,000001,固液分離機,"24,500",1,245,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,313020105,000001,油煙分離器,"62,000",1,620,8,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,314020205,000001,個人電腦用硬碟機,"32,660",1,327,4,101/12/03
N03龍埔成長_112學年度財務報告.pdf,代管財產,314030813,000010,數位照相機,"17,714",1,177,5,101/12/03
N03龍埔成長_112學年度財務報告.pdf,代管財產,314030815,000010,數位攝影機,"26,546",1,265,5,102/03/05
N03龍埔成長_112學年度財務報告.pdf,代管財產,314030817,000001,數位投影機,"53,000",1,530,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,314030817,000002,數位投影機,"53,000",1,530,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,314030817,000003,數位投影機,"53,000",1,530,5,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,401080201,000004,手推車,"21,200",1,212,3,101/05/25
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000001,空調系統,"40,768",1,"6,294",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000002,空調系統,"40,768",1,"6,294",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000003,空調系統,"34,221",1,"5,282",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000004,空調系統,"34,221",1,"5,282",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000005,空調系統,"34,221",1,"5,282",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000006,空調系統,"48,427",1,"7,475",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000007,空調系統,"48,427",1,"7,475",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000008,空調系統,"48,427",1,"7,475",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000009,空調系統,"48,427",1,"7,475",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000010,空調系統,"48,427",1,"7,475",8,106/02/13
N03龍埔成長_112學年度財務報告.pdf,代管財產,501010610,000011,空調系統,"48,427",1,"7,475",8,106/02/13
