檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N07北大_113學年度財務報告.pdf,5,現金及銀行存款,"$10,214,084",資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,現金及銀行存款,"$9,280,051",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,應收帳款淨額,"88,781",資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,應收帳款淨額,"77,421",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,其他應收款,"233,000",資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,其他應收款,"4,574",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,預付款項,-,資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,預付款項,"11,126",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,流動資產合計,"10,535,865",資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,流動資產合計,"9,373,172",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,資遣費準備金,-,資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,資遣費準備金,"449,139",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,業務發展準備金,-,資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,業務發展準備金,"5,859,000",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,代管財產,"1,571,292",資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,代管財產,"1,929,317",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,購置財產,"580,811",資產,113學年度,本年度,114年7月31日
N07北大_113學年度財務報告.pdf,5,購置財產,"519,345",資產,112學年度,前一年度,113年7月31日
N07北大_113學年度財務報告.pdf,5,非流動資產合計,"2,152,103",資產,113學年度,本年度,114年7月31日
