檔案名稱,項目,113學年度金額,112學年度金額
N10大觀_113學年度財務報告.pdf,營業活動之現金流量：,,
N10大觀_113學年度財務報告.pdf,本期稅前餘額,"$(523,367)","$760,656"
N10大觀_113學年度財務報告.pdf,調整項目：,,
N10大觀_113學年度財務報告.pdf,資產／負債淨變動數,,
N10大觀_113學年度財務報告.pdf,應收帳款淨額,"(16,220)","(8,000)"
N10大觀_113學年度財務報告.pdf,其他應收款,"391,715","(33,505)"
N10大觀_113學年度財務報告.pdf,預付款項,"39,548","(41,298)"
N10大觀_113學年度財務報告.pdf,應付帳款,"(4,676)","(10,674)"
N10大觀_113學年度財務報告.pdf,其他應付款,"265,240","(25,720)"
N10大觀_113學年度財務報告.pdf,預收款項,"(379,587)","187,730"
N10大觀_113學年度財務報告.pdf,其他流動負債,"(97,112)","97,130"
N10大觀_113學年度財務報告.pdf,資遣費準備淨變動,"(55,694)","55,694"
N10大觀_113學年度財務報告.pdf,業務發展準備淨變動,"(176,650)","176,650"
N10大觀_113學年度財務報告.pdf,營業活動之淨現金（出）入,"(556,803)","1,158,663"
N10大觀_113學年度財務報告.pdf,投資活動之現金流量：,,
N10大觀_113學年度財務報告.pdf,投資活動之淨現金流入,-,-
N10大觀_113學年度財務報告.pdf,籌資活動之現金流量：,,
N10大觀_113學年度財務報告.pdf,籌資活動之淨現金流入,-,-
N10大觀_113學年度財務報告.pdf,本期現金及約當現金（減少）增加數,"(556,803)","1,158,663"
N10大觀_113學年度財務報告.pdf,期初現金及約當現金餘額,"7,036,258","5,877,595"
N10大觀_113學年度財務報告.pdf,期末現金及約當現金餘額,"$6,479,455","$7,036,258"
