檔案名稱,項目,113學年度金額,112學年度金額
N01安溪_113學年度財務報告.pdf,營業活動之現金流量：,,
N01安溪_113學年度財務報告.pdf,本期稅前餘絀,"$(1,988,771)","$250,799"
N01安溪_113學年度財務報告.pdf,調整項目：,,
N01安溪_113學年度財務報告.pdf,資產／負債淨變動數,,
N01安溪_113學年度財務報告.pdf,應收帳款淨額,"(2,979)","34,121"
N01安溪_113學年度財務報告.pdf,預付款項,"6,867","4,952"
N01安溪_113學年度財務報告.pdf,其他流動資產,,"35,254"
N01安溪_113學年度財務報告.pdf,應付票據,"17,684","(17,853)"
N01安溪_113學年度財務報告.pdf,其他應付款,"(137,000)","112,818"
N01安溪_113學年度財務報告.pdf,預收款項,"(882,904)","408,531"
N01安溪_113學年度財務報告.pdf,其他流動負債,"1,533","1,542"
N01安溪_113學年度財務報告.pdf,業務發展準備淨變動,"2,200,000",
N01安溪_113學年度財務報告.pdf,營業活動之淨現金流（出）入,"(785,570)","830,164"
N01安溪_113學年度財務報告.pdf,投資活動之現金流量：,,
N01安溪_113學年度財務報告.pdf,投資活動之淨現金流人,,
N01安溪_113學年度財務報告.pdf,籌資活動之現金流量：,,
N01安溪_113學年度財務報告.pdf,籌資活動之淨現金流人,,
N01安溪_113學年度財務報告.pdf,本期現金及約當現金（減少）增加數,"(785,570)","830,164"
N01安溪_113學年度財務報告.pdf,期初現金及約當現金餘額,"9,654,314","8,824,150"
N01安溪_113學年度財務報告.pdf,期末現金及約當現金餘額,"$8,868,744","$9,654,314"
