檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N09安興_113學年度財務報告.pdf,5,現金及銀行存款,"$ 8,589,308",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,應收帳款淨額,"77,479",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,預付款項,-,資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,其他流動資產,-,資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,流動資產合計,"8,666,787",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,資遣費準備金,-,資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,業務發展準備金,-,資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,代管財產,"766,730",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,購置財產,"126,700",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,非流動資產合計,"893,430",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,資產總計,"$ 9,560,217",資產,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,現金及銀行存款,"$ 4,398,152",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,應收帳款淨額,"61,256",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,預付款項,"32,426",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,其他流動資產,"3,306",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,流動資產合計,"4,495,140",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,資遣費準備金,"150,459",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,業務發展準備金,"5,305,000",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,代管財產,"958,198",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,購置財產,"126,700",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,非流動資產合計,"6,540,357",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,資產總計,"$ 11,035,497",資產,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,應付帳款,"$ 189,791",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,其他應付款,"1,517,639",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,應付所得稅,"1,278,682",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,預收款項,-,負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,流動負債合計,"2,986,112",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,資遣費準備,-,負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,業務發展準備,-,負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,應付代管財產,"766,730",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,應付購置財產,"126,700",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,非流動負債合計,"893,430",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,負債總額,"3,879,542",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,累積餘絀,"1,767,061",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,本期餘絀,"3,913,614",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,餘絀總額,"5,680,675",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,負債及餘絀總計,"$ 9,560,217",負債及淨值,113學年度,本年度,114年7月31日
N09安興_113學年度財務報告.pdf,5,應付帳款,"$ 32,173",負債及淨值,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,其他應付款,"1,099,432",負債及淨值,112學年度,前一年度,113年7月31日
N09安興_113學年度財務報告.pdf,5,應付所得稅,-,負債及淨值,112學年度,前一年度,113年7月31日
