檔案名稱,項目,113學年度金額,112學年度金額
N06昌平_113學年度財務報告.pdf,營業活動之現金流量：,,
N06昌平_113學年度財務報告.pdf,本期稅前餘絀,"$(602,513)","$ 187,142"
N06昌平_113學年度財務報告.pdf,調整項目：,,
N06昌平_113學年度財務報告.pdf,資產／負債淨變動數,,
N06昌平_113學年度財務報告.pdf,應收帳款淨額,(780),630
N06昌平_113學年度財務報告.pdf,其他應收款,"158,950","(69,522)"
N06昌平_113學年度財務報告.pdf,預付款項,"49,950","(35,350)"
N06昌平_113學年度財務報告.pdf,其他流動資產,"(2,716)",
N06昌平_113學年度財務報告.pdf,應付票據,"(2,000)",
N06昌平_113學年度財務報告.pdf,應付帳款,"(100,804)","112,579"
N06昌平_113學年度財務報告.pdf,其他應付款,"205,104","(322,873)"
N06昌平_113學年度財務報告.pdf,預收款項,"(707,103)","296,546"
N06昌平_113學年度財務報告.pdf,其他流動負債,(50),(4)
N06昌平_113學年度財務報告.pdf,營業活動之淨現金流（出）入,"(1,001,962)","169,148"
N06昌平_113學年度財務報告.pdf,投資活動之現金流量：,,
N06昌平_113學年度財務報告.pdf,投資活動之淨現金流入,,
N06昌平_113學年度財務報告.pdf,籌資活動之現金流量：,,
N06昌平_113學年度財務報告.pdf,籌資活動之淨現金流入,,
N06昌平_113學年度財務報告.pdf,本期現金及約當現金（減少）增加數,"(1,001,962)","169,148"
N06昌平_113學年度財務報告.pdf,期初現金及約當現金餘額,"5,823,963","5,654,815"
N06昌平_113學年度財務報告.pdf,期末現金及約當現金餘額,"$ 4,822,001","$ 5,823,963"
