檔案名稱,報告學年度,項目,預算數,決算數,差異數,差異率,預決算檢查結果
N06昌平_113學年度財務報告.pdf,113學年度,人事費,"$ 9,192,044","$ 7,955,962","$(1,236,082)",(13),未超支
N06昌平_113學年度財務報告.pdf,113學年度,人事費,"8,441,010","7,653,031","(787,979)",(9),未超支
N06昌平_113學年度財務報告.pdf,113學年度,加班費,"698,880","250,777","(448,103)",(64),未超支
N06昌平_113學年度財務報告.pdf,113學年度,資遣費,"52,154","52,154",-,,
N06昌平_113學年度財務報告.pdf,113學年度,業務費,"819,400","501,842","(317,558)",(39),未超支
N06昌平_113學年度財務報告.pdf,113學年度,活動費,"115,000","55,090","(59,910)",(52),未超支
N06昌平_113學年度財務報告.pdf,113學年度,研習、進修,"26,000","5,600","(20,400)",(78),未超支
N06昌平_113學年度財務報告.pdf,113學年度,水費,"32,000","9,348","(22,652)",(71),未超支
N06昌平_113學年度財務報告.pdf,113學年度,電費,"264,000","235,339","(28,661)",(11),未超支
N06昌平_113學年度財務報告.pdf,113學年度,瓦斯費,"34,000","22,700","(11,300)",(33),未超支
N06昌平_113學年度財務報告.pdf,113學年度,保全,"80,000","46,013","(33,987)",(42),未超支
N06昌平_113學年度財務報告.pdf,113學年度,辦公文具,"24,000","9,813","(14,187)",(59),未超支
N06昌平_113學年度財務報告.pdf,113學年度,事務機器耗材,"65,000","36,930","(28,070)",(43),未超支
N06昌平_113學年度財務報告.pdf,113學年度,電話費（含 ADSL）,"54,000","38,690","(15,310)",(28),未超支
N06昌平_113學年度財務報告.pdf,113學年度,郵資,"8,400","1,261","(7,139)",(85),未超支
N06昌平_113學年度財務報告.pdf,113學年度,文宣費（一般文宣）,"10,000",-,"(10,000)",,
N06昌平_113學年度財務報告.pdf,113學年度,文宣費（園刊）,"30,000","11,019","(18,981)",(63),未超支
N06昌平_113學年度財務報告.pdf,113學年度,攝影照片,"10,000",-,"(10,000)",,
N06昌平_113學年度財務報告.pdf,113學年度,園務特支,"42,000","30,039","(11,961)",(28),未超支
N06昌平_113學年度財務報告.pdf,113學年度,差旅費,"25,000",-,"(25,000)",,
N06昌平_113學年度財務報告.pdf,113學年度,材料費,"1,956,640","1,638,179","(318,461)",(16),未超支
N06昌平_113學年度財務報告.pdf,113學年度,教保材料費,"268,800","184,806","(83,994)",(31),未超支
N06昌平_113學年度財務報告.pdf,113學年度,日常消耗用品,"67,200","48,221","(18,979)",(28),未超支
N06昌平_113學年度財務報告.pdf,113學年度,藥品費,"7,840","3,672","(4,168)",(53),未超支
N06昌平_113學年度財務報告.pdf,113學年度,餐點費,"1,612,800","1,401,480","(211,320)",(13),未超支
N06昌平_113學年度財務報告.pdf,113學年度,維護費,"143,000","70,966","(72,034)",(50),未超支
N06昌平_113學年度財務報告.pdf,113學年度,修繕購置費,"156,800","157,505",705,-,"經與維護費勻支後,已符合勻支規定"
N06昌平_113學年度財務報告.pdf,113學年度,雜支,"49,164","8,140","(41,024)",(83),未超支
N06昌平_113學年度財務報告.pdf,113學年度,行政管理費,"277,604","277,604",-,-,未超支
N06昌平_113學年度財務報告.pdf,113學年度,合計,"$ 12,594,652","$ 10,610,198","$(1,984,454)",(16),
