檔案名稱,頁碼,科目,金額,欄位,年度,年度類別,原始年度標示
N04海工_113學年度財務報告.pdf,5,現金及銀行存款,"$3,294,879",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,其他應收款,"9,269",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,預付款項,"5,717",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,流動資產合計,"3,309,865",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,資遣費準備金,"198,704",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,業務發展準備金,"5,024,000",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,代管財產,"127,360",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,購置財產,"372,503",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,非流動資產合計,"5,722,567",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,資產總計,"$9,032,432",資產,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,現金及銀行存款,"$3,226,040",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,其他應收款,-,資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,預付款項,"45,000",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,流動資產合計,"3,271,040",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,資遣費準備金,"166,661",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,業務發展準備金,"3,854,000",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,代管財產,"161,339",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,購置財產,"337,703",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,非流動資產合計,"4,519,703",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,資產總計,"$7,790,743",資產,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,其他應付款,"$618,330",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,預收款項,"1,641,672",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,其他流動負債,-,負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,流動負債合計,"2,260,002",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,資遣費準備,"198,704",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,業務發展準備,"5,024,000",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,應付代管財產,"127,360",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,應付購置財產,"372,503",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,非流動負債合計,"5,722,567",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,負債總額,"7,982,569",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,累積餘絀,"1,569,931",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,本期餘絀,"(520,068)",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,餘絀總額,"1,049,863",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,負債及餘絀總計,"$9,032,432",負債及淨值,113學年度,本年度,114年7月31日
N04海工_113學年度財務報告.pdf,5,其他應付款,"$198,867",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,預收款項,"1,488,338",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,其他流動負債,"13,904",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,流動負債合計,"1,701,109",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,資遣費準備,"166,661",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,業務發展準備,"3,854,000",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,應付代管財產,"161,339",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,應付購置財產,"337,703",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,非流動負債合計,"4,519,703",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,負債總額,"6,220,812",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,累積餘絀,"1,247,706",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,本期餘絀,"322,225",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,餘絀總額,"1,569,931",負債及淨值,112學年度,前一年度,113年7月31日
N04海工_113學年度財務報告.pdf,5,負債及餘絀總計,"$7,790,743",負債及淨值,112學年度,前一年度,113年7月31日
