檔案名稱,項目,113學年度預算數,113學年度決算數,113學年度決算與預算差異,113學年度執行率,112學年度預算數,112學年度決算數,112學年度決算與預算差異,112學年度執行率
N05漢翔_113學年度財務報告.pdf,收入,"$ 12,033,792","$ 13,204,495","$ 1,170,703",110,,,,
N05漢翔_113學年度財務報告.pdf,教保費收入淨額,"12,033,792","11,971,032","(62,760)",99,,,,
N05漢翔_113學年度財務報告.pdf,教保費收入,"12,033,792","12,232,000","198,208",102,,,,
N05漢翔_113學年度財務報告.pdf,教保費收入（家長繳費）,"1,728,000","912,000","(816,000)",53,,,,
N05漢翔_113學年度財務報告.pdf,教保費收入（政府學費差額補助）,"10,305,792","11,320,000","1,014,208",110,,,,
N05漢翔_113學年度財務報告.pdf,教保費收入減項,,"(260,968)","(260,968)",,,,,
N05漢翔_113學年度財務報告.pdf,五日未上課退費,,"(37,414)","(37,414)",,,,,
N05漢翔_113學年度財務報告.pdf,腸病毒退費,,"(6,434)","(6,434)",,,,,
N05漢翔_113學年度財務報告.pdf,政府學費差額補助退費,,"(217,120)","(217,120)",,,,,
N05漢翔_113學年度財務報告.pdf,延長照顧服務收入淨額,,"127,995","127,995",,,,,
N05漢翔_113學年度財務報告.pdf,延長照顧服務收入淨額,,"127,995","127,995",,,,,
N05漢翔_113學年度財務報告.pdf,延長照顧服務收入,,"127,995","127,995",,,,,
N05漢翔_113學年度財務報告.pdf,利息收入,,"105,887","105,887",,,,,
N05漢翔_113學年度財務報告.pdf,其他收入,,"999,581","999,581",,,,,
N05漢翔_113學年度財務報告.pdf,支出,"11,221,533","11,597,650","376,117",103,,,,
N05漢翔_113學年度財務報告.pdf,人事費,"8,784,257","6,363,884","(2,420,373)",72,,,,
N05漢翔_113學年度財務報告.pdf,園長及教保服務人員薪資（含職務加給）,"5,223,894","4,511,419","(712,475)",86,,,,
N05漢翔_113學年度財務報告.pdf,會計、總務、廚工、清潔薪資,"1,409,792","647,075","(762,717)",46,,,,
N05漢翔_113學年度財務報告.pdf,加班費,"658,416","213,588","(444,828)",32,,,,
